pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.91838299e-05,5.92323438e-07,6.91531112e-06,3.33745074e-05,7.03583854e-05,3.76320815e-07,6.54020248e-05
Cbb,0.0,7.28528006e-05,2.00058578e-06,3.61497344e-05,6.82483124e-05,1.30829321e-04,1.68865807e-06,2.55564585e-05
Gbb,0.0,1.55958622e-04,6.25722645e-06,1.19564390e-04,1.36763449e-04,2.50141614e-04,6.89459079e-06,6.52009973e-05
Dbb,0.0020181634712411706,2.69891013e-04,1.79183749e-05,1.53633454e-04,2.69044349e-04,4.71358209e-04,2.56128889e-05,2.39069767e-04
Abb,0.0,5.54508520e-04,5.20236032e-05,3.00862241e-04,5.23045693e-04,8.23073692e-04,8.65748869e-05,3.58381451e-04
Ebb,0.0,1.30260251e-03,1.55810687e-04,1.09135785e-03,1.00079135e-03,1.43596832e-03,2.66261636e-04,7.68035293e-04
Bbb,0.005045408678102927,2.40544650e-03,4.26580666e-04,2.21890708e-03,1.86521709e-03,2.63466462e-03,7.45089693e-04,1.84973325e-03
Fb,0.0,3.54282333e-03,1.02994593e-03,2.63255830e-03,3.38072585e-03,4.48463003e-03,1.89710693e-03,2.79369988e-03
Cb,0.011099899091826439,6.42724354e-03,2.44565266e-03,5.19001018e-03,5.98399285e-03,6.92313870e-03,4.39499477e-03,4.88448103e-03
Gb,0.011099899091826439,1.33209722e-02,5.93805065e-03,1.31298273e-02,1.03274247e-02,1.15226237e-02,9.26420616e-03,8.76622359e-03
Db,0.017154389505549948,2.07277377e-02,1.29434833e-02,2.02940522e-02,1.72641215e-02,1.96873056e-02,1.77681149e-02,1.71323777e-02
Ab,0.007063572149344097,2.60792378e-02,2.35210375e-02,2.25859657e-02,2.76015830e-02,2.79933109e-02,3.10068605e-02,2.69844453e-02
Eb,0.045408678102926335,3.94526513e-02,3.96810261e-02,3.78282575e-02,4.20689545e-02,3.76442839e-02,4.92331396e-02,4.04016242e-02
Bb,0.06760847628657922,6.81187874e-02,6.68480890e-02,7.13458228e-02,6.12744096e-02,6.07962690e-02,7.11279946e-02,8.02209184e-02
F,0.10494450050454086,8.94509329e-02,1.00007668e-01,9.05812943e-02,8.50948338e-02,8.69314198e-02,9.34989843e-02,1.29733339e-01
C,0.10393541876892028,8.92961523e-02,1.18406661e-01,8.56922127e-02,1.10352400e-01,9.15275050e-02,1.11829535e-01,1.26824873e-01
G,0.10393541876892028,1.03746164e-01,1.21198792e-01,1.04698649e-01,1.29765927e-01,1.08777279e-01,1.21699681e-01,1.04244105e-01
D,0.136226034308779,1.39410455e-01,1.22546530e-01,1.50664871e-01,1.34644605e-01,1.55456689e-01,1.20505163e-01,1.13146113e-01
A,0.15539858728557013,1.50601874e-01,1.17713182e-01,1.55577974e-01,1.20390981e-01,1.45611256e-01,1.08568833e-01,1.28669501e-01
E,0.09384460141271443,1.00491455e-01,9.43917620e-02,1.00022319e-01,9.35378533e-02,9.43580858e-02,8.89995844e-02,7.88909668e-02
B,0.04339051463168517,5.46075370e-02,6.34297625e-02,4.77575380e-02,6.45837707e-02,5.49002156e-02,6.63825733e-02,3.70412701e-02
F#,0.030272452068617558,3.52118832e-02,4.18167739e-02,3.13153065e-02,4.05326194e-02,3.68044043e-02,4.50509015e-02,2.91711525e-02
C#,0.02320887991927346,2.86551835e-02,2.81801119e-02,2.69573975e-02,2.35549581e-02,2.39492040e-02,2.78186585e-02,2.72763164e-02
G#,0.030272452068617558,1.43611893e-02,1.75956629e-02,1.60769400e-02,1.28585864e-02,1.30849202e-02,1.56297553e-02,1.65276577e-02
D#,0.0020181634712411706,4.40200721e-03,9.70770074e-03,6.59144706e-03,6.66676998e-03,6.56841852e-03,7.99008625e-03,8.47214386e-03
A#,0.006054490413723511,4.09988235e-03,5.31966261e-03,3.09662421e-03,3.31079967e-03,3.52672962e-03,3.71649929e-03,6.60455376e-03
E#,0.0,1.99763950e-03,3.07229806e-03,2.14795398e-03,1.58533548e-03,1.90464759e-03,1.57289574e-03,4.51596491e-03
B#,0.0,5.04166590e-04,1.73147098e-03,1.11468285e-03,7.35795049e-04,9.29801303e-04,6.05688203e-04,2.32973743e-03
F##,0.0,4.68547155e-04,8.87909109e-04,4.29348840e-04,3.32404943e-04,4.26670336e-04,2.12217693e-04,9.86242958e-04
C##,0.0,1.33730447e-04,4.48969614e-04,1.78928229e-04,1.46669371e-04,2.02979362e-04,6.76546046e-05,4.07193095e-04
G##,0.0,4.40317289e-05,2.39505081e-04,9.81636269e-05,6.33864420e-05,9.73988408e-05,1.96244018e-05,3.87952685e-04
D##,0.0,4.80287543e-05,1.27705319e-04,3.98278842e-05,2.68940862e-05,4.37658655e-05,5.17939211e-06,1.40970573e-04
A##,0.0,3.83490385e-06,6.32029401e-05,1.59820601e-05,1.12247562e-05,1.87876363e-05,1.24378252e-06,4.29688994e-05
E##,0.0,2.08053644e-06,3.06318229e-05,6.02315804e-06,4.61618437e-06,8.23400049e-06,2.71764926e-07,2.91084537e-05
B##,0.0,3.32694684e-06,1.55694313e-05,2.63335538e-06,1.87325477e-06,3.63154682e-06,5.40288417e-08,2.71992301e-06
