pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,3.48927260e-06,1.11382817e-05,1.35259680e-05,2.10494427e-05,5.94299674e-07,6.54020248e-05
Cbb,0.0,1.05979251e-05,2.70191733e-05,3.11796466e-05,4.72038498e-05,2.65812999e-06,2.55564585e-05
Gbb,0.0,3.09555728e-05,6.61674631e-05,7.08482610e-05,1.03706327e-04,1.07831913e-05,6.52009973e-05
Dbb,0.0,8.20811362e-05,1.62869683e-04,1.58400973e-04,2.23006183e-04,3.96751682e-05,2.39069767e-04
Abb,0.0,2.24366769e-04,3.56725574e-04,3.47710107e-04,4.68902943e-04,1.32400802e-04,3.58381451e-04
Ebb,0.0,5.43392993e-04,7.61760127e-04,7.47427171e-04,9.61481642e-04,4.00740120e-04,7.68035293e-04
Bbb,0.0014331780723754925,1.28842636e-03,1.69139293e-03,1.56823737e-03,1.91611106e-03,1.10010821e-03,1.84973325e-03
Fb,0.0025080616266571123,2.99051301e-03,3.40836263e-03,3.19888084e-03,3.70474735e-03,2.73910296e-03,2.79369988e-03
Cb,0.007524184879971337,5.90926989e-03,6.21551758e-03,6.31149367e-03,6.94088044e-03,6.18559785e-03,4.88448103e-03
Gb,0.012898602651379433,1.27197511e-02,1.17398397e-02,1.19684077e-02,1.25399162e-02,1.26693804e-02,8.76622359e-03
Db,0.026513794338946614,2.13836641e-02,2.18264657e-02,2.16304213e-02,2.16666504e-02,2.35358260e-02,1.71323777e-02
Ab,0.043353636689358654,4.01317210e-02,3.51561525e-02,3.68266481e-02,3.55909684e-02,3.96555413e-02,2.69844453e-02
Eb,0.03690433536366894,5.69567906e-02,5.19090107e-02,5.81426346e-02,5.54760628e-02,6.06008468e-02,4.04016242e-02
Bb,0.08670727337871731,8.80237339e-02,7.90596430e-02,8.36723454e-02,8.13869595e-02,8.39950851e-02,8.02209184e-02
F,0.11787889645288427,1.02759524e-01,1.14469151e-01,1.08443872e-01,1.09576871e-01,1.05591614e-01,1.29733339e-01
C,0.13507703332139018,1.28083107e-01,1.36031269e-01,1.25747391e-01,1.30555257e-01,1.20394141e-01,1.26824873e-01
G,0.11716230741669652,1.21236546e-01,1.31028325e-01,1.29683415e-01,1.33963880e-01,1.24503526e-01,1.04244105e-01
D,0.11465424579003941,1.22634095e-01,1.14027598e-01,1.19239020e-01,1.18527529e-01,1.16777270e-01,1.13146113e-01
A,0.08993192404156217,9.39351412e-02,9.62351442e-02,9.80390019e-02,9.35300924e-02,9.93425622e-02,1.28669501e-01
E,0.08742386241490505,7.86600147e-02,7.31859016e-02,7.27038127e-02,6.85497925e-02,7.66501075e-02,7.88909668e-02
B,0.05661053385883196,4.90383021e-02,4.85575156e-02,4.93701981e-02,4.75281565e-02,5.36402201e-02,3.70412701e-02
F#,0.01683984235041204,3.49649068e-02,3.14543556e-02,3.11848355e-02,3.11626165e-02,3.40462046e-02,2.91711525e-02
C#,0.017556431386599784,1.79293307e-02,2.01267213e-02,1.85688947e-02,1.93911607e-02,1.95996010e-02,2.72763164e-02
G#,0.02149767108563239,1.12277853e-02,1.10711484e-02,1.05336383e-02,1.15823831e-02,1.02335456e-02,1.65276577e-02
D#,0.005374417771408097,4.79444851e-03,5.67092899e-03,5.73971823e-03,6.68882038e-03,4.84624535e-03,8.47214386e-03
A#,0.002149767108563239,2.70329308e-03,3.15685821e-03,3.02351020e-03,3.73616660e-03,2.08154133e-03,6.60455376e-03
E#,0.0,9.74596353e-04,1.50227623e-03,1.54753915e-03,2.02150574e-03,8.10895798e-04,4.51596491e-03
B#,0.0,5.00909136e-04,5.98294218e-04,7.72749234e-04,1.06452904e-03,2.86513727e-04,2.32973743e-03
F##,0.0,1.55459148e-04,3.01580858e-04,3.77679060e-04,5.47321748e-04,9.18176532e-05,9.86242958e-04
C##,0.0,7.26171771e-05,1.27458895e-04,1.81157639e-04,2.74864533e-04,2.66874645e-05,4.07193095e-04
G##,0.0,1.98725865e-05,3.63410151e-05,8.54674730e-05,1.34977347e-04,7.03540031e-06,3.87952685e-04
D##,0.0,8.31591055e-06,1.83693247e-05,3.97336521e-05,6.49722201e-05,1.68217310e-06,1.40970573e-04
A##,0.0,2.05570918e-06,6.79320350e-06,1.82308396e-05,3.07038199e-05,3.64798400e-07,4.29688994e-05
E##,0.0,7.53420893e-07,1.13355181e-06,8.26649478e-06,1.42506188e-05,7.17522522e-08,2.91084537e-05
B##,0.0,1.72245934e-07,7.70892421e-07,3.70848411e-06,6.50169485e-06,1.28002521e-08,2.71992301e-06
