pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.94875309e-09,9.95483296e-05,2.54964671e-07,2.65511665e-04,6.10186423e-08,6.52059812e-05
Cbb,0.0,7.81788559e-09,8.42618285e-05,1.12301388e-06,2.77151353e-04,4.32440266e-07,2.39088042e-04
Gbb,0.0,2.79844115e-08,5.03125499e-04,4.76289277e-06,5.57318763e-04,2.66479910e-06,3.58408846e-04
Dbb,0.0,1.75137177e-06,6.12814547e-04,1.93295483e-05,1.86159049e-03,1.42783354e-05,7.68094001e-04
Abb,0.0,5.53869139e-06,2.46893250e-03,7.45074756e-05,2.55637279e-03,6.65220230e-05,1.84987464e-03
Ebb,0.0,2.31273405e-05,1.44405975e-03,2.70113194e-04,2.38593337e-03,2.69480954e-04,2.79391343e-03
Bbb,0.0,7.14532621e-04,1.91376339e-03,9.07216308e-04,4.50925341e-03,9.49216909e-04,4.88485439e-03
Fb,0.001776988005330964,1.67207738e-03,1.18767180e-02,2.76128622e-03,1.47755928e-02,2.90721812e-03,8.76689367e-03
Cb,0.0,9.05342572e-03,2.26800847e-02,7.43389493e-03,1.81949937e-02,7.74220251e-03,1.71336873e-02
Gb,0.015104398045313194,1.55443758e-02,9.48820951e-03,1.74312217e-02,1.47884459e-02,1.79277670e-02,2.69865080e-02
Db,0.02265659706796979,4.39571659e-02,2.17705074e-02,3.55363774e-02,2.48723274e-02,3.60962953e-02,4.04047124e-02
Ab,0.12039093736117282,5.79105458e-02,7.45510743e-02,6.28935701e-02,7.85011399e-02,6.31937057e-02,8.02270504e-02
Eb,0.15415370946246112,1.09627637e-01,1.16215378e-01,9.65754637e-02,8.48683925e-02,9.61966121e-02,1.29743256e-01
Bb,0.03642825410928476,1.13030889e-01,5.34804662e-02,1.28867719e-01,5.75494168e-02,1.27326996e-01,1.26834568e-01
F,0.10217681030653043,1.57881848e-01,7.21585085e-02,1.48902020e-01,7.41904745e-02,1.46539925e-01,1.04252073e-01
C,0.12838738338516215,1.27644485e-01,1.88011953e-01,1.48703081e-01,2.12185889e-01,1.46644643e-01,1.13154761e-01
G,0.22212350066637052,1.37486703e-01,2.38741093e-01,1.28082921e-01,1.95267690e-01,1.27600154e-01,1.28679336e-01
D,0.11283873833851621,8.57733049e-02,9.75480220e-02,9.47897569e-02,1.02109424e-01,9.65408137e-02,7.88969971e-02
A,0.0173256330519769,7.25140743e-02,2.29214508e-02,6.07780645e-02,4.49186033e-02,6.35104913e-02,3.70441015e-02
E,0.005775211017325633,3.34979719e-02,2.02731149e-02,3.43796960e-02,3.01554741e-02,3.63291094e-02,2.91733823e-02
B,0.046645935139937804,2.22335730e-02,2.84466589e-02,1.75092044e-02,1.92637747e-02,1.80691944e-02,2.72784014e-02
F#,0.01332741003998223,6.96381459e-03,9.83692228e-03,8.17676947e-03,8.98057841e-03,7.81443511e-03,1.65289211e-02
C#,0.000888494002665482,3.57654019e-03,1.96727045e-03,3.55419297e-03,3.58668269e-03,2.93853691e-03,8.47279146e-03
G#,0.0,6.23638586e-04,9.82827891e-04,1.45502113e-03,1.78637383e-03,9.60814328e-04,6.60505860e-03
D#,0.0,2.41373152e-04,1.36063802e-03,5.66225497e-04,9.31673174e-04,2.73163427e-04,4.51631010e-03
A#,0.0,1.63338590e-05,4.03065251e-04,2.11000329e-04,3.97877709e-04,6.75274570e-05,2.32991551e-03
E#,0.0,4.38587902e-06,7.94668470e-05,7.57351666e-05,1.49649008e-04,1.45148649e-05,9.86318346e-04
B#,0.0,7.93887953e-07,3.02711573e-05,2.63086135e-05,6.43992794e-05,2.71281615e-06,4.07224220e-04
F##,0.0,4.39891576e-08,3.89928614e-05,8.87930922e-06,2.94082189e-05,4.40861817e-07,3.87982340e-04
C##,0.0,1.03254046e-08,5.36734983e-06,2.92111220e-06,1.17074727e-05,6.22958866e-08,1.40981348e-04
G##,0.0,1.23919733e-09,3.91446627e-06,9.39259246e-07,4.20153007e-06,7.65404510e-09,4.29721839e-05
D##,0.0,6.77505763e-11,7.54296706e-07,2.95863016e-07,1.64879930e-06,8.17706450e-10,2.91106787e-05
A##,0.0,1.25890390e-11,4.44953253e-07,9.14783077e-08,6.84196079e-07,7.59588867e-11,2.72013092e-06
E##,0.0,1.15484136e-12,2.94595886e-07,2.78101669e-08,2.57030782e-07,6.13528185e-12,1.39695263e-05
B##,0.0,6.20723064e-14,2.37137666e-08,8.32502296e-09,8.86649219e-08,4.30888801e-13,5.56755278e-07
