pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,5.74819648e-09,2.04605937e-08,1.81357331e-05,1.06781034e-06,2.31179145e-05,2.46800589e-09,6.54020248e-05
Cbb,0.0,1.96915173e-08,9.84935647e-08,4.23069734e-05,2.82198773e-06,5.21287779e-05,2.00191510e-08,2.55564585e-05
Gbb,0.0,2.26841537e-07,3.82645007e-07,1.11503917e-04,7.37284174e-06,9.33100103e-05,1.42551536e-07,6.52009973e-05
Dbb,0.0,6.70278954e-07,1.12152382e-06,1.77742455e-04,1.90153786e-05,1.80288807e-04,8.91096886e-07,2.39069767e-04
Abb,0.0,2.61902425e-06,3.79832763e-06,3.09782859e-04,4.83292858e-05,4.24815164e-04,4.88995354e-06,3.58381451e-04
Ebb,0.0,1.93969355e-05,1.73229042e-05,5.74330391e-04,1.20790742e-04,7.41156112e-04,2.35565303e-05,7.68035293e-04
Bbb,0.0,4.84846546e-05,6.33240820e-05,1.32041443e-03,2.96104494e-04,1.15371443e-03,9.96195766e-05,1.84973325e-03
Fb,0.0,2.14425205e-04,1.62826145e-04,2.50771859e-03,7.09630223e-04,2.77220573e-03,3.69832304e-04,2.79369988e-03
Cb,0.001863932898415657,8.96693036e-04,4.69451822e-04,2.89018090e-03,1.65576578e-03,5.09218183e-03,1.20529062e-03,4.88448103e-03
Gb,0.001863932898415657,2.01197496e-03,1.87769440e-03,6.19676215e-03,3.74124397e-03,6.05574966e-03,3.44830355e-03,8.76622359e-03
Db,0.003727865796831314,8.62767765e-03,5.96699545e-03,1.77673877e-02,8.12818638e-03,1.33637722e-02,8.66056018e-03,1.71323777e-02
Ab,0.02050326188257223,1.60524580e-02,1.17581391e-02,2.26822748e-02,1.68160938e-02,2.78512773e-02,1.90947185e-02,2.69844453e-02
Eb,0.02702702702702703,4.23077546e-02,2.34923053e-02,2.21819384e-02,3.26821036e-02,2.64974927e-02,3.69579026e-02,4.04016242e-02
Bb,0.06710158434296365,6.09599894e-02,6.39092974e-02,5.48352448e-02,5.85105964e-02,4.26395924e-02,6.27954469e-02,8.02209184e-02
F,0.15563839701770738,1.06851680e-01,1.35750870e-01,1.12451603e-01,9.37980009e-02,1.04970980e-01,9.36646631e-02,1.29733339e-01
C,0.08667287977632805,1.18230846e-01,1.46119014e-01,9.40097151e-02,1.29783590e-01,9.17397214e-02,1.22645093e-01,1.26824873e-01
G,0.07642124883504194,1.51237583e-01,1.26272566e-01,7.45425528e-02,1.50774816e-01,7.90483438e-02,1.40978004e-01,1.04244105e-01
D,0.1565703634669152,1.29695792e-01,1.38984701e-01,1.71075890e-01,1.50283852e-01,2.05547622e-01,1.42258859e-01,1.13146113e-01
A,0.21342031686859272,1.28404096e-01,1.50006178e-01,2.32557315e-01,1.25897723e-01,1.83097973e-01,1.26018431e-01,1.28669501e-01
E,0.08760484622553588,8.58918502e-02,9.76661354e-02,9.04730528e-02,9.21395090e-02,9.24485224e-02,9.79976345e-02,7.88909668e-02
B,0.03075489282385834,6.87786448e-02,4.11232141e-02,2.18788364e-02,5.89845821e-02,4.29666866e-02,6.68996583e-02,3.70412701e-02
F#,0.013979496738117428,3.59639186e-02,2.31360071e-02,1.79418669e-02,3.46629078e-02,3.33193349e-02,4.00921169e-02,2.91711525e-02
C#,0.03168685927306617,2.43538555e-02,1.63746350e-02,2.30017017e-02,1.94977278e-02,2.15088432e-02,2.10921503e-02,2.72763164e-02
G#,0.005591798695246971,9.96451533e-03,9.35071829e-03,1.23563892e-02,1.05740963e-02,9.75355642e-03,9.74113380e-03,1.65276577e-02
D#,0.017707362534948742,6.00363860e-03,3.62524801e-03,1.12125186e-02,5.50538372e-03,4.13054153e-03,3.94934379e-03,8.47214386e-03
A#,0.0009319664492078285,1.92748533e-03,1.75094633e-03,3.70310125e-03,2.76939002e-03,2.34837456e-03,1.40561750e-03,6.60455376e-03
E#,0.0,1.08202052e-03,1.08063778e-03,1.22066177e-03,1.36058672e-03,1.25759008e-03,4.39173522e-04,4.51596491e-03
B#,0.0,2.74742665e-04,5.93385224e-04,6.31552957e-04,6.55879952e-04,5.28561571e-04,1.20456967e-04,2.32973743e-03
F##,0.0009319664492078285,1.47109437e-04,2.28832889e-04,7.51200691e-04,3.10321706e-04,2.11063799e-04,2.90037719e-05,9.86242958e-04
C##,0.0,3.02908565e-05,1.03088315e-04,2.66853845e-04,1.44320170e-04,1.02249192e-04,6.13061184e-06,4.07193095e-04
G##,0.0,1.53547350e-05,5.89084700e-05,2.07752535e-04,6.61769124e-05,4.82791725e-05,1.13757474e-06,3.87952685e-04
D##,0.0,2.67131822e-06,3.15958305e-05,5.60458834e-05,2.99869874e-05,1.91123873e-05,1.85303166e-07,1.40970573e-04
A##,0.0,1.24043741e-06,1.23087062e-05,2.71839476e-05,1.34404672e-05,7.28717441e-06,2.64979650e-08,4.29688994e-05
E##,0.0,1.91227243e-07,5.33675634e-06,6.25258231e-06,5.96317505e-06,3.18335840e-06,3.32635798e-09,2.91084537e-05
B##,0.0,7.74302814e-08,2.89566280e-06,1.22286802e-05,2.62181739e-06,1.37059220e-06,3.66566042e-10,2.71992301e-06
