pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.06316231e-07,5.95886017e-09,3.71641026e-08,1.34278226e-07,1.37921506e-16,3.00836692e-06
Cbb,0.0,2.19136238e-07,2.19453338e-07,1.08855558e-07,3.97655156e-07,7.01682138e-15,5.98602968e-06
Gbb,0.0,2.52782428e-07,3.10316034e-07,3.17389913e-07,8.63895633e-07,2.82284096e-13,6.54035182e-05
Dbb,0.0,2.86752744e-06,5.70342371e-07,9.20641609e-07,2.33354235e-06,8.97986811e-12,2.55570421e-05
Abb,0.0,3.93898064e-06,6.10814653e-06,2.65477369e-06,8.23446640e-06,2.25886909e-10,6.52024861e-05
Ebb,0.0,2.19270649e-05,1.86978205e-05,7.60355555e-06,2.28611833e-05,4.49313768e-09,2.39075227e-04
Bbb,0.0,2.96996417e-05,1.80995700e-05,2.16060876e-05,4.28327934e-05,7.06717667e-08,3.58389635e-04
Fb,0.0,3.75315430e-05,8.50002009e-05,6.08267706e-05,1.08400947e-04,8.78981486e-07,7.68052831e-04
Cb,0.0,3.77490938e-04,3.30535598e-04,1.69348893e-04,3.77806819e-04,8.64472267e-06,1.84977549e-03
Gb,0.0,1.18077470e-03,1.14352649e-03,4.65148097e-04,9.68019113e-04,6.72295123e-05,2.79376367e-03
Db,0.0,7.43038362e-04,9.53188688e-04,1.25628901e-03,1.46061052e-03,4.13434214e-04,4.88459256e-03
Ab,0.0,2.51565370e-03,2.55122165e-03,3.32084134e-03,3.36209137e-03,2.01043680e-03,8.76642376e-03
Eb,0.011175898931000973,1.37671348e-02,1.38423287e-02,8.53257217e-03,1.15386275e-02,7.73057851e-03,1.71327689e-02
Bb,0.0413022351797862,3.20170871e-02,3.16598998e-02,2.10831204e-02,2.66784562e-02,2.35055882e-02,2.69850615e-02
F,0.019436345966958212,2.04290603e-02,1.98767529e-02,4.91751531e-02,2.78896468e-02,5.65155304e-02,4.04025467e-02
C,0.05442176870748299,4.82148081e-02,4.83814336e-02,1.03850852e-01,5.30961977e-02,1.07448919e-01,8.02227502e-02
G,0.1890184645286686,1.90420286e-01,1.90863080e-01,1.78848802e-01,1.76872653e-01,1.61537684e-01,1.29736301e-01
D,0.33430515063168126,3.37490494e-01,3.41432332e-01,1.85280857e-01,3.56089466e-01,1.92036248e-01,1.26827769e-01
A,0.16277939747327502,1.57600063e-01,1.57803953e-01,1.96980860e-01,1.50248166e-01,1.80521998e-01,1.04246485e-01
E,0.0500485908649174,5.33167154e-02,5.30621370e-02,1.26266890e-01,5.55385008e-02,1.34188286e-01,1.13148696e-01
B,0.061224489795918366,6.42783720e-02,6.14712270e-02,6.64498188e-02,5.94601027e-02,7.88745037e-02,1.28672439e-01
F#,0.04518950437317784,4.89475467e-02,4.69506643e-02,3.20366036e-02,4.40100130e-02,3.66603183e-02,7.88927682e-02
C#,0.014577259475218658,1.50624950e-02,1.47862151e-02,1.47387823e-02,1.59835409e-02,1.34739019e-02,3.70421159e-02
G#,0.004859086491739553,5.59249541e-03,6.61172138e-03,6.55325563e-03,6.98950488e-03,3.91586841e-03,2.91718186e-02
D#,0.009718172983479106,4.68269121e-03,4.84520794e-03,2.83848986e-03,4.99232691e-03,8.99912646e-04,2.72769393e-02
A#,0.0009718172983479105,2.24465222e-03,2.06113832e-03,1.20499794e-03,2.55533546e-03,1.63534798e-04,1.65280351e-02
E#,0.0009718172983479105,5.40581573e-04,6.75823484e-04,5.03571854e-04,9.03905487e-04,2.34994425e-05,8.47233732e-03
B#,0.0,2.44570687e-04,3.39732759e-04,2.07792328e-04,4.12385095e-04,2.67019206e-06,6.60470457e-03
F##,0.0,1.49763981e-04,1.45070858e-04,8.48477826e-05,2.28946044e-04,2.39919196e-07,4.51606803e-03
C##,0.0,5.47129799e-05,5.38910346e-05,3.43413676e-05,9.68176203e-05,1.70461008e-08,2.32979063e-03
G##,0.0,1.86380842e-05,1.85383944e-05,1.37951800e-05,3.45678233e-05,9.57684960e-10,9.86265479e-04
D##,0.0,8.24832636e-06,7.91485151e-06,5.50579633e-06,1.53668364e-05,4.25459121e-11,4.07202393e-04
A##,0.0,3.90697095e-06,2.48933088e-06,2.18503671e-06,7.17582167e-06,1.49461924e-12,3.87961544e-04
E##,0.0,1.59134489e-06,7.17854807e-07,8.62859151e-07,2.72828696e-06,4.15184237e-14,1.40973792e-04
B##,0.0,4.83900277e-07,2.47163102e-07,3.39242012e-07,9.82537677e-07,9.11987115e-16,4.29698806e-05
