pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_poisson,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.71775086e-03,0.00101553,0.00075173,2.00553697e-03,0.00173836,0.00067592,6.54020248e-05
Cbb,0.0,2.32488907e-03,0.00229642,0.0013064,2.70073771e-03,0.00272249,0.0011424,2.55564585e-05
Gbb,0.0,3.42217158e-03,0.00245673,0.00219959,3.61160424e-03,0.00280778,0.00187113,6.52009973e-05
Dbb,0.0002537427048972342,5.07480805e-03,0.00506614,0.00358179,4.79373009e-03,0.00364939,0.00296997,2.39069767e-04
Abb,0.0,6.79284769e-03,0.00525894,0.00563004,6.31203692e-03,0.00681695,0.00456839,3.58381451e-04
Ebb,0.002537427048972342,8.42678979e-03,0.00890018,0.00852468,8.24003418e-03,0.01038923,0.00680983,7.68035293e-04
Bbb,0.002537427048972342,1.09921533e-02,0.00975272,0.01240939,1.06576961e-02,0.01001515,0.00983723,1.84973325e-03
Fb,0.020806901801573206,1.53270175e-02,0.01539758,0.01734078,1.36473857e-02,0.01177467,0.0137712,2.79369988e-03
Cb,0.04288251712763258,2.01466727e-02,0.01820797,0.0232426,1.72871949e-02,0.02086359,0.01868242,4.88448103e-03
Gb,0.0489723420451662,2.36419002e-02,0.02832036,0.02988451,2.16410863e-02,0.03081034,0.02456164,8.76622359e-03
Db,0.03425526516112662,2.72293050e-02,0.02810381,0.03690241,2.67453895e-02,0.02755518,0.03129278,1.71323777e-02
Ab,0.04643491499619386,3.42134800e-02,0.03085622,0.04385866,3.25915825e-02,0.02841501,0.03863613,2.69844453e-02
Eb,0.04998731286475514,4.34856528e-02,0.04013038,0.05031613,3.91059886e-02,0.04652989,0.04622806,4.04016242e-02
Bb,0.07891398122303983,4.94516550e-02,0.06393674,0.05589646,4.61280857e-02,0.06608665,0.05360193,8.02209184e-02
F,0.04871859934026897,5.12061787e-02,0.05877236,0.06031185,5.33906093e-02,0.0544757,0.0602307,1.29733339e-01
C,0.020806901801573206,5.55441409e-02,0.04590196,0.06337317,6.05064179e-02,0.04722589,0.06558703,1.26824873e-01
G,0.032986551636640445,6.54117992e-02,0.05784764,0.06497968,6.69689028e-02,0.06793906,0.06921189,1.04244105e-01
D,0.050494798274549606,7.25013384e-02,0.08977005,0.06509917,7.21739848e-02,0.09137503,0.07077927,1.13146113e-01
A,0.03679269221009896,6.96280452e-02,0.07732885,0.06375308,7.54714901e-02,0.06944613,0.07014458,1.28669501e-01
E,0.05353971073331642,6.35161536e-02,0.05114083,0.06101498,7.62506731e-02,0.04871163,0.06736663,7.88909668e-02
B,0.0690180157320477,6.40817690e-02,0.05730738,0.05701718,7.40574707e-02,0.05620553,0.06269865,3.70412701e-02
F#,0.09616848515605177,6.71880174e-02,0.07593864,0.05195604,6.87289020e-02,0.06907113,0.05655021,2.91711525e-02
C#,0.08297386450139559,6.14349955e-02,0.05685543,0.0460922,6.05137322e-02,0.04980027,0.04942798,2.72763164e-02
G#,0.04541994417660492,4.73917510e-02,0.03315199,0.03974379,5.01323376e-02,0.03093169,0.04186722,1.65276577e-02
D#,0.0393301192590713,3.62897032e-02,0.03343284,0.03326461,3.87219050e-02,0.02995683,0.03436672,8.47214386e-03
A#,0.047957371225577264,3.19079686e-02,0.03659252,0.02700403,2.76301498e-02,0.03363933,0.02733788,6.60455376e-03
E#,0.02461304237503172,2.72967269e-02,0.0226566,0.02125952,1.80770770e-02,0.02330528,0.02107434,4.51596491e-03
B#,0.01268713524486171,1.83584640e-02,0.01171712,0.0162404,1.08012525e-02,0.01344904,0.01574367,2.32973743e-03
F##,0.002283684344075108,9.14144549e-03,0.01097433,0.0120526,5.89239049e-03,0.01144534,0.01139779,9.86242958e-04
C##,0.002537427048972342,3.87514938e-03,0.00986811,0.00870469,2.94139349e-03,0.01184283,0.00799646,4.07193095e-04
G##,0.005582339507739152,1.79491345e-03,0.00484716,0.00613027,1.35136845e-03,0.00793513,0.00543673,3.87952685e-04
D##,0.0005074854097944684,8.04282290e-04,0.00224188,0.00421837,5.75464388e-04,0.00435891,0.00358212,1.40970573e-04
A##,0.0,2.56343118e-04,0.00199136,0.00284191,2.29260261e-04,0.00336537,0.00228721,4.29688994e-05
E##,0.0,8.67149579e-05,0.00143697,0.00187798,8.62372168e-05,0.00323835,0.00141525,2.91084537e-05
B##,0.0,3.70062724e-05,0.00052627,0.00121933,3.08915309e-05,0.00210685,0.00084864,2.71992301e-06
