pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.24710159e-05,5.45301124e-06,1.84187216e-05,7.64937519e-05,3.35381015e-05,2.95129204e-06,5.98587345e-06
Cbb,0.0,2.45081770e-05,1.50347337e-05,1.92792778e-05,1.36079831e-04,6.58108132e-05,9.77321611e-06,6.54018112e-05
Gbb,0.0,1.22589945e-04,3.96748919e-05,5.99605790e-05,2.40495696e-04,1.33729865e-04,3.01020349e-05,2.55563750e-05
Dbb,0.0,1.30219117e-04,9.96954983e-05,2.25924943e-04,4.21917700e-04,2.72470422e-04,8.62357303e-05,6.52007843e-05
Abb,0.0,4.62747811e-04,2.43616044e-04,4.61410988e-04,7.34095539e-04,5.13181144e-04,2.29779708e-04,2.39068987e-04
Ebb,0.0,8.86043018e-04,5.79699944e-04,4.51033871e-04,1.26531565e-03,9.21340908e-04,5.69467756e-04,3.58380281e-04
Bbb,0.0005431830526887561,7.96129607e-04,1.30385334e-03,1.34956989e-03,2.15764761e-03,1.73915789e-03,1.31268233e-03,7.68032785e-04
Fb,0.005975013579576317,3.58370879e-03,2.73590616e-03,4.06296798e-03,3.63393382e-03,3.32942949e-03,2.81438288e-03,1.84972721e-03
Cb,0.014122759369907659,7.12060651e-03,5.46992969e-03,6.20687411e-03,6.03239519e-03,5.70716764e-03,5.61228552e-03,2.79369076e-03
Gb,0.004888647474198805,6.64813249e-03,1.04972754e-02,5.99979975e-03,9.84417751e-03,9.00877955e-03,1.04094881e-02,4.88446507e-03
Db,0.013036393264530146,1.37675636e-02,1.87371346e-02,1.47663542e-02,1.57388788e-02,1.52719442e-02,1.79577542e-02,8.76619496e-03
Ab,0.03802281368821293,3.36769471e-02,3.03879499e-02,3.48809704e-02,2.45431431e-02,2.70387230e-02,2.88142760e-02,1.71323218e-02
Eb,0.030418250950570342,4.63450875e-02,4.56393320e-02,4.49350493e-02,3.71042363e-02,4.06526276e-02,4.30027707e-02,2.69843572e-02
Bb,0.040195545898967955,4.48898821e-02,6.46723379e-02,3.89493481e-02,5.39260202e-02,5.17554590e-02,5.96922847e-02,4.04014922e-02
F,0.07387289516567083,6.97299285e-02,8.45627383e-02,6.74607714e-02,7.44322979e-02,7.19227543e-02,7.70678072e-02,8.02206564e-02
C,0.09560021727322107,1.26303438e-01,9.92528676e-02,1.28597897e-01,9.58287682e-02,1.14437670e-01,9.25466794e-02,1.29732915e-01
G,0.15860945138511678,1.34358762e-01,1.06207637e-01,1.43800270e-01,1.12415401e-01,1.40733293e-01,1.03366953e-01,1.26824459e-01
D,0.07658881042911461,8.82747224e-02,1.07198792e-01,9.26364819e-02,1.18667814e-01,1.11833724e-01,1.07383024e-01,1.04243764e-01
A,0.09342748506246605,7.20869142e-02,1.01939986e-01,7.33654112e-02,1.12586460e-01,7.23714098e-02,1.03758236e-01,1.13145743e-01
E,0.11569799022270505,9.60407897e-02,8.87727821e-02,9.63662155e-02,9.61677735e-02,8.97580396e-02,9.32486528e-02,1.28669081e-01
B,0.09940249864204237,8.91455758e-02,7.06155016e-02,9.10790226e-02,7.49150369e-02,8.02470276e-02,7.79463155e-02,7.88907091e-02
F#,0.04888647474198805,4.84435144e-02,5.31078419e-02,4.76190111e-02,5.44957073e-02,4.52690953e-02,6.06012598e-02,3.70411491e-02
C#,0.016295491580662683,2.88560525e-02,3.84896588e-02,2.77230458e-02,3.76874930e-02,3.18246430e-02,4.38228635e-02,2.91710573e-02
G#,0.021727322107550243,3.17264070e-02,2.64422804e-02,3.00287961e-02,2.50763577e-02,3.10611356e-02,2.94749372e-02,2.72762273e-02
D#,0.023900054318305268,2.57971991e-02,1.70447145e-02,2.42931662e-02,1.61854364e-02,2.05942278e-02,1.84390297e-02,1.65276037e-02
A#,0.013036393264530146,1.22611819e-02,1.05845875e-02,1.00952044e-02,1.01938013e-02,1.09036009e-02,1.07289266e-02,8.47211619e-03
E#,0.005431830526887561,5.77507684e-03,6.48886723e-03,4.75483156e-03,6.29213126e-03,8.05815555e-03,5.80640764e-03,6.60453219e-03
B#,0.005431830526887561,5.42842556e-03,3.88828726e-03,4.63197366e-03,3.81899998e-03,6.17544520e-03,2.92275094e-03,4.51595016e-03
F##,0.0021727322107550242,3.89469918e-03,2.23996508e-03,3.17889751e-03,2.28511357e-03,3.44611929e-03,1.36838760e-03,2.32972982e-03
C##,0.0027159152634437804,1.65051077e-03,1.25794950e-03,9.79792756e-04,1.35068229e-03,1.89403038e-03,5.95880937e-04,9.86239737e-04
G##,0.0,7.05433951e-04,7.04206137e-04,3.95365050e-04,7.89938090e-04,1.33286066e-03,2.41347547e-04,4.07191765e-04
D##,0.0,5.32892022e-04,3.91055897e-04,3.54217231e-04,4.57723456e-04,8.46390440e-04,9.09199786e-05,3.87951418e-04
A##,0.0,3.27501103e-04,2.11633755e-04,1.98888192e-04,2.63062196e-04,4.38383471e-04,3.18572877e-05,1.40970112e-04
E##,0.0,1.32473441e-04,1.12254037e-04,3.93286244e-05,1.50091111e-04,2.49017772e-04,1.03822458e-05,4.29687591e-05
B##,0.0,6.18642228e-05,5.95001885e-05,1.44499184e-05,8.50798051e-05,1.59617122e-04,3.14707327e-06,2.91083586e-05
