pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,0.00011864,0.00068108,9.69759624e-05,0.00146031,8.07426323e-04,6.52059812e-05
Cbb,0.0,0.00011911,0.00099403,2.58891772e-04,0.00220293,1.43834962e-03,2.39088042e-04
Gbb,0.0,0.0006337,0.00264294,6.59549990e-04,0.00396331,2.46454798e-03,3.58408846e-04
Dbb,0.0,0.00156745,0.00500802,1.58677963e-03,0.00592994,4.06182628e-03,7.68094001e-04
Abb,0.004838709677419355,0.00193328,0.00532213,3.54553556e-03,0.00681898,6.43897392e-03,1.84987464e-03
Ebb,0.002688172043010753,0.00480149,0.00740594,7.19673528e-03,0.00955524,9.81800484e-03,2.79391343e-03
Bbb,0.016666666666666666,0.01162953,0.01668795,1.30533594e-02,0.01655067,1.43992897e-02,4.88485439e-03
Fb,0.016129032258064516,0.01687739,0.02549209,2.11532740e-02,0.0232524,2.03128169e-02,8.76689367e-03
Cb,0.02043010752688172,0.02361995,0.02331592,3.09616907e-02,0.02351384,2.75619849e-02,1.71336873e-02
Gb,0.05,0.04242531,0.03015761,4.15185580e-02,0.0296498,3.59717927e-02,2.69865080e-02
Db,0.07634408602150537,0.06695585,0.05579278,5.17019040e-02,0.04869288,4.51569839e-02,4.04047124e-02
Ab,0.10752688172043011,0.07156123,0.0706753,6.04821715e-02,0.06341298,5.45254207e-02,8.02270504e-02
Eb,0.057526881720430106,0.05979438,0.05496595,6.70979938e-02,0.05413925,6.33263385e-02,1.29743256e-01
Bb,0.038172043010752686,0.06496424,0.0587915,7.11342617e-02,0.05765712,7.07425947e-02,1.26834568e-01
F,0.08763440860215053,0.09011781,0.09114411,7.25158502e-02,0.08655065,7.60131701e-02,1.04252073e-01
C,0.06451612903225806,0.09830746,0.09960943,7.14453496e-02,0.1025055,7.85611730e-02,1.13154761e-01
G,0.06129032258064516,0.07491498,0.063875,6.83147693e-02,0.07064532,7.80977150e-02,1.28679336e-01
D,0.038172043010752686,0.0543309,0.05095855,6.36151572e-02,0.05583731,7.46758113e-02,7.88969971e-02
A,0.0543010752688172,0.0588094,0.06363547,5.78594132e-02,0.0683547,6.86804015e-02,3.70441015e-02
E,0.057526881720430106,0.06558553,0.06850095,5.15254563e-02,0.07124977,6.07570887e-02,2.91733823e-02
B,0.06720430107526881,0.05222639,0.04648979,4.50208274e-02,0.04456544,5.16978330e-02,2.72784014e-02
F#,0.04032258064516129,0.03135175,0.03478917,3.86660559e-02,0.03039336,4.23115541e-02,1.65289211e-02
C#,0.044623655913978495,0.0235244,0.02842069,3.26923728e-02,0.03181543,3.33086375e-02,8.47279146e-03
G#,0.04408602150537634,0.02490963,0.02632559,2.72490302e-02,0.0296446,2.52212156e-02,6.60505860e-03
D#,0.014516129032258065,0.02140717,0.01901871,2.24160179e-02,0.01746282,1.83690380e-02,4.51631010e-03
A#,0.01935483870967742,0.0125872,0.01593211,1.82188909e-02,0.01096925,1.28682078e-02,2.32991551e-03
E#,0.005913978494623656,0.00671563,0.00977881,1.46434227e-02,0.01021287,8.67083604e-03,9.86318346e-04
B#,0.005376344086021506,0.00574128,0.0078247,1.16486916e-02,0.00865626,5.61972592e-03,4.07224220e-04
F##,0.001075268817204301,0.00529675,0.00483809,9.17791705e-03,0.00488137,3.50332598e-03,3.87982340e-04
C##,0.001075268817204301,0.00332056,0.0044262,7.16686368e-03,0.00291025,2.10066703e-03,1.40981348e-04
G##,0.001075268817204301,0.00146713,0.00235684,5.54994738e-03,0.00247317,1.21156060e-03,4.29721839e-05
D##,0.0016129032258064516,0.00084015,0.00194792,4.26429350e-03,0.00193457,6.72116130e-04,2.91106787e-05
A##,0.0,0.00077048,0.00098218,3.25166121e-03,0.00105392,3.58636716e-04,2.72013092e-06
E##,0.0,0.00054241,0.0008189,2.46150783e-03,0.00060574,1.84067212e-04,1.39695263e-05
B##,0.0,0.00023144,0.00039355,1.84882289e-03,0.00047805,9.08676657e-05,5.56755278e-07
