pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.72541940e-05,4.76900837e-06,4.68681862e-05,6.54352475e-05,8.06560133e-05,1.53099392e-06,1.36764787e-06
Cbb,0.0,3.68471652e-05,1.18890272e-05,9.64783154e-05,1.12652484e-04,1.38631762e-04,4.63755048e-06,3.00849208e-06
Gbb,0.0,7.68345436e-05,2.88386272e-05,1.39204205e-04,1.92042959e-04,2.34912412e-04,1.32488794e-05,5.98627873e-06
Dbb,0.0,1.53032663e-04,6.79321552e-05,2.99595784e-04,3.23936057e-04,3.90669203e-04,3.56980880e-05,6.54062392e-05
Abb,0.0,3.03307221e-04,1.54365644e-04,4.29829744e-04,5.40206885e-04,6.42416806e-04,9.07164560e-05,2.55581054e-05
Ebb,0.0,5.59641913e-04,3.37329118e-04,8.20976974e-04,8.89802019e-04,1.04723860e-03,2.17421510e-04,6.52051988e-05
Bbb,0.0,1.05808386e-03,7.10381834e-04,1.41479235e-03,1.44610666e-03,1.67298107e-03,4.91466873e-04,2.39085173e-04
Fb,0.0,1.79728406e-03,1.43972681e-03,2.08827782e-03,2.31612588e-03,2.61155266e-03,1.04775877e-03,3.58404545e-04
Cb,0.0074866310160427805,3.24450759e-03,2.78643491e-03,3.34273458e-03,3.65081343e-03,4.03460696e-03,2.10670473e-03,7.68084785e-04
Gb,0.006417112299465241,5.04909802e-03,5.12163629e-03,6.40205933e-03,5.65471017e-03,6.16130513e-03,3.99504199e-03,1.84985244e-03
Db,0.012834224598930482,8.68270585e-03,8.95126103e-03,9.44330808e-03,8.59118957e-03,9.13278179e-03,7.14519913e-03,2.79387991e-03
Ab,0.009625668449197862,1.23375007e-02,1.48692769e-02,1.16131797e-02,1.27770388e-02,1.31621551e-02,1.20526526e-02,4.88479578e-03
Eb,0.017112299465240642,2.01003195e-02,2.32938161e-02,1.68697420e-02,1.85572176e-02,1.87973538e-02,1.91745972e-02,8.76678848e-03
Bb,0.031016042780748664,2.60081125e-02,3.41754282e-02,3.26041347e-02,2.62485847e-02,2.63551889e-02,2.87703519e-02,1.71334817e-02
F,0.040641711229946524,3.98234066e-02,4.70450166e-02,4.08764237e-02,3.60424896e-02,3.53400657e-02,4.07135909e-02,2.69861842e-02
C,0.04171122994652406,4.67665411e-02,6.10249361e-02,3.86871442e-02,4.78640466e-02,4.57659390e-02,5.43386639e-02,4.04042277e-02
G,0.057754010695187166,6.66369428e-02,7.44442411e-02,5.24503449e-02,6.12048207e-02,5.86938747e-02,6.83996396e-02,8.02260878e-02
D,0.08663101604278074,7.06405740e-02,8.50845543e-02,9.03192667e-02,7.49775626e-02,7.28896165e-02,8.12033570e-02,1.29741699e-01
A,0.10374331550802139,9.26067868e-02,9.14375080e-02,9.95947245e-02,8.74807399e-02,8.45711690e-02,9.09221014e-02,1.26833046e-01
E,0.06524064171122995,8.78210065e-02,9.31470944e-02,7.41051380e-02,9.65852759e-02,9.32383549e-02,9.60152590e-02,1.04250822e-01
B,0.08449197860962566,1.04578911e-01,9.01539301e-02,7.73290934e-02,1.00222555e-01,1.00652968e-01,9.56282838e-02,1.13153404e-01
F#,0.10160427807486631,8.74494984e-02,8.25544245e-02,1.17451409e-01,9.71087818e-02,1.02813356e-01,8.98271825e-02,1.28677793e-01
C#,0.12085561497326203,9.32342897e-02,7.14446967e-02,1.13244788e-01,8.73966874e-02,9.41593840e-02,7.95801045e-02,7.88960505e-02
G#,0.058823529411764705,6.72496848e-02,5.87936144e-02,6.54427832e-02,7.28039669e-02,7.62093959e-02,6.64930944e-02,3.70436570e-02
D#,0.0374331550802139,6.31373004e-02,4.62525900e-02,3.65239043e-02,5.60392888e-02,5.56981091e-02,5.23991081e-02,2.91730323e-02
A#,0.0427807486631016,3.80237661e-02,3.47514707e-02,3.99154694e-02,3.98636981e-02,3.78473117e-02,3.89445381e-02,2.72780741e-02
E#,0.047058823529411764,3.08549800e-02,2.49221872e-02,3.36178253e-02,2.62552331e-02,2.43101928e-02,2.72988612e-02,1.65287228e-02
B#,0.017112299465240642,1.48138312e-02,1.71744301e-02,1.51884220e-02,1.60658519e-02,1.48248821e-02,1.80475318e-02,8.47268980e-03
F##,0.0021390374331550803,1.01910794e-02,1.14696721e-02,6.24853843e-03,9.17812928e-03,8.61255442e-03,1.12529506e-02,6.60497935e-03
C##,0.0021390374331550803,3.69195324e-03,7.44003553e-03,6.10828261e-03,4.92493401e-03,4.80032834e-03,6.61744469e-03,4.51625591e-03
G##,0.0042780748663101605,2.11617333e-03,4.68400499e-03,4.34097174e-03,2.49883235e-03,2.58392465e-03,3.67019839e-03,2.32988756e-03
D##,0.0010695187165775401,5.79558366e-04,2.87357295e-03,1.62726464e-03,1.20696710e-03,1.34742947e-03,1.91983573e-03,9.86306512e-04
A##,0.0,2.65844114e-04,1.72980357e-03,4.53570557e-04,5.58399599e-04,6.81802119e-04,9.47139423e-04,4.07219334e-04
E##,0.0,7.23674924e-05,1.02404588e-03,5.48366822e-04,2.48735001e-04,3.35646863e-04,4.40695959e-04,3.87977684e-04
B##,0.0,2.09743625e-05,5.95085051e-04,3.15087080e-04,1.07141979e-04,1.61244302e-04,1.93392458e-04,1.40979657e-04
