pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,3.13187716e-17,9.05718126e-10,1.64588778e-07,1.64121168e-10,2.63415813e-07,4.80704769e-16,1.36764787e-06
Cbb,0.0,4.02494679e-15,3.51523069e-09,2.86987236e-07,7.44958775e-10,6.64118941e-07,1.57275237e-14,3.00849208e-06
Gbb,0.0,3.79120164e-14,1.13871120e-08,1.40318689e-06,3.33191240e-09,1.75281721e-06,4.24873715e-13,5.98627873e-06
Dbb,0.0,1.81061538e-13,4.16774471e-08,4.44211870e-06,1.46602243e-08,4.40723138e-06,9.47713316e-12,6.54062392e-05
Abb,0.0,2.16909587e-11,1.84455352e-07,6.67276100e-06,6.33341608e-08,1.01559810e-05,1.74546724e-10,2.55581054e-05
Ebb,0.0,1.51212187e-10,6.84803022e-07,2.20359938e-05,2.68034163e-07,2.41271128e-05,2.65438566e-09,6.52051988e-05
Bbb,0.0,6.80492352e-10,2.03669442e-06,5.45417915e-05,1.10814531e-06,6.11244365e-05,3.33298950e-08,2.39085173e-04
Fb,0.0,6.86690028e-08,6.77829743e-06,1.18643962e-04,4.46057038e-06,1.41998659e-04,3.45558411e-07,3.58404545e-04
Cb,0.0,3.10424182e-07,2.80145748e-05,2.83415028e-04,1.74079062e-05,2.92157704e-04,2.95819359e-06,7.68084785e-04
Gb,0.0,1.66099604e-06,9.63529476e-05,4.50881818e-04,6.55170898e-05,6.46998599e-04,2.09097730e-05,1.84985244e-03
Db,0.0,9.87770037e-05,2.49330227e-04,1.38062699e-03,2.36177745e-04,1.56454381e-03,1.22036472e-04,2.79387991e-03
Ab,0.0,2.09961003e-04,6.98893841e-04,3.89172767e-03,8.08131989e-04,3.24070160e-03,5.88095114e-04,4.88479578e-03
Eb,0.0,2.28730339e-03,2.47669182e-03,4.84716960e-03,2.59241814e-03,5.60442401e-03,2.34003902e-03,8.76678848e-03
Bb,0.0,6.84806394e-03,7.21058216e-03,9.20413841e-03,7.65719472e-03,1.13855322e-02,7.68805053e-03,1.71334817e-02
F,0.036585365853658534,2.33294675e-02,1.41353306e-02,3.00679021e-02,2.02682346e-02,2.60246475e-02,2.08558051e-02,2.69861842e-02
C,0.07469512195121951,4.78243477e-02,2.73226482e-02,5.31106514e-02,4.62682078e-02,4.47850694e-02,4.67148858e-02,4.04042277e-02
G,0.05030487804878049,9.26113594e-02,6.53635528e-02,4.89792957e-02,8.71571345e-02,5.56431815e-02,8.63975097e-02,8.02260878e-02
D,0.10213414634146341,1.30020828e-01,1.26617301e-01,9.08809109e-02,1.32188059e-01,1.00117771e-01,1.31936439e-01,1.29741699e-01
A,0.21189024390243902,1.67375396e-01,1.40714072e-01,2.19559848e-01,1.66068546e-01,2.11336273e-01,1.66358844e-01,1.26833046e-01
E,0.19969512195121952,1.65178245e-01,1.27168302e-01,2.38364903e-01,1.72480167e-01,2.53359591e-01,1.73198701e-01,1.04250822e-01
B,0.0899390243902439,1.48789279e-01,1.36085433e-01,8.64264359e-02,1.48620888e-01,7.70303641e-02,1.48888436e-01,1.13153404e-01
F#,0.07164634146341463,1.02768447e-01,1.42054374e-01,7.25382910e-02,1.05892564e-01,6.75471651e-02,1.05680511e-01,1.28677793e-01
C#,0.1326219512195122,6.51049826e-02,9.78578832e-02,8.97353529e-02,6.25279729e-02,7.86840564e-02,6.19364695e-02,7.88960505e-02
G#,0.027439024390243903,2.99362818e-02,4.66705948e-02,2.24025998e-02,2.97595791e-02,2.74433521e-02,2.99719906e-02,3.70436570e-02
D#,0.001524390243902439,1.30183134e-02,2.68086703e-02,9.64163918e-03,1.17117437e-02,1.27608868e-02,1.19757392e-02,2.91730323e-02
A#,0.0,3.43106978e-03,1.83819891e-02,1.31722034e-02,3.98694499e-03,1.26352721e-02,3.95099675e-03,2.72780741e-02
E#,0.001524390243902439,1.03141313e-03,1.06556763e-02,2.98985095e-03,1.22032766e-03,5.26070273e-03,1.07628829e-03,1.65287228e-02
B#,0.0,9.45235094e-05,4.53911704e-03,4.32977073e-04,3.44896046e-04,1.88507057e-03,2.42085157e-04,8.47268980e-03
F##,0.0,3.80652270e-05,2.22743507e-03,1.15540262e-03,9.15770268e-05,1.40567867e-03,4.49598970e-05,6.60497935e-03
C##,0.0,1.55183618e-06,1.33139359e-03,1.21606582e-04,2.31146512e-05,6.60068805e-04,6.89445681e-06,4.51625591e-03
G##,0.0,2.23952784e-07,7.32226967e-04,9.32552150e-05,5.59430012e-06,2.24911894e-04,8.72956100e-07,2.32988756e-03
D##,0.0,5.68479776e-08,3.05712706e-04,3.40023302e-05,1.30688147e-06,1.24763913e-04,9.12645998e-08,9.86306512e-04
A##,0.0,1.17918139e-09,1.39863844e-04,2.04056706e-05,2.96206267e-07,6.12223505e-05,7.87825266e-09,4.07219334e-04
E##,0.0,2.22139513e-10,7.74732354e-05,1.48593740e-06,6.54010830e-08,2.15520990e-05,5.61532706e-10,3.87977684e-04
B##,0.0,3.99873877e-11,4.13444133e-05,4.82933103e-06,1.41133370e-08,9.54669796e-06,3.30474390e-11,1.40979657e-04
