pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,6.48038305e-07,6.59012999e-06,6.58040926e-06,2.80466103e-06,6.82098994e-05,3.28141318e-06,2.55577730e-05
Cbb,0.0,2.31467434e-06,1.87168966e-05,1.80416145e-05,8.00380107e-06,1.33675164e-04,1.15862576e-05,6.52043509e-05
Gbb,0.0,9.12511017e-06,5.00690991e-05,6.07149766e-05,2.23721812e-05,2.68864179e-04,3.77226457e-05,2.39082064e-04
Dbb,0.0,2.67671684e-05,1.31863058e-04,1.63310275e-04,6.10784480e-05,5.08077230e-04,1.13249895e-04,3.58399885e-04
Abb,0.0,9.12003993e-05,3.43654618e-04,3.31395358e-04,1.62275081e-04,9.07749389e-04,3.13509113e-04,7.68074798e-04
Ebb,0.0005219206680584551,2.83721370e-04,8.38141306e-04,8.54696285e-04,4.17590290e-04,1.72346345e-03,8.00274965e-04,1.84982839e-03
Bbb,0.0005219206680584551,7.35620207e-04,1.87473430e-03,2.12092524e-03,1.03517570e-03,3.18695600e-03,1.88367074e-03,2.79384358e-03
Fb,0.0010438413361169101,2.16173732e-03,4.02748279e-03,3.59652941e-03,2.45667507e-03,5.13483286e-03,4.08834419e-03,4.88473226e-03
Cb,0.00861169102296451,4.91536433e-03,8.44691941e-03,6.80872399e-03,5.53045396e-03,8.64416412e-03,8.18213443e-03,8.76667449e-03
Gb,0.010438413361169102,1.19773122e-02,1.62937399e-02,1.52462655e-02,1.16354975e-02,1.57761495e-02,1.50994966e-02,1.71332590e-02
Db,0.01722338204592902,2.26840890e-02,2.77910129e-02,2.34422882e-02,2.24790729e-02,2.35287407e-02,2.56941957e-02,2.69858333e-02
Ab,0.04149269311064718,4.19949995e-02,4.37667087e-02,3.21928822e-02,3.93660418e-02,3.18928623e-02,4.03166357e-02,4.04037023e-02
Eb,0.0720250521920668,6.28503908e-02,6.59054273e-02,5.91688801e-02,6.18527294e-02,5.48053600e-02,5.83324532e-02,8.02250447e-02
Bb,0.10151356993736951,8.87978346e-02,9.04041984e-02,8.60919764e-02,8.66198915e-02,8.02381961e-02,7.78238833e-02,1.29740012e-01
F,0.08298538622129437,1.05565480e-01,1.07034462e-01,8.90491400e-02,1.07915786e-01,8.12692890e-02,9.57397421e-02,1.26831397e-01
C,0.10073068893528184,1.17946279e-01,1.13183074e-01,1.09651459e-01,1.19818745e-01,1.07670695e-01,1.08604622e-01,1.04249467e-01
G,0.13491649269311065,1.15053002e-01,1.13949416e-01,1.46033635e-01,1.19151941e-01,1.58486918e-01,1.13600714e-01,1.13151932e-01
D,0.1315240083507307,1.06297287e-01,1.08158129e-01,1.29168286e-01,1.07539718e-01,1.27997046e-01,1.09569711e-01,1.28676119e-01
A,0.07593945720250522,8.89940807e-02,9.13369421e-02,7.31939789e-02,8.95159846e-02,7.56200077e-02,9.74488388e-02,7.88950246e-02
E,0.05349686847599165,7.10879415e-02,6.84879890e-02,5.36898701e-02,6.97284592e-02,5.80358694e-02,7.99170640e-02,3.70431754e-02
B,0.05767223382045929,5.31976179e-02,4.88576932e-02,6.38995978e-02,5.14298890e-02,5.95941305e-02,6.04336844e-02,2.91726530e-02
F#,0.050887265135699376,3.78700894e-02,3.41407267e-02,4.82221064e-02,3.62519620e-02,4.14084140e-02,4.21400768e-02,2.72777194e-02
C#,0.019572025052192066,2.58696852e-02,2.24748132e-02,2.02285844e-02,2.45980398e-02,2.18344250e-02,2.70949450e-02,1.65285078e-02
G#,0.008350730688935281,1.67182027e-02,1.36406017e-02,1.05587528e-02,1.61586008e-02,1.38441412e-02,1.60641564e-02,8.47257964e-03
D#,0.015657620041753653,1.05263615e-02,8.03124132e-03,1.24331299e-02,1.03233952e-02,1.14528859e-02,8.78221918e-03,6.60489347e-03
A#,0.004958246346555324,6.30526977e-03,4.76417650e-03,7.95232757e-03,6.43810250e-03,7.19279618e-03,4.42718143e-03,4.51619719e-03
E#,0.0041753653444676405,3.67355432e-03,2.76828228e-03,2.52382042e-03,3.93114082e-03,3.56926485e-03,2.05791327e-03,2.32985726e-03
B#,0.0005219206680584551,2.07062225e-03,1.52377495e-03,1.03760821e-03,2.35606146e-03,2.03889566e-03,8.82070941e-04,9.86293687e-04
F##,0.0033924843423799585,1.11809219e-03,8.18806528e-04,1.30639756e-03,1.38888242e-03,1.45724881e-03,3.48623502e-04,4.07214039e-04
C##,0.0015657620041753654,5.96117000e-04,4.46116472e-04,6.33839251e-04,8.06709037e-04,8.46484295e-04,1.27053463e-04,3.87972640e-04
G##,0.00026096033402922753,3.03231537e-04,2.42260899e-04,1.56467797e-04,4.62368970e-04,4.02504277e-04,4.26965763e-05,1.40977824e-04
D##,0.0,1.51577540e-04,1.26602660e-04,5.66658106e-05,2.61839960e-04,2.14455843e-04,1.32305012e-05,4.29711096e-05
A##,0.0,7.38994787e-05,6.47011850e-05,7.44682422e-05,1.46668871e-04,1.37679796e-04,3.78038682e-06,2.91099509e-05
E##,0.0,3.43715526e-05,3.35014793e-05,2.10578589e-05,8.13413314e-05,7.50486276e-05,9.96031064e-07,2.72006291e-06
B##,0.0,1.61129822e-05,1.74293456e-05,5.59712738e-06,4.47012964e-05,3.44993166e-05,2.41983763e-07,1.39691771e-05
