pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.73525619e-06,2.18348849e-04,1.94383737e-05,1.15308141e-06,6.45956876e-05,7.50948289e-04,7.68603034e-04
Cbb,0.0,1.57425986e-05,5.69587891e-04,3.75696971e-05,7.55968776e-06,1.89815134e-04,1.69128410e-03,1.85110059e-03
Gbb,0.0,8.41891739e-05,1.33533113e-03,1.76368298e-04,3.99802069e-05,5.39835986e-04,3.54284543e-03,2.79576502e-03
Dbb,0.0,4.09742742e-04,3.04245652e-03,8.47985996e-04,1.73132495e-04,1.47193661e-03,6.90266743e-03,4.88809169e-03
Abb,0.0,1.76408951e-03,6.92633246e-03,1.01232567e-03,8.56627639e-04,3.80122433e-03,1.25086603e-02,8.77270368e-03
Ebb,0.009473684210526316,6.51129096e-03,1.43197264e-02,1.00872257e-02,4.68242111e-03,9.26676753e-03,2.10830652e-02,1.71450422e-02
Bbb,0.01263157894736842,1.99606438e-02,2.53797542e-02,9.45248301e-03,1.48337935e-02,2.13659593e-02,3.30510918e-02,2.70043925e-02
Fb,0.05157894736842105,4.91723660e-02,4.15952717e-02,6.11756612e-02,5.60601521e-02,4.57047714e-02,4.81911150e-02,4.04314895e-02
Cb,0.07578947368421053,9.37594248e-02,6.65775525e-02,6.35939291e-02,1.02444900e-01,8.54503641e-02,6.53547629e-02,8.02802186e-02
Gb,0.17789473684210527,1.32291701e-01,9.57694530e-02,1.47739448e-01,1.26204528e-01,1.27824874e-01,8.24359442e-02,1.29829239e-01
Db,0.1,1.32470652e-01,1.13630198e-01,1.11354563e-01,1.29008459e-01,1.39397353e-01,9.67130534e-02,1.26918624e-01
Ab,0.14105263157894737,1.00098417e-01,1.18189502e-01,1.58596908e-01,1.18912398e-01,1.07284734e-01,1.05531638e-01,1.04321163e-01
Eb,0.09789473684210526,8.76478774e-02,1.19113664e-01,8.77115542e-02,1.02547670e-01,8.27138122e-02,1.07104906e-01,1.13229751e-01
Bb,0.11894736842105263,1.00668538e-01,1.13580405e-01,9.44215040e-02,8.43637302e-02,9.86058826e-02,1.01103260e-01,1.28764615e-01
F,0.04736842105263158,8.44632391e-02,9.32016851e-02,5.57189270e-02,6.69991916e-02,8.51044747e-02,8.87666963e-02,7.89492839e-02
C,0.035789473684210524,5.10292595e-02,6.58440515e-02,5.05907088e-02,5.17723427e-02,5.14391734e-02,7.24876565e-02,3.70686514e-02
G,0.010526315789473684,3.59512742e-02,4.48756295e-02,4.79620437e-02,3.91412852e-02,3.56790378e-02,5.50563184e-02,2.91927162e-02
D,0.021052631578947368,3.55984731e-02,3.06200955e-02,2.90727861e-02,2.90680190e-02,3.54306553e-02,3.88937107e-02,2.72964794e-02
A,0.028421052631578948,2.60055235e-02,1.95226477e-02,3.05894322e-02,2.12684234e-02,2.53637700e-02,2.55552831e-02,1.65398752e-02
E,0.014736842105263158,1.38478291e-02,1.12292796e-02,1.13216805e-02,1.53670374e-02,1.37725828e-02,1.56174858e-02,8.47840657e-03
B,0.017894736842105262,8.85214879e-03,6.33624704e-03,1.15812927e-02,1.09840202e-02,9.38938140e-03,8.87709048e-03,6.60943592e-03
F#,0.016842105263157894,7.75895683e-03,3.68895382e-03,5.06852894e-03,7.77809838e-03,7.95242034e-03,4.69309428e-03,4.51930316e-03
C#,0.00631578947368421,5.04281301e-03,2.10195968e-03,4.21856315e-03,5.46303161e-03,4.94521298e-03,2.30768759e-03,2.33145960e-03
G#,0.011578947368421053,2.46650470e-03,1.11189824e-03,3.80659872e-03,3.80942787e-03,2.57522174e-03,1.05541645e-03,9.86972000e-04
D#,0.0,1.49042349e-03,5.76523188e-04,1.36171706e-03,2.63936513e-03,1.72738593e-03,4.48951890e-04,4.07494097e-04
A#,0.004210526315789474,1.17478342e-03,3.09417747e-04,1.55478212e-03,1.81821749e-03,1.27645704e-03,1.77625313e-04,3.88239464e-04
E#,0.0,6.90537474e-04,1.65942276e-04,2.04932763e-04,1.24608545e-03,7.17156788e-04,6.53640588e-05,1.41074780e-04
B#,0.0,3.17601990e-04,8.41225158e-05,3.30177588e-04,8.49999942e-04,3.69477265e-04,2.23718693e-05,4.30006625e-05
F##,0.0,1.84193513e-04,4.16869037e-05,1.81876386e-04,5.77355598e-04,2.40560724e-04,7.12187980e-06,2.91299710e-05
C##,0.0,1.32028797e-04,2.13023082e-05,8.02930510e-05,3.90644387e-04,1.58523033e-04,2.10870637e-06,2.72193361e-06
G##,0.0,7.11199660e-05,1.09881475e-05,1.10907336e-04,2.63374547e-04,8.30150695e-05,5.80719871e-07,1.39787842e-05
D##,0.0,3.12091920e-05,5.42662191e-06,2.66556068e-08,1.76987862e-04,4.27906159e-05,1.48746367e-07,5.57124251e-07
A##,0.0,1.74599817e-05,2.61583689e-06,1.72041747e-05,1.18576837e-04,2.67371685e-05,3.54368535e-08,2.50104384e-07
E##,0.0,1.14809835e-05,1.29367499e-06,5.56740457e-07,7.92209499e-05,1.60305035e-05,7.85223058e-09,1.04292299e-07
B##,0.0,5.72863386e-06,6.49081269e-07,8.44769436e-51,5.27898879e-05,8.00922541e-06,1.61830375e-09,6.62002905e-08
