pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,9.86111990e-14,6.45964095e-08,1.03987571e-09,1.26768476e-06,6.25252664e-08,2.39103573e-04
Cbb,0.0,1.35648328e-10,1.85367438e-07,7.31656802e-09,4.37674201e-06,5.34052135e-07,3.58432128e-04
Gbb,0.0,3.32295863e-10,4.29768492e-07,4.98053090e-08,1.56941682e-05,3.85569966e-06,7.68143897e-04
Dbb,0.0,1.09223714e-09,6.99175825e-06,3.42434636e-07,5.17349358e-05,2.35295801e-05,1.84999481e-03
Abb,0.0,6.37395199e-07,5.73470684e-05,2.46274766e-06,1.52763675e-04,1.21371464e-04,2.79409492e-03
Ebb,0.0,1.21646080e-06,2.02350661e-04,1.68000548e-05,4.66247888e-04,5.29188557e-04,4.88517171e-03
Bbb,0.0,6.96960662e-06,1.95080626e-04,9.95693190e-05,1.53940969e-03,1.95027447e-03,8.76746317e-03
Fb,0.0,1.26351513e-03,2.65661991e-04,5.74708531e-04,4.47010284e-03,6.07536621e-03,1.71348003e-02
Cb,0.0,1.74315675e-03,1.28992177e-03,4.07285667e-03,1.05124625e-02,1.59970766e-02,2.69882610e-02
Gb,0.011780104712041885,1.87944769e-02,1.28274210e-02,2.62153755e-02,2.50926838e-02,3.56041175e-02,4.04073371e-02
Db,0.07591623036649214,8.30476296e-02,8.05177405e-02,5.07280930e-02,7.34864299e-02,6.69809440e-02,8.02322620e-02
Ab,0.22774869109947643,1.86088344e-01,2.26062257e-01,1.83525977e-01,1.74922119e-01,1.06510823e-01,1.29751684e-01
Eb,0.1518324607329843,2.07496544e-01,2.00842973e-01,1.94291567e-01,2.34385267e-01,1.43161965e-01,1.26842807e-01
Bb,0.10732984293193717,1.11433107e-01,8.66367746e-02,1.61903430e-01,9.42260419e-02,1.62649600e-01,1.04258845e-01
F,0.08638743455497382,7.21353858e-02,6.57421913e-02,1.21937348e-01,7.71617033e-02,1.56195956e-01,1.13162112e-01
C,0.1544502617801047,1.21493247e-01,1.33218175e-01,8.67341354e-02,1.08186380e-01,1.26787958e-01,1.28687696e-01
G,0.10340314136125654,9.27807133e-02,9.12175418e-02,5.94183406e-02,8.04609325e-02,8.69916700e-02,7.89021223e-02
D,0.030104712041884817,2.99089529e-02,2.85889408e-02,3.96387343e-02,3.26171375e-02,5.04508822e-02,3.70465079e-02
A,0.003926701570680628,2.26336496e-02,1.51914576e-02,2.59268794e-02,2.61166063e-02,2.47315479e-02,2.91752775e-02
E,0.034031413612565446,2.69655589e-02,3.00200859e-02,1.67017665e-02,2.46253487e-02,1.02476733e-02,2.72801734e-02
B,0.013089005235602094,1.32635721e-02,1.54851360e-02,1.06293736e-02,1.39013726e-02,3.58914230e-03,1.65299948e-02
F#,0.0,3.81561635e-03,2.76632453e-03,6.69825222e-03,6.13777758e-03,1.06254547e-03,8.47334186e-03
C#,0.0,3.10718857e-03,2.96061180e-03,4.18650084e-03,4.59159321e-03,2.65886205e-04,6.60548767e-03
G#,0.0,2.41286238e-03,3.37517910e-03,2.59856444e-03,3.31868444e-03,5.62387325e-05,4.51660348e-03
D#,0.0,9.34478577e-04,1.03110180e-03,1.60340830e-03,1.63107257e-03,1.00546436e-05,2.33006687e-03
A#,0.0,3.11750188e-04,8.57173406e-04,9.84306750e-04,7.76395244e-04,1.51946000e-06,9.86382417e-04
E#,0.0,1.88220345e-04,1.63018716e-04,6.01553038e-04,5.26457170e-04,1.94090064e-07,4.07250674e-04
B#,0.0,9.93442555e-05,2.13157005e-04,3.66189331e-04,3.16945180e-04,2.09560183e-08,3.88007543e-04
F##,0.0,4.08097592e-05,2.18632354e-04,2.22135501e-04,1.45951543e-04,1.91251863e-09,1.40990507e-04
C##,0.0,1.93428340e-05,5.05098474e-06,1.34329790e-04,7.24061752e-05,1.47534644e-10,4.29749754e-05
G##,0.0,8.47442256e-06,1.66864830e-05,8.10038882e-05,4.43456687e-05,9.61997166e-12,2.91125698e-05
D##,0.0,2.69547836e-06,2.40477247e-05,4.87232087e-05,2.35230793e-05,5.30206451e-13,2.72030762e-06
A##,0.0,1.19904641e-06,9.91247186e-08,2.92390706e-05,1.05402053e-05,2.47006089e-14,1.39704338e-05
E##,0.0,8.79928860e-07,1.88056198e-07,1.75096228e-05,5.27942546e-06,9.72661551e-16,5.56791445e-07
B##,0.0,4.60443881e-07,2.28540853e-10,1.04653162e-05,2.94638302e-06,3.23748134e-17,2.49954980e-07
