pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,5.19006682e-05,4.26907312e-05,1.54257712e-04,4.44154345e-05,1.96331166e-04,5.86951430e-06,2.39103573e-04
Cbb,0.0,1.22087687e-04,1.31752410e-04,2.71827951e-04,1.15553629e-04,3.79407770e-04,2.66001912e-05,3.58432128e-04
Gbb,0.0,3.07579026e-04,3.69302328e-04,4.30893442e-04,2.92713025e-04,7.01035600e-04,1.06631884e-04,7.68143897e-04
Dbb,0.0,8.76627235e-04,9.03145037e-04,1.34752328e-03,7.18921366e-04,1.51762169e-03,3.78102142e-04,1.84999481e-03
Abb,0.0,1.79858781e-03,2.18719771e-03,3.58837815e-03,1.70305334e-03,3.23484357e-03,1.18590780e-03,2.79409492e-03
Ebb,0.0,3.85741748e-03,5.48968869e-03,5.13026353e-03,3.86564648e-03,5.43280630e-03,3.29012536e-03,4.88517171e-03
Bbb,0.0009861932938856016,9.41003915e-03,1.22906778e-02,7.40821840e-03,8.33733524e-03,8.78512040e-03,8.07409208e-03,8.76746317e-03
Fb,0.038461538461538464,1.63699434e-02,2.25871944e-02,1.93282472e-02,1.69043575e-02,1.78920174e-02,1.75264792e-02,1.71348003e-02
Cb,0.04142011834319527,2.83642137e-02,3.86492485e-02,3.97323825e-02,3.17870186e-02,3.45771736e-02,3.36523500e-02,2.69882610e-02
Gb,0.048323471400394474,5.84012299e-02,6.69204280e-02,4.63336504e-02,5.45276668e-02,4.67331395e-02,5.71552126e-02,4.04073371e-02
Db,0.07495069033530571,8.18914538e-02,1.02222684e-01,5.54649360e-02,8.38203988e-02,6.04478396e-02,8.58649704e-02,8.02322620e-02
Ab,0.09072978303747535,1.00676170e-01,1.20749579e-01,1.10880033e-01,1.13838106e-01,1.09432140e-01,1.14102704e-01,1.29751684e-01
Eb,0.16074950690335305,1.67200439e-01,1.22474124e-01,1.73506812e-01,1.35949210e-01,1.80096952e-01,1.34120628e-01,1.26842807e-01
Bb,0.17850098619329388,1.72961559e-01,1.24147870e-01,1.54989503e-01,1.42265301e-01,1.63013766e-01,1.39448855e-01,1.04258845e-01
F,0.08678500986193294,8.77807540e-02,1.19833838e-01,1.13098141e-01,1.30313842e-01,1.11146027e-01,1.28249022e-01,1.13162112e-01
C,0.08185404339250493,8.89138966e-02,9.49350713e-02,1.06551989e-01,1.04642600e-01,8.61879996e-02,1.04330887e-01,1.28687696e-01
G,0.10650887573964497,8.78869863e-02,6.21051157e-02,7.43650375e-02,7.39593192e-02,6.67108784e-02,7.50743309e-02,7.89021223e-02
D,0.03353057199211045,3.26903953e-02,4.02883255e-02,3.61439574e-02,4.62566889e-02,4.23810538e-02,4.77848001e-02,3.70465079e-02
A,0.04043392504930966,2.26768524e-02,2.70308708e-02,2.59819154e-02,2.59835824e-02,2.51272213e-02,2.69034396e-02,2.91752775e-02
E,0.008875739644970414,2.22947729e-02,1.67184748e-02,1.49334214e-02,1.33513274e-02,1.57114726e-02,1.33981728e-02,2.72801734e-02
B,0.0,6.83002567e-03,9.02770653e-03,4.98028631e-03,6.38071780e-03,9.39224012e-03,5.90205255e-03,1.65299948e-02
F#,0.007889546351084813,3.44520288e-03,4.87945584e-03,3.21802299e-03,2.87436913e-03,5.11791081e-03,2.29974828e-03,8.47334186e-03
C#,0.0,3.45660536e-03,2.81201075e-03,1.52249688e-03,1.23323783e-03,2.75388606e-03,7.92642336e-04,6.60548767e-03
G#,0.0,9.02932789e-04,1.57768828e-03,3.07538322e-04,5.08004125e-04,1.49704659e-03,2.41653983e-04,4.51660348e-03
D#,0.0,3.39791676e-04,7.96054347e-04,2.30261488e-04,2.02175296e-04,7.77900196e-04,6.51673985e-05,2.33006687e-03
A#,0.0,3.57125884e-04,3.97728563e-04,8.04781657e-05,7.81245321e-05,3.86912972e-04,1.55448502e-05,9.86382417e-04
E#,0.0,7.99400595e-05,2.11880119e-04,7.00396034e-06,2.94291423e-05,1.91973134e-04,3.27991381e-06,4.07250674e-04
B#,0.0,2.24973638e-05,1.12758168e-04,1.02758239e-05,1.08419415e-05,9.43604026e-05,6.12150281e-07,3.88007543e-04
F##,0.0,2.55719127e-05,5.51026704e-05,1.90157800e-06,3.91682919e-06,4.48254793e-05,1.01058630e-07,1.40990507e-04
C##,0.0,4.84334864e-06,2.64190501e-05,7.48529461e-08,1.39067066e-06,2.08465186e-05,1.47573539e-08,4.29749754e-05
G##,0.0,1.00027807e-06,1.34119702e-05,2.44314397e-07,4.86167561e-07,9.65228713e-06,1.90617737e-09,2.91125698e-05
D##,0.0,1.28353458e-06,6.89333793e-06,2.27761462e-08,1.67612511e-07,4.40002597e-06,2.17789962e-10,2.72030762e-06
A##,0.0,1.99750925e-07,3.30593276e-06,4.01815281e-10,5.70653889e-08,1.95942397e-06,2.20106131e-11,1.39704338e-05
E##,0.0,2.89035113e-08,1.54665172e-06,3.18771808e-09,1.92083825e-08,8.62132402e-07,1.96764231e-12,5.56791445e-07
B##,0.0,4.45951464e-08,7.60026190e-07,1.44574239e-10,6.39880951e-09,3.76477624e-07,1.55589361e-13,2.49954980e-07
