pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,5.15098147e-06,1.99194367e-04,3.17853378e-05,4.28995377e-04,6.91991091e-05,2.55577730e-05
Cbb,0.0,8.18281188e-05,4.13816349e-04,8.28240292e-05,8.01192893e-04,1.68353282e-04,6.52043509e-05
Gbb,0.0,2.04749987e-04,7.47722321e-04,2.06710794e-04,1.31726421e-03,3.86410931e-04,2.39082064e-04
Dbb,0.0,1.86439970e-04,1.01816747e-03,4.91701824e-04,1.88719133e-03,8.36727329e-04,3.58399885e-04
Abb,0.0,7.87746143e-04,1.96567902e-03,1.10899646e-03,3.19216271e-03,1.70932733e-03,7.68074798e-04
Ebb,0.0011261261261261261,2.39870893e-03,4.92546169e-03,2.35974526e-03,5.76714849e-03,3.29437668e-03,1.84982839e-03
Bbb,0.0,3.06520943e-03,6.81700147e-03,4.71553158e-03,7.98039660e-03,5.99001632e-03,2.79384358e-03
Fb,0.007882882882882882,5.21531536e-03,7.60968269e-03,8.81561685e-03,1.01438054e-02,1.02751812e-02,4.88473226e-03
Cb,0.03153153153153153,1.49350908e-02,1.70608180e-02,1.53713083e-02,1.82647670e-02,1.66286773e-02,8.76667449e-03
Gb,0.018018018018018018,2.45080860e-02,3.28889199e-02,2.49424032e-02,2.94007334e-02,2.53882436e-02,1.71332590e-02
Db,0.02702702702702703,2.70567122e-02,3.13141869e-02,3.76104497e-02,3.05943445e-02,3.65691058e-02,2.69858333e-02
Ab,0.05855855855855856,4.66438963e-02,3.35813562e-02,5.26654077e-02,3.71038521e-02,4.96938630e-02,4.04037023e-02
Eb,0.09684684684684684,8.63069582e-02,7.47044807e-02,6.84894121e-02,7.28865012e-02,6.37085777e-02,8.02250447e-02
Bb,0.10698198198198199,9.42166564e-02,1.00283176e-01,8.27914276e-02,8.67821732e-02,7.70548171e-02,1.29740012e-01
F,0.07094594594594594,7.26486028e-02,6.01561392e-02,9.31912433e-02,5.80363096e-02,8.79241971e-02,1.26831397e-01
C,0.05855855855855856,8.89089431e-02,7.24114903e-02,9.79376568e-02,8.42528594e-02,9.46506852e-02,1.04249467e-01
G,0.08558558558558559,1.22158430e-01,1.39758056e-01,9.64390897e-02,1.53319117e-01,9.61271013e-02,1.13151932e-01
D,0.12725225225225226,9.65917394e-02,1.16180085e-01,8.93609681e-02,9.26334652e-02,9.21031883e-02,1.28676119e-01
A,0.021396396396396396,5.63568232e-02,3.48348573e-02,7.82867082e-02,4.46623568e-02,8.32549790e-02,7.88950246e-02
E,0.06756756756756757,6.55036922e-02,6.24527708e-02,6.51599152e-02,5.54647494e-02,7.09990438e-02,3.70431754e-02
B,0.10247747747747747,7.23857465e-02,8.39638013e-02,5.17695219e-02,7.88883863e-02,5.71217518e-02,2.91726530e-02
F#,0.037162162162162164,3.84906287e-02,4.12492446e-02,3.94356476e-02,3.99629938e-02,4.33568048e-02,2.72777194e-02
C#,0.007882882882882882,1.84133786e-02,1.34191715e-02,2.89188194e-02,1.74672713e-02,3.10470080e-02,1.65285078e-02
G#,0.030405405405405407,2.51516654e-02,2.33468015e-02,2.04893968e-02,1.90147819e-02,2.09743723e-02,8.47257964e-03
D#,0.028153153153153154,2.01135013e-02,2.01557200e-02,1.40716127e-02,2.22093977e-02,1.33679534e-02,6.60489347e-03
A#,0.009009009009009009,5.50355519e-03,7.32595101e-03,9.39451740e-03,1.02984096e-02,8.03799272e-03,4.51619719e-03
E#,0.00563063063063063,3.52229132e-03,3.18700786e-03,6.11261370e-03,4.35645688e-03,4.55970795e-03,2.32985726e-03
B#,0.0,5.31209073e-03,3.89757431e-03,3.88489744e-03,4.26968217e-03,2.44024358e-03,9.86293687e-04
F##,0.0,2.17717497e-03,2.39216481e-03,2.41656426e-03,4.26526545e-03,1.23207193e-03,4.07214039e-04
C##,0.0,5.35840685e-05,7.93495728e-04,1.47384343e-03,1.86981258e-03,5.86875097e-04,3.87972640e-04
G##,0.0,5.82611360e-04,3.85213198e-04,8.82716435e-04,7.83859083e-04,2.63731517e-04,1.40977824e-04
D##,0.0,4.59130735e-04,3.13922917e-04,5.19895752e-04,7.04291880e-04,1.11811151e-04,4.29711096e-05
A##,0.0,1.21594541e-05,1.55576344e-04,3.01495024e-04,6.19544851e-04,4.47213533e-05,2.91099509e-05
E##,0.0,1.35695263e-07,6.05397524e-05,1.72345545e-04,2.60997952e-04,1.68752995e-05,2.72006291e-06
B##,0.0,4.15661195e-05,3.07530609e-05,9.72106679e-05,1.09463029e-04,6.00751376e-06,1.39691771e-05
