pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,3.64084595e-06,5.43441940e-07,3.15415584e-06,8.10843136e-07,6.86178771e-06,4.33798361e-07,6.52059812e-05
Cbb,0.0,7.65167405e-06,1.60898095e-06,7.77721291e-06,2.62712562e-06,1.89334073e-05,2.50472956e-06,2.39088042e-04
Gbb,0.0,3.51948895e-05,5.39806797e-06,2.04731463e-05,8.42273067e-06,4.71524083e-05,1.26984553e-05,3.58408846e-04
Dbb,0.0,8.63695572e-05,2.31801008e-05,8.39815413e-05,2.66730250e-05,1.23763592e-04,5.65272768e-05,7.68094001e-04
Abb,0.0,2.08224833e-04,8.16642659e-05,1.97985074e-04,8.32412826e-05,3.47662328e-04,2.20944070e-04,1.84987464e-03
Ebb,0.0,8.12218173e-04,2.11084995e-04,4.77747701e-04,2.55235943e-04,8.51250965e-04,7.58269793e-04,2.79391343e-03
Bbb,0.0,1.48826579e-03,5.98997923e-04,1.73570569e-03,7.65801919e-04,1.78644730e-03,2.28497934e-03,4.88485439e-03
Fb,0.006172839506172839,3.78719473e-03,2.22474097e-03,3.59772682e-03,2.23565284e-03,4.30102530e-03,6.04585765e-03,8.76689367e-03
Cb,0.00823045267489712,1.24690157e-02,6.70219027e-03,7.66209123e-03,6.29848117e-03,1.13272810e-02,1.40459357e-02,1.71336873e-02
Gb,0.024691358024691357,2.08116916e-02,1.31769545e-02,2.39258955e-02,1.69097520e-02,2.26181481e-02,2.86523699e-02,2.69865080e-02
Db,0.0411522633744856,3.89376134e-02,2.58137550e-02,4.26331348e-02,4.23640327e-02,3.40550234e-02,5.13201056e-02,4.04047124e-02
Ab,0.08024691358024691,9.34692604e-02,6.48526739e-02,7.02692452e-02,9.51789675e-02,7.38732444e-02,8.07107998e-02,8.02270504e-02
Eb,0.13786008230452676,1.70309882e-01,1.30126395e-01,1.77793604e-01,1.75071099e-01,1.77141103e-01,1.11453286e-01,1.29743256e-01
Bb,0.22633744855967078,1.61870588e-01,1.42892806e-01,2.10671534e-01,2.02875525e-01,2.26568753e-01,1.35136051e-01,1.26834568e-01
F,0.051440329218107,9.58171131e-02,1.26928357e-01,5.70837664e-02,6.41753486e-02,5.63846524e-02,1.43868821e-01,1.04252073e-01
C,0.11728395061728394,1.00769714e-01,1.37261523e-01,1.00416064e-01,9.74276332e-02,9.78720774e-02,1.34486677e-01,1.13154761e-01
G,0.1646090534979424,1.29217977e-01,1.45128487e-01,1.46314222e-01,1.15620300e-01,1.33396564e-01,1.10384720e-01,1.28679336e-01
D,0.047325102880658436,6.52509484e-02,9.78609527e-02,4.83058762e-02,7.67987809e-02,4.51748109e-02,7.95528559e-02,7.88969971e-02
A,0.0411522633744856,2.30077533e-02,4.45035614e-02,2.62213790e-02,3.02883810e-02,2.96238628e-02,5.03407529e-02,3.70441015e-02
E,0.01646090534979424,3.86392086e-02,2.53221731e-02,4.28242054e-02,3.10694575e-02,4.00847960e-02,2.79705339e-02,2.91733823e-02
B,0.0205761316872428,2.72581795e-02,1.75548982e-02,2.01694112e-02,2.20754267e-02,1.87857085e-02,1.36457975e-02,2.72784014e-02
F#,0.0,3.13276084e-03,1.01154664e-02,5.95558706e-03,6.87662618e-03,7.82375562e-03,5.84539962e-03,1.65289211e-02
C#,0.00411522633744856,5.37058627e-03,4.15803393e-03,6.74140167e-03,6.08321037e-03,8.14363051e-03,2.19860195e-03,8.47279146e-03
G#,0.0102880658436214,5.20123202e-03,2.02573140e-03,4.17758373e-03,4.08735950e-03,4.78506974e-03,7.26099484e-04,6.60505860e-03
D#,0.00205761316872428,9.72212575e-04,1.22473001e-03,1.25634248e-03,1.27767307e-03,1.87377861e-03,2.10553645e-04,4.51631010e-03
A#,0.0,3.47012260e-04,6.73075146e-04,6.92708981e-04,1.00239099e-03,1.32596444e-03,5.36100878e-05,2.32991551e-03
E#,0.0,5.33066705e-04,2.72747398e-04,4.71424589e-04,6.27919145e-04,8.63513923e-04,1.19852581e-05,9.86318346e-04
B#,0.0,5.86273642e-05,1.23919404e-04,1.74818261e-04,2.07905900e-04,3.68937682e-04,2.35269365e-06,4.07224220e-04
F##,0.0,8.42425098e-05,6.94126727e-05,6.01431493e-05,1.48360822e-04,1.93828126e-04,4.05508989e-07,3.87982340e-04
C##,0.0,3.22137382e-05,3.71130826e-05,3.20869909e-05,8.72586018e-05,1.22528303e-04,6.13695177e-08,1.40981348e-04
G##,0.0,3.95417810e-06,1.51013799e-05,1.42550175e-05,3.08609994e-05,5.79575513e-05,8.15496406e-09,4.29721839e-05
D##,0.0,2.38105951e-07,6.60728650e-06,5.20142286e-06,2.04228338e-05,2.63773467e-05,9.51499382e-10,2.91106787e-05
A##,0.0,5.21466097e-06,3.51748657e-06,2.17199082e-06,1.14047520e-05,1.48239740e-05,9.74792293e-11,2.72013092e-06
E##,0.0,8.72645085e-07,1.84187952e-06,9.07867810e-07,4.28632348e-06,7.43905057e-06,8.76865091e-12,1.39695263e-05
B##,0.0,6.09205979e-08,7.55583020e-07,3.86718285e-07,2.66959014e-06,3.27342051e-06,6.92581030e-13,5.56755278e-07
