pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.94900627e-05,5.00420160e-05,7.38381228e-05,6.37213624e-05,2.64422497e-06,1.36764787e-06
Cbb,0.0,4.52185877e-05,9.37541339e-05,1.27583043e-04,1.13627696e-04,7.73405686e-06,3.00849208e-06
Gbb,0.0,1.13904839e-04,1.61297068e-04,2.18183340e-04,1.99815204e-04,2.13497012e-05,5.98627873e-06
Dbb,0.0005837711617046118,2.16784943e-04,3.05845290e-04,3.69154186e-04,3.46088295e-04,5.56226558e-05,6.54062392e-05
Abb,0.0005837711617046118,3.49632590e-04,5.40386014e-04,6.17301089e-04,5.90096465e-04,1.36768827e-04,2.55581054e-05
Ebb,0.0017513134851138354,7.27355786e-04,8.70550294e-04,1.01860819e-03,9.90247892e-04,3.17393483e-04,6.52051988e-05
Bbb,0.0005837711617046118,1.54762893e-03,1.55449099e-03,1.65680189e-03,1.63346647e-03,6.95159353e-04,2.39085173e-04
Fb,0.004670169293636894,2.39210616e-03,2.65053842e-03,2.65459289e-03,2.64351008e-03,1.43696508e-03,3.58404545e-04
Cb,0.0017513134851138354,3.40128328e-03,4.01039083e-03,4.18397991e-03,4.19330066e-03,2.80339014e-03,7.68084785e-04
Gb,0.009340338587273789,6.53498073e-03,6.44407265e-03,6.47247566e-03,6.51829261e-03,5.16174267e-03,1.84985244e-03
Db,0.008172796263864565,1.15186194e-02,1.09022978e-02,9.80561821e-03,9.91113966e-03,8.96983881e-03,2.79387991e-03
Ab,0.018680677174547577,1.45957017e-02,1.49683744e-02,1.45240719e-02,1.46922699e-02,1.47112105e-02,4.88479578e-03
Eb,0.011091652072387624,1.91067775e-02,1.97637136e-02,2.09965574e-02,2.11928405e-02,2.27712914e-02,8.76678848e-03
Bb,0.037361354349095155,3.29075463e-02,3.25136883e-02,2.95389311e-02,2.97350737e-02,3.32661386e-02,1.71334817e-02
F,0.03619381202568593,4.69998016e-02,4.57069372e-02,4.02583310e-02,4.04759552e-02,4.58661838e-02,2.69861842e-02
C,0.057209573847051956,4.98592849e-02,4.91291360e-02,5.29302137e-02,5.31281099e-02,5.96840522e-02,4.04042277e-02
G,0.04786923525977817,5.95521698e-02,6.00014890e-02,6.69244434e-02,6.68986824e-02,7.32992410e-02,8.02260878e-02
D,0.10741389375364857,8.68519750e-02,8.97581162e-02,8.10247083e-02,8.06898825e-02,8.49603191e-02,1.29741699e-01
A,0.09281961471103327,1.00071307e-01,1.01707505e-01,9.33392139e-02,9.29292731e-02,9.29411996e-02,1.26833046e-01
E,0.09223584354932866,8.81585559e-02,8.48038746e-02,1.01139806e-01,1.01059186e-01,9.59568302e-02,1.04250822e-01
B,0.08814944541739637,8.78388072e-02,8.80772610e-02,1.01933997e-01,1.02106069e-01,9.35015896e-02,1.13153404e-01
F#,0.1085814360770578,1.02659273e-01,1.07950437e-01,9.46283751e-02,9.47298677e-02,8.59879462e-02,1.28677793e-01
C#,0.08873321657910099,9.42168597e-02,9.91203186e-02,8.07251474e-02,8.05789580e-02,7.46331272e-02,7.88960505e-02
G#,0.06246351430239346,6.25881019e-02,5.95121569e-02,6.36036020e-02,6.33066188e-02,6.11365861e-02,3.70436570e-02
D#,0.03269118505545826,4.15169619e-02,3.45176567e-02,4.66890279e-02,4.64522219e-02,4.72657126e-02,2.91730323e-02
A#,0.02568593111500292,3.41831207e-02,2.67038433e-02,3.22306753e-02,3.21611824e-02,3.44878973e-02,2.72780741e-02
E#,0.028021015761821366,2.40356085e-02,2.15037535e-02,2.11049807e-02,2.11668296e-02,2.37499503e-02,1.65287228e-02
B#,0.021599532983070636,1.22372535e-02,1.55458580e-02,1.32065287e-02,1.33144611e-02,1.54359788e-02,8.47268980e-03
F##,0.008756567425569177,6.57400386e-03,9.13749067e-03,7.94677145e-03,8.04184436e-03,9.46849870e-03,6.60497935e-03
C##,0.0070052539404553416,4.66891529e-03,5.17651206e-03,4.62216056e-03,4.68387853e-03,5.48155222e-03,4.51625591e-03
G##,0.0,2.57185950e-03,2.66095000e-03,2.60990134e-03,2.64015894e-03,2.99503201e-03,2.32988756e-03
D##,0.0,9.82819707e-04,1.89577072e-03,1.43578224e-03,1.44426957e-03,1.54445359e-03,9.86306512e-04
A##,0.0,5.04079027e-04,1.27550490e-03,7.71873760e-04,7.68538919e-04,7.51663977e-04,4.07219334e-04
E##,0.0,3.23377631e-04,5.83851835e-04,4.06536964e-04,3.98628257e-04,3.45261453e-04,3.87977684e-04
B##,0.0,1.28833485e-04,4.02134889e-04,2.10225855e-04,2.01893458e-04,1.49674540e-04,1.40979657e-04
