pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.33372315e-05,5.83786664e-05,1.29764855e-05,0.00099638,9.12811385e-04,2.39103573e-04
Cbb,0.0,4.79039755e-05,8.43741713e-05,4.52432333e-05,0.00179429,1.65773012e-03,3.58432128e-04
Gbb,0.0,1.63622364e-04,4.63975153e-04,1.49520317e-04,0.00283207,2.88554201e-03,7.68143897e-04
Dbb,0.0,5.22193095e-04,5.98641999e-04,4.77906704e-04,0.00428635,4.81417388e-03,1.84999481e-03
Abb,0.0032773453502662844,1.53667145e-03,2.71499158e-03,1.47168055e-03,0.00738648,7.69833734e-03,2.79409492e-03
Ebb,0.0,4.16964619e-03,3.87200411e-03,4.12623572e-03,0.01106336,1.17992091e-02,4.88517171e-03
Bbb,0.012699713232281851,1.03318690e-02,1.17762052e-02,1.03777696e-02,0.01472848,1.73336353e-02,8.76746317e-03
Fb,0.02662843097091356,2.24919998e-02,1.90142698e-02,2.21204617e-02,0.02365421,2.44065957e-02,1.71348003e-02
Cb,0.031954117165096274,4.09538983e-02,3.76661137e-02,4.00369372e-02,0.03381878,3.29386317e-02,2.69882610e-02
Gb,0.06472757066775911,6.02992667e-02,5.81507435e-02,5.90183528e-02,0.03851678,4.26073670e-02,4.04073371e-02
Db,0.06063088897992626,7.17696719e-02,7.91391635e-02,7.44562883e-02,0.05436502,5.28256239e-02,8.02322620e-02
Ab,0.13519049569848424,7.35339909e-02,8.96918619e-02,8.42666195e-02,0.07436655,6.27748044e-02,1.29751684e-01
Eb,0.0594018844735764,7.49711149e-02,8.04228939e-02,8.82575901e-02,0.07204803,7.15001408e-02,1.26842807e-01
Bb,0.08070462925030725,8.32923777e-02,7.52652729e-02,8.72520581e-02,0.07889698,7.80565265e-02,1.04258845e-01
F,0.08275297009422368,9.02739473e-02,6.93496666e-02,8.24942750e-02,0.10022957,8.16756014e-02,1.13162112e-01
C,0.06964358869315854,8.36926323e-02,7.54530141e-02,7.52774147e-02,0.0897909,8.19136459e-02,1.28687696e-01
G,0.05120852109791069,6.78376069e-02,7.39477770e-02,6.67375026e-02,0.06359778,7.87410074e-02,7.89021223e-02
D,0.04956984842277755,5.78023735e-02,6.46869511e-02,5.77671764e-02,0.0600248,7.25481718e-02,3.70465079e-02
A,0.04383449405981155,5.60315307e-02,5.43639118e-02,4.90045225e-02,0.06944407,6.40667619e-02,2.91752775e-02
E,0.05284719377304384,5.09585913e-02,4.06568952e-02,4.08615679e-02,0.05265517,5.42275359e-02,2.72801734e-02
B,0.031134780827529702,3.81113276e-02,3.60155597e-02,3.35688723e-02,0.03162019,4.39934239e-02,1.65299948e-02
F#,0.029905776321179845,2.63223035e-02,2.93937424e-02,2.72223512e-02,0.02632333,3.42086906e-02,8.47334186e-03
C#,0.03277345350266284,2.17034927e-02,2.53711531e-02,2.18251777e-02,0.0281045,2.54956409e-02,6.60548767e-03
G#,0.036050798852929125,1.94900347e-02,2.00038146e-02,1.73218638e-02,0.01944178,1.82127788e-02,4.51660348e-03
D#,0.019664072101597707,1.44732213e-02,1.40080016e-02,1.36240847e-02,0.01057075,1.24700239e-02,2.33006687e-03
A#,0.005735354362965997,8.73132600e-03,1.10298217e-02,1.06290701e-02,0.0079693,8.18350128e-03,9.86382417e-04
E#,0.009012699713232281,5.86270311e-03,7.41334502e-03,8.23189428e-03,0.00793182,5.14744624e-03,4.07250674e-04
B#,0.0077836952068824255,5.06172931e-03,6.18500400e-03,6.33307982e-03,0.00516212,3.10331085e-03,3.88007543e-04
F##,0.0028676771814829987,3.87774900e-03,4.36286613e-03,4.84279344e-03,0.00262603,1.79324461e-03,1.40990507e-04
C##,0.0,2.19725324e-03,3.10992890e-03,3.68269305e-03,0.0018291,9.93195140e-04,4.29749754e-05
G##,0.0,1.18361738e-03,2.25143636e-03,2.78624543e-03,0.00171065,5.27242526e-04,2.91125698e-05
D##,0.0,9.30230023e-04,1.31613962e-03,2.09811977e-03,0.00106381,2.68266890e-04,2.72030762e-06
A##,0.0,7.49972577e-04,1.06756523e-03,1.57308277e-03,0.00051578,1.30829147e-04,1.39704338e-05
E##,0.0,4.23484938e-04,6.16751238e-04,1.17468091e-03,0.00033681,6.11537007e-05,5.56791445e-07
B##,0.0,1.87309225e-04,4.77764620e-04,8.73891289e-04,0.00029791,2.73981836e-05,2.49954980e-07
