pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,6.05257110e-05,6.81350360e-06,1.89121240e-04,1.61413912e-04,1.08603646e-04,2.47534994e-06,3.00836692e-06
Cbb,0.0,1.21756783e-04,1.73250038e-05,2.25856666e-04,2.63396898e-04,1.69917701e-04,7.65637566e-06,5.98602968e-06
Gbb,0.0,1.60297977e-04,4.28704732e-05,3.67440170e-04,4.26057481e-04,3.86927170e-04,2.22245090e-05,6.54035182e-05
Dbb,0.0,4.78943813e-04,1.02171533e-04,9.55411292e-04,6.82676609e-04,7.18843028e-04,6.05429294e-05,2.55570421e-05
Abb,0.0,8.73270495e-04,2.33671865e-04,6.58497643e-04,1.08271951e-03,8.39033141e-04,1.54780768e-04,6.52024861e-05
Ebb,0.002306805074971165,1.22879682e-03,5.15665230e-04,2.50134532e-03,1.69821620e-03,1.20378968e-03,3.71358080e-04,2.39075227e-04
Bbb,0.0,1.77422019e-03,1.09708218e-03,1.70930049e-03,2.63158586e-03,2.61712159e-03,8.36163238e-04,3.58389635e-04
Fb,0.006343713956170703,4.48499709e-03,2.22355361e-03,4.71638780e-03,4.02440120e-03,4.72521955e-03,1.76689839e-03,7.68052831e-04
Cb,0.002306805074971165,6.59926640e-03,4.26248618e-03,6.00224473e-03,6.06574633e-03,5.16452181e-03,3.50392169e-03,1.84977549e-03
Gb,0.00980392156862745,8.05262338e-03,7.76444333e-03,1.14133944e-02,8.99747086e-03,6.62580581e-03,6.52107990e-03,2.79376367e-03
Db,0.014994232987312572,1.21608862e-02,1.34537424e-02,1.39042534e-02,1.31117095e-02,1.34688487e-02,1.13895604e-02,4.88459256e-03
Ab,0.02191464821222607,2.38383188e-02,2.19045423e-02,1.85178336e-02,1.87336427e-02,2.34579150e-02,1.86688136e-02,8.76642376e-03
Eb,0.01730103806228374,2.91756785e-02,3.31595709e-02,2.37264025e-02,2.61801551e-02,2.37901923e-02,2.87176426e-02,1.71327689e-02
Bb,0.04209919261822376,3.28757708e-02,4.68822914e-02,3.36251793e-02,3.56840681e-02,2.62417734e-02,4.14575054e-02,2.69850615e-02
F,0.059400230680507496,4.61833136e-02,6.23382213e-02,5.09416687e-02,4.72763338e-02,4.78265464e-02,5.61668229e-02,4.04025467e-02
C,0.08938869665513265,7.16363788e-02,7.75247145e-02,8.13741441e-02,6.06286022e-02,7.90586537e-02,7.14132607e-02,8.02227502e-02
G,0.05767012687427912,7.44701303e-02,8.94152047e-02,6.58885657e-02,7.48800204e-02,7.34851208e-02,8.52118866e-02,1.29736301e-01
D,0.05536332179930796,7.48533698e-02,9.61529865e-02,4.87442988e-02,8.85063999e-02,6.52196938e-02,9.54209664e-02,1.26827769e-01
A,0.08073817762399077,9.02354885e-02,9.76594017e-02,8.11482667e-02,9.93312533e-02,9.58450396e-02,1.00278944e-01,1.04246485e-01
E,0.10957324106113034,1.13129762e-01,9.38890468e-02,1.47496299e-01,1.04813205e-01,1.42922943e-01,9.89003908e-02,1.13148696e-01
B,0.14821222606689735,9.70525989e-02,8.47168216e-02,1.34799046e-01,1.02742878e-01,1.19294477e-01,9.15395083e-02,1.28672439e-01
F#,0.06978085351787774,7.84037449e-02,7.16307944e-02,7.21096759e-02,9.23340042e-02,7.56054567e-02,7.95136071e-02,7.88927682e-02
C#,0.05363321799307959,7.36675943e-02,5.74020829e-02,5.54663696e-02,7.52027415e-02,5.80808678e-02,6.48181525e-02,3.70421159e-02
G#,0.09630911188004614,7.37279471e-02,4.39743816e-02,5.93306536e-02,5.51554551e-02,4.99023541e-02,4.95877215e-02,2.91718186e-02
D#,0.030565167243367934,4.62035855e-02,3.21024412e-02,3.97078973e-02,3.63663010e-02,3.33143898e-02,3.56019651e-02,2.72769393e-02
A#,0.01787773933102653,2.11251088e-02,2.22833371e-02,1.69758738e-02,2.15648715e-02,1.90580920e-02,2.39881138e-02,1.65280351e-02
E#,0.0028835063437139563,8.47983276e-03,1.48608542e-02,1.00989942e-02,1.15646687e-02,1.21905598e-02,1.51684269e-02,8.47233732e-03
B#,0.00461361014994233,5.96827849e-03,9.63831894e-03,9.30995794e-03,5.64325527e-03,8.22690053e-03,9.00134274e-03,6.60470457e-03
F##,0.0034602076124567475,1.88362375e-03,6.08279580e-03,4.30279991e-03,2.53317827e-03,4.78129897e-03,5.01298455e-03,4.51606803e-03
C##,0.0034602076124567475,5.42850600e-04,3.72126984e-03,1.53167883e-03,1.05827982e-03,2.55021546e-03,2.62003894e-03,2.32979063e-03
G##,0.0,4.23261850e-04,2.21884049e-03,1.16994941e-03,4.16651240e-04,1.46246179e-03,1.28511336e-03,9.86265479e-04
D##,0.0,8.29178872e-05,1.30240550e-03,6.14991883e-04,1.56306492e-04,8.55050720e-04,5.91558153e-04,4.07202393e-04
A##,0.0,2.31826108e-05,7.53606301e-04,2.86150429e-04,5.62631420e-05,4.52376350e-04,2.55549927e-04,3.87961544e-04
E##,0.0,1.95600966e-05,4.27738293e-04,1.38419691e-04,1.95167948e-05,2.28196809e-04,1.03603969e-04,1.40973792e-04
B##,0.0,2.11670903e-06,2.38506505e-04,5.16299311e-05,6.55408044e-06,1.20792067e-04,3.94184311e-05,4.29698806e-05
