pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.93152849e-08,1.09589308e-07,3.03777644e-09,2.75168748e-07,2.76652277e-13,3.07540520e-07
Cbb,0.0,2.99743289e-08,2.44823052e-07,1.03174020e-08,5.75310024e-07,3.61294797e-12,5.88882574e-07
Gbb,0.0,1.86062054e-08,2.25095738e-07,3.45561021e-08,1.27612936e-06,4.14896348e-11,1.36837045e-06
Dbb,0.0,4.25143940e-07,2.42910751e-06,1.13977072e-07,3.46165892e-06,4.18955566e-10,3.01008158e-06
Abb,0.0,2.64807822e-06,4.80052384e-06,3.69618236e-07,8.48290747e-06,3.72003275e-09,5.98944152e-06
Ebb,0.0,3.26350624e-06,6.05159008e-06,1.17631406e-06,1.60796626e-05,2.90453095e-08,6.54407960e-05
Bbb,0.0,5.39435541e-06,2.64856856e-05,3.66588048e-06,3.34939847e-05,1.99414026e-07,2.55716087e-05
Fb,0.0,4.08074551e-05,4.61114748e-05,1.11582606e-05,8.93239151e-05,1.20388732e-06,6.52396493e-05
Cb,0.0,1.42747706e-04,1.58676754e-04,3.30704120e-05,2.06269662e-04,6.39096484e-06,2.39211491e-04
Gb,0.0,1.60074714e-04,2.58726359e-04,9.50815338e-05,3.43160589e-04,2.98330367e-05,3.58593905e-04
Db,0.0,3.16831573e-04,3.21106362e-04,2.64001637e-04,6.59225854e-04,1.22455682e-04,7.68490596e-04
Ab,0.0,1.52147316e-03,1.56742272e-03,7.03986120e-04,1.72516967e-03,4.41988399e-04,1.85082980e-03
Eb,0.0007468259895444362,3.72759912e-03,3.87567367e-03,1.79054341e-03,3.69537988e-03,1.40279189e-03,2.79535603e-03
Bb,0.0037341299477221808,3.82940363e-03,3.85287086e-03,4.30669436e-03,5.10205057e-03,3.91494862e-03,4.88737661e-03
F,0.0,7.28539583e-03,7.42039527e-03,9.69140805e-03,8.71046452e-03,9.60747660e-03,8.77142033e-03
C,0.029873039581777446,2.48300714e-02,2.44774062e-02,2.01358010e-02,2.22328783e-02,2.07320884e-02,1.71425340e-02
G,0.06572068707991038,4.70830319e-02,4.76702642e-02,3.80270078e-02,4.31751423e-02,3.93393531e-02,2.70004420e-02
D,0.03286034353995519,4.14756026e-02,4.17662721e-02,6.41966555e-02,4.41307971e-02,6.56389800e-02,4.04255748e-02
A,0.08289768483943241,5.98938315e-02,5.82667733e-02,9.55443551e-02,6.00729270e-02,9.63045664e-02,8.02684745e-02
E,0.12920089619118746,1.52458083e-01,1.53027120e-01,1.24610170e-01,1.45579548e-01,1.24245991e-01,1.29810247e-01
B,0.21433905899925318,2.31438428e-01,2.28338915e-01,1.42358510e-01,2.47406230e-01,1.40951056e-01,1.26900057e-01
F#,0.13293502613890965,1.41717427e-01,1.43496677e-01,1.42065891e-01,1.35214415e-01,1.40606284e-01,1.04305902e-01
C#,0.05227781926811053,5.45876092e-02,5.40442227e-02,1.24244709e-01,5.68978536e-02,1.23336488e-01,1.13213187e-01
G#,0.06273338312173264,5.63702176e-02,5.53572353e-02,9.50065747e-02,5.70758860e-02,9.51324909e-02,1.28745778e-01
D#,0.10604929051530994,8.59790071e-02,8.80631884e-02,6.37677573e-02,7.76201449e-02,6.45233053e-02,7.89377345e-02
A#,0.06796116504854369,4.54683988e-02,4.54933914e-02,3.76377173e-02,4.01648126e-02,3.84817481e-02,3.70632287e-02
E#,0.011202389843166542,1.17977440e-02,1.17537455e-02,1.96886965e-02,1.48369454e-02,2.01810345e-02,2.91884456e-02
B#,0.0,7.66503564e-03,7.85645956e-03,9.27152275e-03,1.07962057e-02,9.30641691e-03,2.72924862e-02
F##,0.005227781926811053,1.34422937e-02,1.33349559e-02,4.00045982e-03,1.23793715e-02,3.77374048e-03,1.65374555e-02
C##,0.0022404779686333084,5.84275437e-03,6.25408218e-03,1.60659789e-03,6.16996835e-03,1.34558769e-03,8.47716627e-03
G##,0.0,9.84911377e-04,8.96518434e-04,6.08120994e-04,2.16014163e-03,4.21893102e-04,6.60846903e-03
D##,0.0,4.49959986e-04,6.12917894e-04,2.19073054e-04,1.31858902e-03,1.16317027e-04,4.51864203e-03
A##,0.0,1.10355611e-03,1.34002384e-03,7.56844073e-05,1.31985211e-03,2.81990584e-05,2.33111853e-03
E##,0.0,3.44922014e-04,2.21530230e-04,2.52264649e-05,6.37273829e-04,6.01141026e-06,9.86827617e-04
B##,0.0,3.09831727e-05,1.86970691e-04,8.15147878e-06,2.16327271e-04,1.12685640e-06,4.07434485e-04
