pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.87675573e-05,4.12955146e-05,9.90555959e-06,7.23941890e-05,1.42843663e-05,6.54020248e-05
Cbb,0.0,5.61229259e-05,8.30072893e-05,2.48606406e-05,1.41477099e-04,4.19873611e-05,2.55564585e-05
Gbb,0.0,1.17086222e-04,1.65718050e-04,6.11967905e-05,2.79689756e-04,1.15124736e-04,6.52009973e-05
Dbb,0.0,3.49728106e-04,3.77386396e-04,1.47523929e-04,5.48391712e-04,2.94449745e-04,2.39069767e-04
Abb,0.0,7.92244323e-04,8.70829170e-04,3.47607870e-04,1.01403768e-03,7.02499763e-04,3.58381451e-04
Ebb,0.0,1.28167756e-03,1.38113260e-03,7.96413318e-04,1.81132926e-03,1.56341274e-03,7.68035293e-04
Bbb,0.006756756756756757,2.57124688e-03,2.45418524e-03,1.76273677e-03,3.32921651e-03,3.24558942e-03,1.84973325e-03
Fb,0.0,6.09446027e-03,6.21561269e-03,3.75713926e-03,6.03075588e-03,6.28501004e-03,2.79369988e-03
Cb,0.010810810810810811,1.04164532e-02,1.06944559e-02,7.67887658e-03,9.91269049e-03,1.13530052e-02,4.88448103e-03
Gb,0.012162162162162163,1.42429697e-02,1.38119673e-02,1.48751489e-02,1.55297439e-02,1.91297003e-02,8.76622359e-03
Db,0.005405405405405406,2.56676077e-02,2.42386987e-02,2.68811988e-02,2.59493922e-02,3.00675444e-02,1.71323777e-02
Ab,0.07837837837837838,4.78454810e-02,4.86098425e-02,4.46334994e-02,4.21762018e-02,4.40839215e-02,2.69844453e-02
Eb,0.07567567567567568,6.16880570e-02,6.37929024e-02,6.67731588e-02,5.72901581e-02,6.02913413e-02,4.04016242e-02
Bb,0.051351351351351354,6.61497554e-02,6.15474243e-02,8.94416434e-02,7.09409989e-02,7.69169645e-02,8.02209184e-02
F,0.10540540540540541,9.84582618e-02,9.42013492e-02,1.06588505e-01,1.02702584e-01,9.15338634e-02,1.29733339e-01
C,0.1554054054054054,1.41509221e-01,1.43205819e-01,1.13453139e-01,1.41796550e-01,1.01609407e-01,1.26824873e-01
G,0.0945945945945946,1.25245775e-01,1.30372605e-01,1.09631571e-01,1.30701644e-01,1.05215205e-01,1.04244105e-01
D,0.09594594594594595,7.17006241e-02,7.31373182e-02,9.79446782e-02,7.32633530e-02,1.01628510e-01,1.13146113e-01
A,0.05945945945945946,6.68738277e-02,6.21326444e-02,8.21495189e-02,6.61762664e-02,9.15682843e-02,1.28669501e-01
E,0.06891891891891892,8.55634553e-02,9.26537427e-02,6.54562236e-02,7.71348451e-02,7.69603550e-02,7.88909668e-02
B,0.05945945945945946,6.78787439e-02,6.87323182e-02,4.99967780e-02,6.25161367e-02,6.03366944e-02,3.70412701e-02
F#,0.033783783783783786,2.89203726e-02,2.74435595e-02,3.68636530e-02,2.94556148e-02,4.41253771e-02,2.91711525e-02
C#,0.013513513513513514,1.96745868e-02,1.73967867e-02,2.63801477e-02,2.14468683e-02,3.01014775e-02,2.72763164e-02
G#,0.04054054054054054,2.34664874e-02,2.48172077e-02,1.84011500e-02,2.19403095e-02,1.91548899e-02,1.65276577e-02
D#,0.02027027027027027,1.72924097e-02,1.73953569e-02,1.25545193e-02,1.61574607e-02,1.13700919e-02,8.47214386e-03
A#,0.002702702702702703,5.74627550e-03,3.87949299e-03,8.40159208e-03,7.03481124e-03,6.29565258e-03,6.60455376e-03
E#,0.002702702702702703,3.03882464e-03,2.64729068e-03,5.52755610e-03,4.53347351e-03,3.25169646e-03,4.51596491e-03
B#,0.005405405405405406,3.50510459e-03,4.57061598e-03,3.58220405e-03,4.17667785e-03,1.56664901e-03,2.32973743e-03
F##,0.0,2.42186929e-03,1.28723060e-03,2.29042242e-03,2.84137972e-03,7.04086287e-04,9.86242958e-04
C##,0.0,6.10931025e-04,1.00993513e-03,1.44685494e-03,1.18130997e-03,2.95170213e-04,4.07193095e-04
G##,0.0,2.57022800e-04,2.68831444e-04,9.04041599e-04,7.03856002e-04,1.15428124e-04,3.87952685e-04
D##,0.0,2.97018464e-04,2.31814562e-04,5.59300615e-04,5.94389660e-04,4.21059247e-05,1.40970573e-04
A##,0.0013513513513513514,1.92787025e-04,3.13475936e-04,3.42907500e-04,3.77770334e-04,1.43273955e-05,4.29688994e-05
E##,0.0,3.34749759e-05,5.74855989e-06,2.08505003e-04,1.52314010e-04,4.54761567e-06,2.91084537e-05
B##,0.0,1.12685809e-05,1.23976992e-05,1.25821904e-04,8.59074851e-05,1.34645773e-06,2.71992301e-06
