pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.33419766e-07,5.80009569e-05,1.25480943e-05,0.00018863,2.32321635e-05,5.98587345e-06
Cbb,0.0,5.82227079e-07,8.75387963e-05,3.21583334e-05,0.000256,5.92811075e-05,6.54018112e-05
Gbb,0.0,1.65520905e-06,1.13225871e-04,7.97190244e-05,0.00030587,1.43028091e-04,2.55563750e-05
Dbb,0.0,1.73529919e-05,3.06035742e-04,1.90486000e-04,0.00072621,3.26290745e-04,6.52007843e-05
Abb,0.0,5.40665250e-05,1.25584582e-03,4.36996450e-04,0.00180067,7.03828015e-04,2.39068987e-04
Ebb,0.0,1.52725203e-04,1.46931022e-03,9.58299730e-04,0.00210135,1.43551166e-03,3.58380281e-04
Bbb,0.0,1.10380885e-03,1.44577190e-03,1.99947692e-03,0.00225491,2.76837730e-03,7.68032785e-04
Fb,0.0,2.12266217e-03,4.36466894e-03,3.95099409e-03,0.00548443,5.04803336e-03,1.84972721e-03
Cb,0.012393493415956624,7.50610749e-03,1.33771172e-02,7.36163267e-03,0.0129588,8.70357215e-03,2.79369076e-03
Gb,0.015491866769945779,1.10211493e-02,1.20992875e-02,1.28839147e-02,0.01240082,1.41889818e-02,4.88446507e-03
Db,0.011618900077459334,2.56113395e-02,1.01326017e-02,2.11124719e-02,0.01170845,2.18717388e-02,8.76619496e-03
Ab,0.045701006971340045,3.09675966e-02,3.02964154e-02,3.23135925e-02,0.0289396,3.18781984e-02,1.71323218e-02
Eb,0.07591014717273431,5.53717342e-02,7.10333127e-02,4.61172647e-02,0.06323008,4.39321653e-02,2.69843572e-02
Bb,0.044151820294345466,5.76537009e-02,4.90685835e-02,6.13219626e-02,0.04597098,5.72466174e-02,4.04014922e-02
F,0.042602633617350893,8.56160888e-02,3.53841030e-02,7.59744939e-02,0.0370875,7.05334994e-02,8.02206564e-02
C,0.08288148721920992,7.89101916e-02,9.24372871e-02,8.77943405e-02,0.08872772,8.21711591e-02,1.29732915e-01
G,0.15182029434546862,1.01483384e-01,1.64229903e-01,9.48197808e-02,0.16615986,9.05152543e-02,1.26824459e-01
D,0.08365608055770721,8.43330954e-02,8.50168138e-02,9.60039600e-02,0.0810475,9.42762978e-02,1.04243764e-01
A,0.048799380325329204,9.63150783e-02,4.98067656e-02,9.14832183e-02,0.05421291,9.28456676e-02,1.13145743e-01
E,0.053446940356312936,7.31164722e-02,8.28987343e-02,8.24164434e-02,0.0954917,8.64567982e-02,1.28669081e-01
B,0.12393493415956623,7.53370226e-02,9.62041224e-02,7.05286884e-02,0.09400811,7.61228490e-02,7.88907091e-02
F#,0.038729666924864445,5.27631912e-02,4.66036205e-02,5.76007859e-02,0.04291629,6.33737345e-02,3.70411491e-02
C#,0.047250193648334625,4.95460785e-02,4.01117943e-02,4.50940186e-02,0.03373141,4.98863750e-02,2.91710573e-02
G#,0.0627420604182804,3.22628124e-02,3.53906480e-02,3.39778659e-02,0.04007615,3.71306861e-02,2.72762273e-02
D#,0.013168086754453912,2.77847107e-02,2.64631067e-02,2.47311656e-02,0.02847614,2.61313822e-02,1.65276037e-02
A#,0.009295120061967466,1.69279677e-02,1.52774745e-02,1.74452550e-02,0.01372622,1.73888224e-02,8.47211619e-03
E#,0.016266460108443067,1.34184910e-02,1.41501485e-02,1.19604329e-02,0.01108871,1.09409829e-02,6.60453219e-03
B#,0.013168086754453912,7.68901207e-03,7.70692514e-03,7.99026156e-03,0.00995139,6.50909922e-03,4.51595016e-03
F##,0.0038729666924864447,5.61899981e-03,5.19495457e-03,5.21313249e-03,0.00593558,3.66154033e-03,2.32972982e-03
C##,0.003098373353989156,3.04129732e-03,3.22211149e-03,3.32833154e-03,0.00308348,1.94753439e-03,9.86239737e-04
G##,0.0,2.04905978e-03,2.35387050e-03,2.08311134e-03,0.00236781,9.79455765e-04,4.07191765e-04
D##,0.0,1.05116479e-03,1.04254200e-03,1.28008547e-03,0.00174404,4.65760763e-04,3.87951418e-04
A##,0.0,6.52170395e-04,8.02135978e-04,7.73417856e-04,0.0009502,2.09420578e-04,1.40970112e-04
E##,0.0,3.17872605e-04,3.66049801e-04,4.60025246e-04,0.00052085,8.90336521e-05,4.29687591e-05
B##,0.0,1.81224493e-04,2.29172589e-04,2.69667478e-04,0.00036962,3.57904701e-05,2.91083586e-05
