pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.10148015e-05,6.33469352e-06,1.78390640e-06,4.87997343e-05,3.76312810e-09,6.52059812e-05
Cbb,0.0,4.63666617e-05,1.82933495e-05,4.82341502e-06,1.11634858e-04,3.74192314e-08,2.39088042e-04
Gbb,0.0,7.92492254e-05,3.04193749e-05,1.29419307e-05,1.84469221e-04,3.16789751e-07,3.58408846e-04
Dbb,0.0,1.88481903e-04,1.16871964e-04,3.44167674e-05,3.46511232e-04,2.28337782e-06,7.68094001e-04
Abb,0.0,5.77676557e-04,4.81547690e-04,9.05716979e-05,9.11566255e-04,1.40124744e-05,1.84987464e-03
Ebb,0.0,1.02148464e-03,9.17575050e-04,2.35395471e-04,1.72254576e-03,7.32120023e-05,2.79391343e-03
Bbb,0.0,1.21447997e-03,1.06956915e-03,6.02620735e-04,2.19344724e-03,3.25671785e-04,4.88485439e-03
Fb,0.0,4.32273272e-03,4.04175538e-03,1.51420158e-03,4.84795259e-03,1.23341261e-03,8.76689367e-03
Cb,0.005924170616113744,1.20908500e-02,1.19606740e-02,3.71579335e-03,1.23901464e-02,3.97710473e-03,1.71336873e-02
Gb,0.0,1.37560573e-02,1.38565749e-02,8.84079634e-03,1.60310184e-02,1.09183264e-02,2.69865080e-02
Db,0.004739336492890996,1.34718916e-02,1.32280286e-02,2.01671529e-02,1.57717404e-02,2.55196969e-02,4.04047124e-02
Ab,0.07701421800947868,5.73239437e-02,5.74353019e-02,4.32849860e-02,5.15195337e-02,5.07838183e-02,8.02270504e-02
Eb,0.15876777251184834,1.03741903e-01,1.04796536e-01,8.42288552e-02,9.56598618e-02,8.60410274e-02,1.29743256e-01
Bb,0.05568720379146919,6.06548157e-02,6.05861187e-02,1.37176061e-01,6.01697673e-02,1.24112700e-01,1.26834568e-01
F,0.08412322274881516,7.29880403e-02,7.33876961e-02,1.63798781e-01,7.07558440e-02,1.52425369e-01,1.04252073e-01
C,0.2618483412322275,2.65250662e-01,2.68854100e-01,1.77512157e-01,2.91188832e-01,1.59378114e-01,1.13154761e-01
G,0.1646919431279621,2.18221486e-01,2.17152372e-01,1.40994852e-01,1.93921402e-01,1.41883049e-01,1.28679336e-01
D,0.08293838862559241,7.26712886e-02,7.11048399e-02,9.36676115e-02,6.96800550e-02,1.07538194e-01,7.88969971e-02
A,0.011848341232227487,1.90972670e-02,1.85318270e-02,5.63838332e-02,2.90398258e-02,6.93945496e-02,3.70441015e-02
E,0.02014218009478673,4.37175059e-02,4.27001406e-02,3.19288799e-02,4.17083012e-02,3.81257488e-02,2.91733823e-02
B,0.058056872037914695,2.75048095e-02,2.65127767e-02,1.73340233e-02,2.46673124e-02,1.78337142e-02,2.72784014e-02
F#,0.014218009478672985,6.45075336e-03,7.14538637e-03,9.12373358e-03,8.47854455e-03,7.10224448e-03,1.65289211e-02
C#,0.0,9.52741846e-04,1.68883712e-03,4.68990341e-03,3.12390640e-03,2.40812947e-03,8.47279146e-03
G#,0.0,2.95251593e-03,2.75246042e-03,2.36614814e-03,2.95965973e-03,6.95175479e-04,6.60505860e-03
D#,0.0,1.28467643e-03,1.13615604e-03,1.17585982e-03,1.59983029e-03,1.70859627e-04,4.51631010e-03
A#,0.0,1.52772421e-04,2.96535330e-04,5.77097099e-04,5.34875202e-04,3.57531954e-05,2.32991551e-03
E#,0.0,1.11283358e-04,8.09877849e-05,2.80279342e-04,1.86464532e-04,6.36972479e-06,9.86318346e-04
B#,0.0,9.01229077e-05,8.21971135e-05,1.34914270e-04,1.38372825e-04,9.66177394e-07,4.07224220e-04
F##,0.0,1.87085576e-05,1.79180899e-05,6.44443750e-05,6.94203293e-05,1.24773821e-07,3.87982340e-04
C##,0.0,2.08575680e-05,7.31321744e-06,3.05776681e-05,2.26949171e-05,1.37189373e-08,1.40981348e-04
G##,0.0,6.07221725e-07,1.66815114e-06,1.44234502e-05,7.63984571e-06,1.28424496e-09,4.29721839e-05
D##,0.0,8.94811870e-07,1.02146590e-06,6.76818143e-06,4.80213335e-06,1.02354199e-10,2.91106787e-05
A##,0.0,2.05798727e-06,5.73974640e-08,3.16124327e-06,2.26018243e-06,6.94534552e-12,2.72013092e-06
E##,0.0,1.66288517e-12,1.08031624e-07,1.47039574e-06,7.24490123e-07,4.01247599e-13,1.39695263e-05
B##,0.0,5.81136257e-10,6.94744178e-10,6.81361911e-07,2.37625579e-07,1.97361044e-14,5.56755278e-07
