pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.22537650e-06,6.86105951e-08,5.58024930e-06,3.36319713e-06,3.58575719e-06,1.23102622e-09,5.88654250e-07
Cbb,0.0,4.43191257e-06,2.16939055e-07,1.31141729e-05,7.13968970e-06,6.82372982e-06,7.52332314e-09,1.36783990e-06
Gbb,0.0,8.45994835e-06,6.56965470e-07,3.85663184e-05,1.49090236e-05,1.51651532e-05,4.18681181e-08,3.00891450e-06
Dbb,0.0,1.88623078e-05,1.98957924e-06,3.34708533e-05,3.07671339e-05,3.37107226e-05,2.12172198e-07,5.98711926e-06
Abb,0.0,5.11191912e-05,6.01376799e-06,1.46915419e-04,6.27702760e-05,6.28143717e-05,9.79094973e-07,6.54154230e-05
Ebb,0.0,9.08660428e-05,1.72139958e-05,1.26504439e-04,1.25762185e-04,1.10086260e-04,4.11426705e-06,2.55616940e-05
Bbb,0.0,2.14545155e-04,4.63366887e-05,3.40063553e-04,2.46709517e-04,2.35416635e-04,1.57431431e-05,6.52143543e-05
Fb,0.0,4.40037904e-04,1.23012535e-04,7.04068160e-04,4.75448890e-04,5.02690111e-04,5.48556949e-05,2.39118743e-04
Cb,0.0029239766081871343,7.99541025e-04,3.23921823e-04,9.72885037e-04,9.00406116e-04,8.61869443e-04,1.74053720e-04,3.58454869e-04
Gb,0.0029239766081871343,1.72304126e-03,7.97122069e-04,2.45445514e-03,1.66641287e-03,1.35070563e-03,5.02893715e-04,7.68192633e-04
Db,0.0,2.93243395e-03,1.79481133e-03,3.22619199e-03,3.00198829e-03,2.75311176e-03,1.32312360e-03,1.85011218e-03
Ab,0.0029239766081871343,5.41300003e-03,3.88633367e-03,4.29904336e-03,5.25909195e-03,5.60196112e-03,3.16997573e-03,2.79427220e-03
Eb,0.01608187134502924,9.57516565e-03,8.23650338e-03,9.53375358e-03,8.95998136e-03,8.62524396e-03,6.91580545e-03,4.88548166e-03
Bb,0.014619883040935672,1.49703962e-02,1.60308447e-02,1.53425297e-02,1.48107883e-02,1.14460531e-02,1.37391830e-02,8.76801943e-03
F,0.023391812865497075,2.55761437e-02,2.74884437e-02,2.70967410e-02,2.35967848e-02,2.18150052e-02,2.48548050e-02,1.71358875e-02
C,0.043859649122807015,3.65438101e-02,4.35194653e-02,3.90404827e-02,3.59784391e-02,4.17210748e-02,4.09440806e-02,2.69899733e-02
G,0.04093567251461988,5.44031584e-02,6.60274450e-02,4.29546141e-02,5.23459123e-02,5.54394664e-02,6.14190643e-02,4.04099008e-02
D,0.039473684210526314,7.46262596e-02,9.11064167e-02,4.37005905e-02,7.26145237e-02,5.50722971e-02,8.38970286e-02,8.02373524e-02
A,0.11988304093567251,9.23298650e-02,1.07929167e-01,1.00353496e-01,9.51116041e-02,9.28510140e-02,1.04356925e-01,1.29759916e-01
E,0.14181286549707603,1.18280753e-01,1.13920623e-01,1.78336039e-01,1.16288050e-01,1.61224879e-01,1.18202668e-01,1.26850854e-01
B,0.14181286549707603,1.17859384e-01,1.14685252e-01,1.55851744e-01,1.29315378e-01,1.71039886e-01,1.21917092e-01,1.04265460e-01
F#,0.09210526315789473,1.30949011e-01,1.08885064e-01,8.16644581e-02,1.28250104e-01,8.31064543e-02,1.14507312e-01,1.13169292e-01
C#,0.05847953216374269,1.01161378e-01,9.16176071e-02,7.87606135e-02,1.11264596e-01,8.05985882e-02,9.79339242e-02,1.28695860e-01
G#,0.16228070175438597,9.17611745e-02,6.81970080e-02,9.12470906e-02,8.34557668e-02,8.55268325e-02,7.62718718e-02,7.89071283e-02
D#,0.049707602339181284,5.27116392e-02,4.83589576e-02,5.33506073e-02,5.44835617e-02,4.31605659e-02,5.40912431e-02,3.70488584e-02
A#,0.024853801169590642,3.77914475e-02,3.36723628e-02,2.24257282e-02,3.14966657e-02,2.50760524e-02,3.49317892e-02,2.91771285e-02
E#,0.005847953216374269,1.57898877e-02,2.20681323e-02,1.95097810e-02,1.64343452e-02,2.29472042e-02,2.05421554e-02,2.72819042e-02
B#,0.005847953216374269,8.84804998e-03,1.33014509e-02,1.51745206e-02,7.87324068e-03,1.30486757e-02,1.10002486e-02,1.65310436e-02
F##,0.008771929824561403,3.07992465e-03,7.78655743e-03,6.58699589e-03,3.51238683e-03,6.20018495e-03,5.36401892e-03,8.47387946e-03
C##,0.0014619883040935672,1.28285476e-03,4.60533086e-03,2.74938114e-03,1.47579248e-03,4.38479511e-03,2.38182260e-03,6.60590676e-03
G##,0.0,5.45087445e-04,2.66820752e-03,2.03536072e-03,5.89324915e-04,2.65449185e-03,9.63074388e-04,4.51689004e-03
D##,0.0,1.33534349e-04,1.46116659e-03,1.13310259e-03,2.25290208e-04,1.23190210e-03,3.54602314e-04,2.33021470e-03
A##,0.0,6.23180912e-05,7.81404667e-04,4.46365998e-04,8.29343555e-05,6.88568506e-04,1.18892541e-04,9.86445000e-04
E##,0.0,1.74475536e-05,4.24710347e-04,2.22134531e-04,2.95399442e-05,4.07620796e-04,3.62993595e-05,4.07276512e-04
B##,0.0,3.74553159e-06,2.30181967e-04,1.23010922e-04,1.02207224e-05,1.95203284e-04,1.00919392e-05,3.88032161e-04
