pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.02374024e-05,5.16649427e-05,1.21175199e-04,3.73221128e-05,6.37805525e-07,5.88654250e-07
Cbb,0.0,3.41412503e-05,1.96545643e-04,1.91095172e-04,5.10681345e-05,2.14955827e-06,1.36783990e-06
Gbb,0.0,7.07545942e-05,1.20271344e-04,3.00093075e-04,1.08982091e-04,6.78893856e-06,3.00891450e-06
Dbb,0.0,1.94461340e-04,4.96067158e-04,4.68178144e-04,2.63066937e-04,2.00930676e-05,5.98711926e-06
Abb,0.0,3.78767882e-04,3.96301348e-04,7.24687523e-04,3.80954395e-04,5.57291375e-05,6.54154230e-05
Ebb,0.0,5.28713685e-04,6.49960954e-04,1.11533007e-03,4.74591641e-04,1.44847202e-04,2.55616940e-05
Bbb,0.0014005602240896359,1.01500366e-03,1.52248206e-03,1.70856708e-03,1.00515180e-03,3.52800837e-04,6.52143543e-05
Fb,0.0056022408963585435,2.34703890e-03,3.31898313e-03,2.59288925e-03,2.36791282e-03,8.05268694e-04,2.39118743e-04
Cb,0.0014005602240896359,3.67428211e-03,3.69211017e-03,3.88127997e-03,3.04015962e-03,1.72243854e-03,3.58454869e-04
Gb,0.0028011204481792717,4.52316754e-03,6.78280339e-03,5.75436302e-03,3.36908749e-03,3.45253718e-03,7.68192633e-04
Db,0.01680672268907563,8.17493109e-03,6.89113813e-03,8.48971223e-03,7.03374983e-03,6.48521985e-03,1.85011218e-03
Ab,0.01680672268907563,1.56494923e-02,8.48901255e-03,1.23624477e-02,1.60348369e-02,1.14157054e-02,2.79427220e-03
Eb,0.03221288515406162,2.02204293e-02,1.82545376e-02,1.75575390e-02,1.76588095e-02,1.88309623e-02,4.88548166e-03
Bb,0.03361344537815126,2.26040864e-02,4.00406667e-02,2.44641127e-02,1.67360001e-02,2.91094490e-02,8.76801943e-03
F,0.018207282913165267,3.68719250e-02,3.68344675e-02,3.38195139e-02,3.36988205e-02,4.21684043e-02,1.71358875e-02
C,0.05322128851540616,5.83339569e-02,4.71117995e-02,4.58802097e-02,7.33045360e-02,5.72442749e-02,2.69899733e-02
G,0.03081232492997199,6.35830728e-02,4.60127154e-02,5.95463822e-02,6.58994034e-02,7.28230159e-02,4.04099008e-02
D,0.037815126050420166,6.28315421e-02,4.70210986e-02,7.42821089e-02,4.93486144e-02,8.68154407e-02,8.02373524e-02
A,0.0896358543417367,8.73389756e-02,9.13470956e-02,8.98158597e-02,8.85838299e-02,9.69877752e-02,1.29759916e-01
E,0.15126050420168066,1.14553591e-01,1.75906759e-01,1.04478412e-01,1.77950159e-01,1.01538030e-01,1.26850854e-01
B,0.12885154061624648,1.04567205e-01,1.35346246e-01,1.14944949e-01,1.21390033e-01,9.96167057e-02,1.04265460e-01
F#,0.08823529411764706,8.26635702e-02,5.81735487e-02,1.13673199e-01,5.86035833e-02,9.15856285e-02,1.13169292e-01
C#,0.05322128851540616,8.87295659e-02,5.49535644e-02,9.90174874e-02,5.56219660e-02,7.89067571e-02,1.28695860e-01
G#,0.15406162464985995,9.46036746e-02,9.42730803e-02,7.37479118e-02,7.82274925e-02,6.37078239e-02,7.89071283e-02
D#,0.03361344537815126,6.79575220e-02,5.56552564e-02,4.84743704e-02,4.87138106e-02,4.82017779e-02,3.70488584e-02
A#,0.022408963585434174,3.12700789e-02,1.73608347e-02,2.90711171e-02,2.17578523e-02,3.41763008e-02,2.91771285e-02
E#,0.0014005602240896359,1.34935647e-02,1.28536236e-02,1.62908277e-02,1.64409820e-02,2.27079935e-02,2.72819042e-02
B#,0.025210084033613446,8.01714847e-03,1.99092790e-02,8.66920754e-03,1.81917035e-02,1.41391785e-02,1.65310436e-02
F##,0.0,3.90313273e-03,9.27824097e-03,4.43031388e-03,1.05921661e-02,8.25013976e-03,8.47387946e-03
C##,0.0014005602240896359,1.12431017e-03,1.82678054e-03,2.19170970e-03,4.57312656e-03,4.51117987e-03,6.60590676e-03
G##,0.0,4.01663171e-04,1.88261697e-03,1.05579709e-03,3.05456359e-03,2.31158939e-03,4.51689004e-03
D##,0.0,2.36829479e-04,2.22271766e-03,4.97456409e-04,2.84611242e-03,1.10999993e-03,2.33021470e-03
A##,0.0,6.49540632e-05,5.95388690e-04,2.30035354e-04,1.56790321e-03,4.99490143e-04,9.86445000e-04
E##,0.0,1.02701333e-05,4.05903623e-04,1.04681448e-04,6.63216523e-04,2.10631152e-04,4.07276512e-04
B##,0.0,7.93923653e-06,1.26437555e-04,4.69804510e-05,4.08431536e-04,8.32357683e-05,3.88032161e-04
