pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,8.81627766e-10,6.61762351e-07,4.85814479e-08,2.20164905e-07,6.16190680e-05,5.98234635e-09,2.39103573e-04
Cbb,0.0,3.86368679e-09,2.25742710e-06,3.48231383e-06,9.77425682e-07,1.43505233e-04,6.99461750e-08,3.58432128e-04
Gbb,0.0,2.88066822e-07,1.12864848e-05,5.90678978e-05,4.21571129e-06,2.93515357e-04,6.76464137e-07,7.68143897e-04
Dbb,0.0,1.05725975e-06,4.35805893e-05,1.28396491e-05,1.75763342e-05,6.11801125e-04,5.41145403e-06,1.84999481e-03
Abb,0.0,5.90533643e-06,1.10348883e-04,3.93541040e-04,7.03792166e-05,1.38239967e-03,3.58072987e-05,2.79409492e-03
Ebb,0.0,2.12050043e-04,3.23344235e-04,1.46397411e-03,2.68354405e-04,2.62074566e-03,1.95982608e-04,4.88517171e-03
Bbb,0.0,5.05632256e-04,1.44780285e-03,1.38679794e-03,9.63104211e-04,4.73428729e-03,8.87262033e-04,8.76746317e-03
Fb,0.0,4.40248226e-03,4.98582403e-03,7.21076447e-03,3.20048209e-03,1.02366653e-02,3.32257392e-03,1.71348003e-02
Cb,0.002398081534772182,1.01033880e-02,9.80814689e-03,1.74913888e-02,9.61619389e-03,1.81374002e-02,1.02916686e-02,2.69882610e-02
Gb,0.02877697841726619,3.34061987e-02,2.01239890e-02,1.99696905e-02,2.52499090e-02,2.65112707e-02,2.63684940e-02,4.04073371e-02
Db,0.07194244604316546,5.59940530e-02,6.21420860e-02,5.29168810e-02,5.54802515e-02,5.22043622e-02,5.58821682e-02,8.02322620e-02
Ab,0.1510791366906475,1.09613864e-01,1.44483559e-01,9.95655406e-02,9.83678217e-02,8.75896494e-02,9.79601766e-02,1.29751684e-01
Eb,0.07673860911270983,1.32257285e-01,1.50559101e-01,1.01052061e-01,1.42712492e-01,9.48008670e-02,1.42041176e-01,1.26842807e-01
Bb,0.15347721822541965,1.75966477e-01,1.24731004e-01,1.50592853e-01,1.72549362e-01,1.44329336e-01,1.70359889e-01,1.04258845e-01
F,0.17026378896882494,1.51686779e-01,1.41333655e-01,2.19550267e-01,1.70045362e-01,2.26269895e-01,1.69008610e-01,1.13162112e-01
C,0.18225419664268586,1.44127001e-01,1.57458939e-01,1.62559287e-01,1.39652912e-01,1.64913701e-01,1.38687940e-01,1.28687696e-01
G,0.06954436450839328,8.54410995e-02,9.68701659e-02,7.75544125e-02,9.38441890e-02,7.92556594e-02,9.41362633e-02,7.89021223e-02
D,0.050359712230215826,5.89318068e-02,3.61206495e-02,4.81058438e-02,5.08810678e-02,4.00586193e-02,5.28522648e-02,3.70465079e-02
A,0.02877697841726619,2.19953488e-02,2.01562205e-02,2.57436764e-02,2.30810535e-02,2.43152856e-02,2.45447515e-02,2.91752775e-02
E,0.009592326139088728,1.13669340e-02,1.48297632e-02,8.22920837e-03,9.14841738e-03,1.23820037e-02,9.42848827e-03,2.72801734e-02
B,0.004796163069544364,2.50624576e-03,8.35280823e-03,3.83070501e-03,3.27805639e-03,5.17404009e-03,2.99580734e-03,1.65299948e-02
F#,0.0,1.10580384e-03,2.94538368e-03,1.70356728e-03,1.08746848e-03,2.22141321e-03,7.87361337e-04,8.47334186e-03
C#,0.0,2.86563275e-04,1.41323259e-03,3.64953077e-04,3.39534722e-04,1.03614626e-03,1.71168041e-04,6.60548767e-03
G#,0.0,5.41781060e-05,9.05307949e-04,1.63985370e-04,1.00943119e-04,4.40516210e-04,3.07793655e-05,4.51660348e-03
D#,0.0,2.51157763e-05,4.96492629e-04,6.15403016e-05,2.88211315e-05,1.67973092e-04,4.57809748e-06,2.33006687e-03
A#,0.0,3.38511321e-06,1.76476626e-04,7.54289428e-06,7.95431752e-06,6.53285345e-05,5.63246884e-07,9.86382417e-04
E#,0.0,7.01875356e-07,7.89427104e-05,4.66199086e-06,2.13273303e-06,2.63961668e-05,5.73193094e-08,4.07250674e-04
B#,0.0,3.19219763e-07,4.67471856e-05,1.23918750e-06,5.57749739e-07,1.00217180e-05,4.82493526e-09,3.88007543e-04
F##,0.0,2.30579067e-08,2.51890091e-05,7.56423739e-08,1.42725623e-07,3.56759963e-06,3.35946732e-10,1.40990507e-04
C##,0.0,5.76522902e-09,9.12546919e-06,8.75334215e-08,3.58311129e-08,1.28853177e-06,1.93480740e-11,4.29749754e-05
G##,0.0,2.51277592e-09,3.92372838e-06,1.36395031e-08,8.84412905e-09,4.72761165e-07,9.21708197e-13,2.91125698e-05
D##,0.0,9.78583768e-11,2.20255774e-06,3.45373131e-10,2.15017664e-09,1.65717237e-07,3.63193066e-14,2.72030762e-06
A##,0.0,3.07806303e-11,1.16892071e-06,1.00739100e-09,5.15684621e-10,5.58196110e-08,1.18377738e-15,1.39704338e-05
E##,0.0,1.28011024e-11,4.31912125e-07,7.53161594e-11,1.22167158e-10,1.89900325e-08,3.19147108e-17,5.56791445e-07
B##,0.0,2.64590363e-13,1.81266161e-07,5.50906844e-13,2.86203613e-11,6.48517496e-09,7.11705267e-19,2.49954980e-07
