pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.15821450e-09,1.00007006e-07,7.07205982e-09,1.03729726e-03,3.09843440e-04,2.39103573e-04
Cbb,0.0,1.90542372e-09,1.28816534e-05,5.92453855e-08,1.56149523e-03,6.87274559e-04,3.58432128e-04
Gbb,0.0,3.89990776e-07,4.60012480e-04,2.91004727e-07,2.14775208e-03,1.43656335e-03,7.68143897e-04
Dbb,0.0,1.40719905e-06,2.70382416e-05,1.42069894e-06,4.29437293e-03,2.82960525e-03,1.84999481e-03
Abb,0.0,1.93361778e-06,1.53488017e-03,1.30456622e-05,7.57955904e-03,5.25210589e-03,2.79409492e-03
Ebb,0.0,9.39401646e-05,6.66045672e-03,9.85603824e-05,8.55120245e-03,9.18644858e-03,4.88517171e-03
Bbb,0.0,4.25915166e-04,3.04787213e-03,3.52293685e-04,1.23946062e-02,1.51414817e-02,8.76746317e-03
Fb,0.004310344827586207,8.02581954e-04,1.63049296e-02,1.37121715e-03,2.71445700e-02,2.35177438e-02,1.71348003e-02
Cb,0.0,9.55752890e-03,4.16522301e-02,1.17747137e-02,3.44459117e-02,3.44214760e-02,2.69882610e-02
Gb,0.036637931034482756,4.95021592e-02,2.68470038e-02,2.29403990e-02,2.71397339e-02,4.74755358e-02,4.04073371e-02
Db,0.12284482758620689,1.18550490e-01,6.50908925e-02,1.43404055e-01,5.78438030e-02,6.17044966e-02,8.02322620e-02
Ab,0.23706896551724138,1.42789525e-01,1.23188112e-01,1.47031578e-01,1.03362344e-01,7.55736339e-02,1.29751684e-01
Eb,0.07974137931034483,9.43067653e-02,8.50281869e-02,1.01786919e-01,6.88955345e-02,8.72228655e-02,1.26842807e-01
Bb,0.06896551724137931,6.67917713e-02,9.90262659e-02,9.66469238e-02,5.37390268e-02,9.48630203e-02,1.04258845e-01
F,0.11422413793103449,1.08982635e-01,1.51961132e-01,1.09143099e-01,1.60941038e-01,9.72232419e-02,1.13162112e-01
C,0.11637931034482758,1.31940412e-01,1.06507544e-01,9.12634681e-02,1.31185141e-01,9.38965860e-02,1.28687696e-01
G,0.036637931034482756,8.30757699e-02,4.08200162e-02,6.29546398e-02,5.80269359e-02,8.54547205e-02,7.89021223e-02
D,0.0,3.66154739e-02,4.81577412e-02,4.90634181e-02,3.24382128e-02,7.32873245e-02,3.70465079e-02
A,0.01293103448275862,4.04686474e-02,5.97704422e-02,4.21991041e-02,7.62114964e-02,5.92281585e-02,2.91752775e-02
E,0.03017241379310345,4.88569288e-02,3.98858971e-02,3.32687570e-02,5.39214937e-02,4.51059822e-02,2.72801734e-02
B,0.02586206896551724,3.04069111e-02,3.16383589e-02,2.34624044e-02,2.12648455e-02,3.23702917e-02,1.65299948e-02
F#,0.010775862068965518,1.05020925e-02,1.82895877e-02,1.69474505e-02,1.00843945e-02,2.18910016e-02,8.47334186e-03
C#,0.028017241379310345,7.57528776e-03,1.03728125e-02,1.29626573e-02,1.91699158e-02,1.39505461e-02,6.60548767e-03
G#,0.05172413793103448,9.12611077e-03,6.57505028e-03,9.76842457e-03,1.26481208e-02,8.37767163e-03,4.51660348e-03
D#,0.01939655172413793,5.61894532e-03,8.10915652e-03,6.94980487e-03,4.72697513e-03,4.74091330e-03,2.33006687e-03
A#,0.0021551724137931034,1.66957383e-03,3.54840381e-03,4.89891452e-03,2.03856702e-03,2.52817566e-03,9.86382417e-04
E#,0.0,7.14136331e-04,2.72248156e-03,3.53957845e-03,3.26401796e-03,1.27045425e-03,4.07250674e-04
B#,0.0021551724137931034,8.66029646e-04,1.01609087e-03,2.57059537e-03,2.05470338e-03,6.01613218e-04,3.88007543e-04
F##,0.0,5.29877660e-04,8.42060149e-04,1.82111343e-03,7.43668697e-04,2.68461653e-04,1.40990507e-04
C##,0.0,1.39878058e-04,2.48743431e-04,1.27216507e-03,3.01469442e-04,1.12889540e-04,4.29749754e-05
G##,0.0,2.71142151e-05,4.26930522e-04,8.94483828e-04,4.19189544e-04,4.47333787e-05,2.91125698e-05
D##,0.0,3.35810164e-05,8.85230001e-05,6.32831702e-04,2.54407883e-04,1.67038373e-05,2.72030762e-06
A##,0.0,2.09527172e-05,1.01888306e-04,4.43814798e-04,9.00739310e-05,5.87769916e-06,1.39704338e-05
E##,0.0,5.22933975e-06,1.29712098e-05,3.08103833e-04,3.49495563e-05,1.94896935e-06,5.56791445e-07
B##,0.0,9.96239293e-51,2.33061965e-05,2.13686911e-04,4.31737777e-05,6.08988678e-07,2.49954980e-07
