pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,9.99939860e-51,9.51999631e-12,5.36624298e-14,1.30091396e-10,1.88794918e-20,5.88654250e-07
Cbb,0.0,9.99939860e-51,5.91083246e-11,2.92674197e-13,4.41191399e-10,1.34728898e-18,1.36783990e-06
Gbb,0.0,9.99939860e-51,1.69945351e-10,2.19810982e-12,2.12975562e-09,7.72331291e-17,3.00891450e-06
Dbb,0.0,9.99939860e-51,1.24071972e-09,1.28964925e-11,8.60873400e-09,3.55646815e-15,5.98711926e-06
Abb,0.0,3.43150345e-11,2.88600374e-09,5.63680860e-11,2.25399455e-08,1.31554781e-13,6.54154230e-05
Ebb,0.0,4.85643044e-12,2.01288039e-08,2.73922308e-10,7.23721183e-08,3.90900988e-12,2.55616940e-05
Bbb,0.0,2.57739613e-13,4.66230439e-08,2.11898941e-09,3.52901694e-07,9.33037973e-11,6.52143543e-05
Fb,0.0,1.60225270e-08,2.71338935e-07,1.23406506e-08,1.34142713e-06,1.78897507e-09,2.39118743e-04
Cb,0.0,3.68051643e-08,9.54637524e-07,4.83246987e-08,2.93727880e-06,2.75538112e-08,3.58454869e-04
Gb,0.0,3.91653479e-09,4.36021557e-06,2.02696154e-07,8.85593660e-06,3.40903521e-07,7.68192633e-04
Db,0.0,2.80563507e-06,1.03299640e-05,1.59128247e-06,4.38593708e-05,3.38808045e-06,1.85011218e-03
Ab,0.0,1.24966231e-05,5.03532884e-05,8.85084739e-06,1.54121382e-04,2.70488222e-05,2.79427220e-03
Eb,0.0,1.44262050e-05,1.14913406e-04,2.83534799e-05,2.57711684e-04,1.73466424e-04,4.88548166e-03
Bb,0.0,2.19399456e-04,5.41764607e-04,1.03137973e-04,7.19239589e-04,8.93624176e-04,8.76801943e-03
F,0.0,1.44442781e-03,2.05250008e-03,7.87278683e-04,3.63921412e-03,3.69799920e-03,1.71358875e-02
C,0.0098159509202454,3.21321365e-03,6.33950418e-03,3.68564065e-03,1.15370416e-02,1.22928091e-02,2.69899733e-02
G,0.0,8.81658915e-03,3.32219259e-03,6.74923021e-03,1.18192449e-02,3.28252375e-02,4.04099008e-02
D,0.024539877300613498,5.61393905e-02,2.72631278e-02,2.57753397e-02,2.93127945e-02,7.04104367e-02,8.02373524e-02
A,0.150920245398773,1.85123605e-01,1.65147544e-01,1.67656154e-01,1.51981457e-01,1.21321737e-01,1.29759916e-01
E,0.4294478527607362,2.72011449e-01,4.10696749e-01,3.91253803e-01,4.18325519e-01,1.67923941e-01,1.26850854e-01
B,0.0687116564417178,1.58786552e-01,7.36147431e-02,5.91745805e-02,7.09757715e-02,1.86706327e-01,1.04265460e-01
F#,0.07975460122699386,5.27237980e-02,4.13823157e-02,8.62830639e-02,4.27759193e-02,1.66754619e-01,1.13169292e-01
C#,0.09938650306748466,1.14693968e-01,1.27377535e-01,9.66682908e-02,1.15962986e-01,1.19637996e-01,1.28695860e-01
G#,0.08466257668711656,9.22822829e-02,8.57773804e-02,1.14570448e-01,7.84579576e-02,6.89497671e-02,7.89071283e-02
D#,0.008588957055214725,1.27556699e-02,1.35070261e-02,2.33172016e-02,1.54998541e-02,3.19204421e-02,3.70488584e-02
A#,0.007361963190184049,1.55346094e-02,1.51723687e-02,7.13960580e-03,1.65485340e-02,1.18707296e-02,2.91771285e-02
E#,0.025766871165644172,1.93729447e-02,1.69139668e-02,1.31302000e-02,1.75526729e-02,3.54616014e-03,2.72819042e-02
B#,0.008588957055214725,3.70284029e-03,6.64829592e-03,2.56524263e-03,7.50672723e-03,8.50964994e-04,1.65310436e-02
F##,0.00245398773006135,8.69704068e-04,1.40175231e-03,3.93195042e-04,2.31752229e-03,1.64035356e-04,8.47387946e-03
C##,0.0,1.66637555e-03,1.36790762e-03,5.40165022e-04,2.16474652e-03,2.54001134e-05,6.60590676e-03
G##,0.0,4.87343659e-04,8.85915827e-04,1.30388556e-04,1.44275664e-03,3.15941201e-06,4.51689004e-03
D##,0.0,5.09199232e-05,2.61547173e-04,1.82655380e-05,5.22617465e-04,3.15681617e-07,2.33021470e-03
A##,0.0,5.11070856e-05,7.13100214e-05,1.47943030e-05,2.21640949e-04,2.53375570e-08,9.86445000e-04
E##,0.0,2.07478476e-05,5.03370705e-05,4.25251360e-06,1.63528608e-04,1.63362588e-09,4.07276512e-04
B##,0.0,3.27727723e-06,2.29617594e-05,6.60247932e-07,8.29680175e-05,8.46082847e-11,3.88032161e-04
