pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.28556222e-09,1.21089479e-06,1.52472907e-06,8.89645653e-07,1.24817418e-05,8.35184596e-07,2.39103573e-04
Cbb,0.0,1.55264396e-07,4.09401625e-06,6.50032232e-06,3.86505705e-06,3.43363650e-05,5.03468868e-06,3.58432128e-04
Gbb,0.0,5.15308035e-07,1.84309218e-05,2.62256266e-05,1.61492014e-05,9.78953352e-05,2.62753222e-05,7.68143897e-04
Dbb,0.0,3.38743747e-06,6.68466336e-05,7.44815857e-05,6.44692654e-05,2.66208346e-04,1.18715865e-04,1.84999481e-03
Abb,0.0,1.04779605e-04,1.72136433e-04,2.77228258e-04,2.43836908e-04,6.51009611e-04,4.64359955e-04,2.79409492e-03
Ebb,0.0,2.56214863e-04,4.94776085e-04,9.20884331e-04,8.64119109e-04,1.57601110e-03,1.57248330e-03,4.88517171e-03
Bbb,0.0,2.38409438e-03,1.94765398e-03,2.34146860e-03,2.82670959e-03,4.10370199e-03,4.61001785e-03,8.76746317e-03
Fb,0.010764262648008612,7.79108912e-03,6.11882630e-03,7.24536819e-03,8.36277212e-03,9.87435854e-03,1.17005009e-02,1.71348003e-02
Cb,0.023681377825618945,2.46167677e-02,1.20542413e-02,1.96279638e-02,2.17688451e-02,1.95018914e-02,2.57093791e-02,2.69882610e-02
Gb,0.03336921420882669,5.06252665e-02,2.39855859e-02,4.02269037e-02,4.81598541e-02,3.70333925e-02,4.89062098e-02,4.04073371e-02
Db,0.12594187298170076,9.10319451e-02,6.41269243e-02,9.12346952e-02,8.73182823e-02,8.40703454e-02,8.05418698e-02,8.02322620e-02
Ab,0.11410118406889128,1.24375670e-01,1.34531373e-01,1.77106758e-01,1.27248603e-01,1.66148140e-01,1.14832466e-01,1.29751684e-01
Eb,0.1689989235737352,1.50766310e-01,1.45445740e-01,1.80427382e-01,1.52627332e-01,1.97765846e-01,1.41740174e-01,1.26842807e-01
Bb,0.1108719052744887,1.47783794e-01,1.26440347e-01,9.48380339e-02,1.55113441e-01,1.04976936e-01,1.51462986e-01,1.04258845e-01
F,0.09041980624327234,1.32833273e-01,1.38626641e-01,1.00318846e-01,1.33607230e-01,1.00274871e-01,1.40121686e-01,1.13162112e-01
C,0.18514531754574812,9.97994215e-02,1.48953792e-01,1.19171387e-01,1.01611875e-01,1.09910584e-01,1.12224964e-01,1.28687696e-01
G,0.06566200215285253,7.17276693e-02,9.77294909e-02,6.46813745e-02,6.81928191e-02,5.63494668e-02,7.78142041e-02,7.89021223e-02
D,0.008611410118406888,4.35255266e-02,4.18461583e-02,3.04910951e-02,4.20134893e-02,3.45762356e-02,4.67103982e-02,3.70465079e-02
A,0.02691065662002153,2.64783869e-02,2.35909019e-02,3.14246064e-02,2.41002487e-02,3.22617453e-02,2.42746816e-02,2.91752775e-02
E,0.023681377825618945,1.33346371e-02,1.66168225e-02,2.12458992e-02,1.30449693e-02,1.75085838e-02,1.09214122e-02,2.72801734e-02
B,0.011840688912809472,7.16309823e-03,9.50722655e-03,8.02954283e-03,6.74034365e-03,8.72294153e-03,4.25392023e-03,1.65299948e-02
F#,0.0,3.01854114e-03,3.73356699e-03,4.51079451e-03,3.30438651e-03,6.59919687e-03,1.43444918e-03,8.47334186e-03
C#,0.0,1.49309413e-03,1.80611106e-03,3.35654161e-03,1.53928217e-03,3.72664191e-03,4.18761047e-04,6.60548767e-03
G#,0.0,5.20916167e-04,1.10945680e-03,1.45866334e-03,6.97484265e-04,1.72282178e-03,1.05835818e-04,4.51660348e-03
D#,0.0,2.48868459e-04,6.09309556e-04,4.89467314e-04,3.08493419e-04,1.06585820e-03,2.31571095e-05,2.33006687e-03
A#,0.0,6.99436738e-05,2.37555788e-04,2.68285240e-04,1.30883087e-04,6.01628995e-04,4.38653208e-06,9.86382417e-04
E#,0.0,3.42063210e-05,1.07186466e-04,1.35693459e-04,5.36680979e-05,2.74212948e-04,7.19355479e-07,4.07250674e-04
B#,0.0,7.38853447e-06,6.09732424e-05,4.24148859e-05,2.17216968e-05,1.45109798e-04,1.02129472e-07,3.88007543e-04
F##,0.0,3.95199827e-06,3.26810043e-05,1.24336342e-05,8.63619026e-06,7.88187461e-05,1.25528951e-08,1.40990507e-04
C##,0.0,6.25823951e-07,1.28548701e-05,5.27252600e-06,3.32504166e-06,3.60653896e-05,1.33574020e-09,4.29749754e-05
G##,0.0,3.81191037e-07,5.58314275e-06,1.81868706e-06,1.25187862e-06,1.71995650e-05,1.23051066e-10,2.91125698e-05
D##,0.0,4.41909386e-08,3.01628278e-06,3.80914592e-07,4.67913325e-07,8.78270593e-06,9.81372863e-12,2.72030762e-06
A##,0.0,2.99805019e-08,1.58619654e-06,5.60214838e-08,1.72417032e-07,4.02049248e-06,6.77591570e-13,1.39704338e-05
E##,0.0,2.61776752e-09,6.31323977e-07,8.10177482e-09,6.20145292e-08,1.80165012e-06,4.05030034e-14,5.56791445e-07
B##,0.0,1.86876431e-09,2.68051842e-07,9.43429175e-10,2.19657665e-08,8.59762259e-07,2.09600226e-15,2.49954980e-07
