pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.31683616e-09,4.73390838e-08,1.77505627e-07,5.94624239e-07,3.45205700e-09,3.00836692e-06
Cbb,0.0,1.89827458e-08,4.42049511e-07,5.06256067e-07,1.59700442e-06,2.26954061e-08,5.98602968e-06
Gbb,0.0,1.50125189e-07,8.50133200e-07,1.42767689e-06,4.04289850e-06,1.34002216e-07,6.54035182e-05
Dbb,0.0,7.56573608e-07,2.82682598e-06,3.97564041e-06,9.98307126e-06,7.10558802e-07,2.55570421e-05
Abb,0.0,3.73085287e-06,1.09986104e-05,1.09145725e-05,2.56254860e-05,3.38377977e-06,6.52024861e-05
Ebb,0.0,1.62984152e-05,2.18787036e-05,2.94844504e-05,6.42752319e-05,1.44716542e-05,2.39075227e-04
Bbb,0.0,4.15287761e-05,7.27268869e-05,7.81895830e-05,1.46292760e-04,5.55838068e-05,3.58389635e-04
Fb,0.0,2.00505508e-04,1.45531377e-04,2.02964336e-04,3.30042983e-04,1.91731036e-04,7.68052831e-04
Cb,0.0,3.15350080e-04,5.88380841e-04,5.13847397e-04,8.02406107e-04,5.93950938e-04,1.84977549e-03
Gb,0.0,1.49378896e-03,5.71394571e-04,1.26295898e-03,1.81852556e-03,1.65242877e-03,2.79376367e-03
Db,0.0,1.93592791e-03,3.47044681e-03,2.99557630e-03,3.50545736e-03,4.12865834e-03,4.88459256e-03
Ab,0.010607521697203472,8.35417410e-03,5.94120090e-03,6.80208161e-03,7.04903479e-03,9.26422651e-03,8.76642376e-03
Eb,0.01253616200578592,9.96227880e-03,1.10097679e-02,1.46263927e-02,1.61432956e-02,1.86691011e-02,1.71327689e-02
Bb,0.03664416586306654,3.37123087e-02,3.29121955e-02,2.93291512e-02,3.06710851e-02,3.37871586e-02,2.69850615e-02
F,0.052073288331726135,5.21104247e-02,5.55754942e-02,5.36454125e-02,4.32022932e-02,5.49153752e-02,4.04025467e-02
C,0.0742526518804243,8.39997956e-02,7.00729998e-02,8.67578153e-02,7.39565853e-02,8.01586258e-02,8.02227502e-02
G,0.1359691417550627,1.44340400e-01,1.52502149e-01,1.19557697e-01,1.56807556e-01,1.05080128e-01,1.29736301e-01
D,0.1726133076181292,1.77197211e-01,1.83573124e-01,1.38072483e-01,2.01949430e-01,1.23710039e-01,1.26827769e-01
A,0.09450337512054002,9.72821941e-02,8.58033990e-02,1.38794839e-01,8.49705158e-02,1.30798667e-01,1.04246485e-01
E,0.06750241080038573,6.48676600e-02,6.70762658e-02,1.20186935e-01,6.98829072e-02,1.24198318e-01,1.13148696e-01
B,0.1523625843780135,1.11575597e-01,1.12557752e-01,9.47761155e-02,9.98960056e-02,1.05911259e-01,1.28672439e-01
F#,0.09546769527483125,9.43408745e-02,9.74028577e-02,6.84597152e-02,8.31265831e-02,8.11115255e-02,7.88927682e-02
C#,0.02507232401157184,3.32205809e-02,3.19284256e-02,4.68519656e-02,3.32971368e-02,5.57875168e-02,3.70421159e-02
G#,0.01639344262295082,2.25763355e-02,2.25287877e-02,3.07455649e-02,2.55691093e-02,3.44592256e-02,2.91718186e-02
D#,0.019286403085824494,2.94355367e-02,3.01636794e-02,1.92493919e-02,2.70467815e-02,1.91156037e-02,2.72769393e-02
A#,0.021215043394406944,1.71855954e-02,1.96385007e-02,1.15932678e-02,1.74909641e-02,9.52323598e-03,1.65280351e-02
E#,0.007714561234329798,5.93798999e-03,5.42010836e-03,6.81140210e-03,7.20834785e-03,4.26083872e-03,8.47233732e-03
B#,0.0019286403085824494,4.03954207e-03,3.67462513e-03,3.91246916e-03,5.31000285e-03,1.71206270e-03,6.60470457e-03
F##,0.0,3.07421333e-03,3.76257004e-03,2.19325310e-03,4.49345687e-03,6.17814731e-04,4.51606803e-03
C##,0.003857280617164899,1.39045273e-03,2.01108539e-03,1.20517061e-03,2.48169497e-03,2.00221576e-04,2.32979063e-03
G##,0.0,6.78203198e-04,5.90860438e-04,6.52494173e-04,1.07034884e-03,5.82743599e-05,9.86265479e-04
D##,0.0,4.35458063e-04,4.65699303e-04,3.48377127e-04,7.47596710e-04,1.52320435e-05,4.07202393e-04
A##,0.0,1.83541619e-04,2.95911410e-04,1.83419369e-04,5.33914079e-04,3.57563230e-06,3.87961544e-04
E##,0.0,5.42473208e-05,1.43985378e-04,9.54164538e-05,2.66639889e-04,7.53809410e-07,1.40973792e-04
B##,0.0,3.73267168e-05,6.30314518e-05,4.91463337e-05,1.19872000e-04,1.42719817e-07,4.29698806e-05
