pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.28134048e-06,5.70675431e-06,1.01768676e-05,9.82035689e-06,9.58133569e-08,1.36764787e-06
Cbb,0.0,3.08232057e-06,1.27651003e-05,2.07724299e-05,2.01207893e-05,4.26277297e-07,3.00849208e-06
Gbb,0.0,1.01939817e-05,2.75290945e-05,4.20040861e-05,4.29993282e-05,1.74355298e-06,5.98627873e-06
Dbb,0.0,3.14393914e-05,5.35008155e-05,8.40627595e-05,8.96437279e-05,6.55624070e-06,6.54062392e-05
Abb,0.0,6.71632253e-05,1.26333075e-04,1.66319935e-04,1.70977701e-04,2.26647758e-05,2.55581054e-05
Ebb,0.0,1.42943611e-04,2.51016955e-04,3.24898366e-04,3.29345728e-04,7.20318823e-05,6.52051988e-05
Bbb,0.0,4.08004342e-04,4.77156466e-04,6.25621696e-04,6.79565636e-04,2.10462583e-04,2.39085173e-04
Fb,0.0,9.41870334e-04,1.07985302e-03,1.18522739e-03,1.28894208e-03,5.65329731e-04,3.58404545e-04
Cb,0.0,1.55683212e-03,2.04402719e-03,2.20443811e-03,2.16136954e-03,1.39606472e-03,7.68084785e-04
Gb,0.0022675736961451248,3.11597178e-03,3.42487658e-03,4.01523988e-03,3.95599162e-03,3.16946585e-03,1.84985244e-03
Db,0.016628873771730914,7.57664788e-03,7.18174526e-03,7.13655897e-03,7.79615985e-03,6.61520638e-03,2.79387991e-03
Ab,0.015873015873015872,1.26773859e-02,1.30620491e-02,1.23181575e-02,1.25144260e-02,1.26933868e-02,4.88479578e-03
Eb,0.021919879062736205,1.64995155e-02,1.76188267e-02,2.05468037e-02,1.75472165e-02,2.23917703e-02,8.76678848e-03
Bb,0.021919879062736205,3.24651974e-02,3.12406800e-02,3.29519708e-02,3.16449521e-02,3.63141717e-02,1.71334817e-02
F,0.05668934240362812,6.18181821e-02,5.90145348e-02,5.03378064e-02,5.64103430e-02,5.41427925e-02,2.69861842e-02
C,0.061224489795918366,6.78979701e-02,6.55635826e-02,7.20691742e-02,6.52856615e-02,7.42133367e-02,4.04042277e-02
G,0.08087679516250945,7.11312363e-02,7.19729569e-02,9.50477912e-02,7.17601888e-02,9.35190446e-02,8.02260878e-02
D,0.12093726379440665,1.34511808e-01,1.37251069e-01,1.14118701e-01,1.35342941e-01,1.08341529e-01,1.29741699e-01
A,0.17535903250188964,1.67805822e-01,1.67207230e-01,1.23075545e-01,1.81073695e-01,1.15389598e-01,1.26833046e-01
E,0.07558578987150416,9.07785190e-02,8.98800653e-02,1.19186360e-01,8.83365143e-02,1.12983534e-01,1.04250822e-01
B,0.07709750566893424,6.82586375e-02,6.76463931e-02,1.03548867e-01,6.86044304e-02,1.01704565e-01,1.13153404e-01
F#,0.10582010582010581,9.26027229e-02,9.33243992e-02,8.14153249e-02,8.85163187e-02,8.41671330e-02,1.28677793e-01
C#,0.07860922146636433,7.04320255e-02,7.17828759e-02,5.88414336e-02,6.32176491e-02,6.40355906e-02,7.88960505e-02
G#,0.03250188964474679,3.00451803e-02,3.00347386e-02,3.97028565e-02,2.98664489e-02,4.47895916e-02,3.70436570e-02
D#,0.017384731670445956,2.29353645e-02,2.27522423e-02,2.53350574e-02,2.44832627e-02,2.88011336e-02,2.91730323e-02
A#,0.012849584278155708,2.21203208e-02,2.22989908e-02,1.54445303e-02,2.08786222e-02,1.70262442e-02,2.72780741e-02
E#,0.015117157974300832,1.19174021e-02,1.21582472e-02,9.06532118e-03,1.14691559e-02,9.25347664e-03,1.65287228e-02
B#,0.007558578987150416,4.61746978e-03,4.69513271e-03,5.15463064e-03,5.96174831e-03,4.62346744e-03,8.47268980e-03
F##,0.0022675736961451248,3.40221084e-03,3.43767878e-03,2.85301303e-03,4.44642564e-03,2.12376995e-03,6.60497935e-03
C##,0.0007558578987150416,2.43483410e-03,2.42548165e-03,1.54299373e-03,2.90210533e-03,8.96858518e-04,4.51625591e-03
G##,0.0,1.00510384e-03,1.05179264e-03,8.17937679e-04,1.44700477e-03,3.48190726e-04,2.32988756e-03
D##,0.0007558578987150416,3.66135243e-04,4.19179545e-04,4.26056743e-04,7.97381138e-04,1.24275998e-04,9.86306512e-04
A##,0.0,2.44102586e-04,2.69723742e-04,2.18529767e-04,5.20310531e-04,4.07787693e-05,4.07219334e-04
E##,0.0,1.33981382e-04,1.46564525e-04,1.10561680e-04,2.88137078e-04,1.23014914e-05,3.87977684e-04
B##,0.0,4.34421611e-05,6.10548991e-05,5.52567623e-05,1.40124252e-04,3.41160089e-06,1.40979657e-04
