pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,5.79381451e-08,8.44834074e-07,8.31936241e-07,2.34676595e-06,3.55779239e-06,1.12753286e-07,6.54020248e-05
Cbb,0.0,7.51912889e-08,2.81675719e-06,2.78933860e-06,6.06264131e-06,9.40050648e-06,6.42695186e-07,2.55564585e-05
Gbb,0.0,1.79783053e-06,8.31164542e-06,7.01358505e-06,1.55287598e-05,2.42761010e-05,3.26381846e-06,6.52009973e-05
Dbb,0.0,4.90230112e-06,2.56269849e-05,2.84581977e-05,3.93858669e-05,6.06340415e-05,1.47669924e-05,2.39069767e-04
Abb,0.0,2.23746942e-05,8.55433654e-05,4.46830894e-05,9.87609051e-05,1.48563813e-04,5.95255223e-05,3.58381451e-04
Ebb,0.0,1.02889971e-04,2.54393469e-04,2.40976769e-04,2.44344553e-04,3.60544155e-04,2.13776266e-04,7.68035293e-04
Bbb,0.0008382229673093043,2.81736339e-04,6.39266442e-04,3.68664055e-04,5.94943631e-04,8.44693311e-04,6.84007507e-04,1.84973325e-03
Fb,0.0016764459346186086,9.26585795e-04,1.62385160e-03,1.39524707e-03,1.42079809e-03,1.87506180e-03,1.94987763e-03,2.79369988e-03
Cb,0.0,2.90546085e-03,4.45574742e-03,3.13662412e-03,3.31266864e-03,4.06366501e-03,4.95220888e-03,4.88448103e-03
Gb,0.005029337803855826,6.46515524e-03,1.07030316e-02,7.47988677e-03,7.49236938e-03,8.76225623e-03,1.12056140e-02,8.76622359e-03
Db,0.01173512154233026,1.60756422e-02,2.01715049e-02,1.60679556e-02,1.62846052e-02,1.77577977e-02,2.25900646e-02,1.71323777e-02
Ab,0.051969823973176864,3.58671049e-02,3.57720057e-02,3.66008079e-02,3.35222816e-02,3.23346889e-02,4.05736796e-02,2.69844453e-02
Eb,0.053646269907795474,6.16352406e-02,6.69018118e-02,6.08269482e-02,6.37647029e-02,5.64485164e-02,6.49256678e-02,4.04016242e-02
Bb,0.11902766135792121,1.02637863e-01,1.08277241e-01,1.02277672e-01,1.06980841e-01,1.00272800e-01,9.25621776e-02,8.02209184e-02
F,0.12824811399832356,1.59810116e-01,1.26642011e-01,1.56937152e-01,1.45008433e-01,1.56325947e-01,1.17569808e-01,1.29733339e-01
C,0.16093880972338642,1.71715597e-01,1.25048650e-01,1.68643012e-01,1.49564968e-01,1.72290148e-01,1.33046411e-01,1.26824873e-01
G,0.14752724224643754,1.19483930e-01,1.27954471e-01,1.18209125e-01,1.39424942e-01,1.23513368e-01,1.34139174e-01,1.04244105e-01
D,0.0586756077116513,7.83494707e-02,1.25518208e-01,7.83497871e-02,1.06783773e-01,8.99298271e-02,1.20490609e-01,1.13146113e-01
A,0.11483654652137469,7.85101825e-02,9.61590045e-02,7.90859903e-02,7.60795694e-02,7.88656506e-02,9.64263834e-02,1.28669501e-01
E,0.06454316848281642,7.14534387e-02,5.83325733e-02,7.11104578e-02,5.35584464e-02,5.95158306e-02,6.87517356e-02,7.88909668e-02
B,0.030176026823134954,3.93652276e-02,3.63672963e-02,4.02559242e-02,3.61367244e-02,3.59002562e-02,4.36733556e-02,3.70412701e-02
F#,0.015088013411567477,1.79321562e-02,2.42645334e-02,1.91763519e-02,2.30805630e-02,2.26578482e-02,2.47169322e-02,2.91711525e-02
C#,0.0075440067057837385,1.46417196e-02,1.46819829e-02,1.55272030e-02,1.44280729e-02,1.57539010e-02,1.24628589e-02,2.72763164e-02
G#,0.013411567476948869,1.20031643e-02,7.47919054e-03,1.26341099e-02,8.93904438e-03,9.76961137e-03,5.59868327e-03,1.65276577e-02
D#,0.009220452640402346,5.26935897e-03,3.91212859e-03,5.70638959e-03,5.43974698e-03,5.37591974e-03,2.24078004e-03,8.47214386e-03
A#,0.002514668901927913,1.72018666e-03,2.25460525e-03,2.27525687e-03,3.24678227e-03,3.11151358e-03,7.99020028e-04,6.60455376e-03
E#,0.0016764459346186086,1.31644434e-03,1.25361515e-03,1.61896030e-03,1.91604694e-03,1.87123148e-03,2.53840673e-04,4.51596491e-03
B#,0.0016764459346186086,1.00223978e-03,6.04853222e-04,1.15796083e-03,1.12224484e-03,1.02908192e-03,7.18472027e-05,2.32973743e-03
F##,0.0,3.18614785e-04,2.93535770e-04,4.63380719e-04,6.51449198e-04,5.32558976e-04,1.81177234e-05,9.86242958e-04
C##,0.0,7.12697520e-05,1.56611179e-04,1.48708918e-04,3.74763447e-04,2.87269045e-04,4.07045067e-06,4.07193095e-04
G##,0.0,5.90661947e-05,8.31391886e-05,1.15758087e-04,2.14112096e-04,1.55834669e-04,8.14753949e-07,3.87952685e-04
D##,0.0,4.12109977e-05,3.92041106e-05,6.76291101e-05,1.21654243e-04,7.90486264e-05,1.45296636e-07,1.40970573e-04
A##,0.0,7.75918189e-06,1.82993182e-05,2.11117237e-05,6.87474054e-05,3.89860459e-05,2.30849934e-08,4.29688994e-05
E##,0.0,7.92742967e-07,9.30354088e-06,1.24138134e-05,3.86476565e-05,1.97815826e-05,3.26775177e-09,2.91084537e-05
B##,0.0,1.16715019e-06,4.78648721e-06,4.75797100e-06,2.16286697e-05,9.93058586e-06,4.12110300e-10,2.71992301e-06
