pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,9.46675974e-07,6.01022469e-07,8.51383044e-07,4.31566899e-06,1.16356180e-05,3.89566978e-07,1.36764787e-06
Cbb,0.0,3.04395098e-06,1.72530468e-06,4.60115950e-06,9.99030378e-06,2.46956100e-05,1.43805007e-06,3.00849208e-06
Gbb,0.0,8.25633331e-06,4.88467341e-06,1.75725860e-05,2.27516312e-05,5.14620860e-05,4.94014293e-06,5.98627873e-06
Dbb,0.0,2.25451167e-05,1.36046761e-05,4.20919021e-05,5.08920465e-05,1.05174176e-04,1.57935099e-05,6.54062392e-05
Abb,0.0,6.17613008e-05,3.62342254e-05,9.10766331e-05,1.11605671e-04,2.10634054e-04,4.69884837e-05,2.55581054e-05
Ebb,0.0,1.46593260e-04,9.17982215e-05,2.73708299e-04,2.39437263e-04,4.12847969e-04,1.30100163e-04,6.52051988e-05
Bbb,0.0,3.68366618e-04,2.26428233e-04,6.95105572e-04,5.01286468e-04,7.90611027e-04,3.35226147e-04,2.39085173e-04
Fb,0.0,8.21752752e-04,5.44690245e-04,1.15244834e-03,1.02119292e-03,1.47652698e-03,8.03843610e-04,3.58404545e-04
Cb,0.002789400278940028,1.76262061e-03,1.23726778e-03,2.03413631e-03,2.01734666e-03,2.68391733e-03,1.79382006e-03,7.68084785e-04
Gb,0.0041841004184100415,3.74801563e-03,2.61742357e-03,5.06462303e-03,3.84922474e-03,4.73806328e-03,3.72528775e-03,1.84985244e-03
Db,0.008368200836820083,6.77173954e-03,5.27930357e-03,9.11944510e-03,7.06083125e-03,8.10234364e-03,7.19970009e-03,2.79387991e-03
Ab,0.008368200836820083,1.32392886e-02,1.02366224e-02,1.10768202e-02,1.23838493e-02,1.33782693e-02,1.29491906e-02,4.88479578e-03
Eb,0.01882845188284519,2.02905254e-02,1.84398239e-02,1.90770359e-02,2.06377816e-02,2.12471593e-02,2.16742697e-02,8.76678848e-03
Bb,0.043933054393305436,3.51658113e-02,3.00958262e-02,3.87075801e-02,3.24613653e-02,3.23170095e-02,3.37613619e-02,1.71334817e-02
F,0.05439330543933055,4.60881686e-02,4.54615774e-02,4.69475780e-02,4.78780194e-02,4.68371721e-02,4.89405761e-02,2.69861842e-02
C,0.04881450488145049,6.95224286e-02,6.48593473e-02,4.63108351e-02,6.58407733e-02,6.42588583e-02,6.60224796e-02,4.04042277e-02
G,0.0899581589958159,7.83431984e-02,8.52637355e-02,8.18504047e-02,8.40323215e-02,8.27446694e-02,8.28873431e-02,8.02260878e-02
D,0.1199442119944212,1.02377621e-01,1.00210104e-01,1.17708348e-01,9.92162996e-02,9.90279806e-02,9.68407717e-02,1.29741699e-01
A,0.0801952580195258,9.94663734e-02,1.07121971e-01,9.29531212e-02,1.08161991e-01,1.09180235e-01,1.05293582e-01,1.26833046e-01
E,0.09623430962343096,1.12780296e-01,1.08071194e-01,8.44030755e-02,1.08812263e-01,1.10294423e-01,1.06541594e-01,1.04250822e-01
B,0.10460251046025104,9.44927867e-02,1.02708318e-01,1.27351913e-01,1.01097139e-01,1.02046350e-01,1.00325219e-01,1.13153404e-01
F#,0.12552301255230125,9.33037081e-02,8.91229147e-02,1.19278790e-01,8.69455551e-02,8.68565985e-02,8.79173676e-02,1.28677793e-01
C#,0.04881450488145049,6.72776639e-02,7.04294111e-02,5.95331971e-02,6.94714472e-02,6.85452631e-02,7.16989624e-02,7.88960505e-02
G#,0.02510460251046025,5.80925238e-02,5.26359258e-02,3.17509584e-02,5.18353987e-02,5.06169650e-02,5.44157601e-02,3.70436570e-02
D#,0.041143654114365415,3.59118723e-02,3.79641458e-02,4.14716880e-02,3.63368294e-02,3.52770718e-02,3.84335201e-02,2.91730323e-02
A#,0.04811715481171548,2.72388164e-02,2.59399866e-02,3.22895961e-02,2.40854444e-02,2.33694269e-02,2.52620890e-02,2.72780741e-02
E#,0.02092050209205021,1.43727850e-02,1.66015830e-02,1.28558286e-02,1.51896587e-02,1.47979534e-02,1.54526153e-02,1.65287228e-02
B#,0.0048814504881450485,9.62634055e-03,1.02415836e-02,5.22918408e-03,9.16647072e-03,8.99816542e-03,8.79646867e-03,8.47268980e-03
F##,0.001394700139470014,4.32552114e-03,6.24999488e-03,6.22751742e-03,5.32004672e-03,5.27496359e-03,4.66002623e-03,6.60497935e-03
C##,0.0020920502092050207,2.57295379e-03,3.72947883e-03,3.88132797e-03,2.98267730e-03,2.99129425e-03,2.29742846e-03,4.51625591e-03
G##,0.001394700139470014,9.88967628e-04,2.13663508e-03,1.30786781e-03,1.62156404e-03,1.64540349e-03,1.05406955e-03,2.32988756e-03
D##,0.0,5.24266703e-04,1.19338184e-03,4.82681644e-04,8.57688779e-04,8.79880765e-04,4.50059746e-04,9.86306512e-04
A##,0.0,1.75333271e-04,6.65536424e-04,5.08524904e-04,4.42615620e-04,4.58276894e-04,1.78831784e-04,4.07219334e-04
E##,0.0,8.23727347e-05,3.68413308e-04,2.25606590e-04,2.23403939e-04,2.32920812e-04,6.61291412e-05,3.87977684e-04
B##,0.0,2.47347205e-05,1.98528188e-04,7.48590432e-05,1.10521190e-04,1.15777857e-04,2.27569833e-05,1.40979657e-04
