pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.31939103e-04,0.00018029,0.0005026,0.00013799,9.28696474e-06,5.88654250e-07
Cbb,0.0,2.22056237e-04,0.00045374,0.00069109,0.00026488,2.25106391e-05,1.36783990e-06
Gbb,0.0,3.58722196e-04,0.00048804,0.00094726,0.00049339,5.21523529e-05,3.00891450e-06
Dbb,0.0,5.67357312e-04,0.00067392,0.00129392,0.00067036,1.15486718e-04,5.98711926e-06
Abb,0.0,9.01023582e-04,0.00098959,0.0017609,0.00079737,2.44434346e-04,6.54154230e-05
Ebb,0.0,1.42013576e-03,0.00109584,0.00238673,0.00145395,4.94497921e-04,2.55616940e-05
Bbb,0.0,2.16620742e-03,0.00223532,0.00322077,0.00259122,9.56178039e-04,6.52143543e-05
Fb,0.0056146572104018916,3.20555817e-03,0.00494926,0.00432535,0.00337637,1.76719760e-03,2.39118743e-04
Cb,0.008569739952718676,4.70361306e-03,0.00572703,0.00577803,0.00381352,3.12178877e-03,3.58454869e-04
Gb,0.015661938534278958,6.86918600e-03,0.00663849,0.00767354,0.00649026,5.27101156e-03,7.68192633e-04
Db,0.022754137115839245,9.79425304e-03,0.00951185,0.01012483,0.01095461,8.50660910e-03,1.85011218e-03
Ab,0.0233451536643026,1.34909487e-02,0.01008732,0.01326255,0.01362196,1.31217282e-02,2.79427220e-03
Eb,0.016252955082742316,1.81700713e-02,0.01616839,0.01723157,0.01448842,1.93462881e-02,4.88548166e-03
Bb,0.024231678486997636,2.42390533e-02,0.0302493,0.02218269,0.02239792,2.72631680e-02,8.76801943e-03
F,0.02925531914893617,3.17798193e-02,0.03557403,0.02825717,0.0352006,3.67220603e-02,1.71358875e-02
C,0.022163120567375887,4.02737484e-02,0.03690786,0.03556097,0.04145252,4.72769895e-02,2.69899733e-02
G,0.02364066193853428,4.92220098e-02,0.047462,0.04412603,0.04104554,5.81761051e-02,4.04099008e-02
D,0.0384160756501182,5.87410802e-02,0.04904823,0.05385423,0.05509259,6.84244827e-02,8.02373524e-02
A,0.05821513002364066,6.88444694e-02,0.056243,0.0644353,0.07799721,7.69219803e-02,1.29759916e-01
E,0.08421985815602837,7.82594411e-02,0.08693687,0.07524083,0.08570605,8.26535371e-02,1.26850854e-01
B,0.09574468085106383,8.48736585e-02,0.09650443,0.08525482,0.07767063,8.48876449e-02,1.04265460e-01
F#,0.08806146572104019,8.75899620e-02,0.08935653,0.09309228,0.08325501,8.33296540e-02,1.13169292e-01
C#,0.1291371158392435,8.68959689e-02,0.09944625,0.09688836,0.09767633,7.81855914e-02,1.28695860e-01
G#,0.09397163120567376,8.31962958e-02,0.09294263,0.09383257,0.09607318,7.01174198e-02,7.89071283e-02
D#,0.06973995271867613,7.55393902e-02,0.06473215,0.08135619,0.07723579,6.01031425e-02,3.70488584e-02
A#,0.04964539007092199,6.29302149e-02,0.05470678,0.06218356,0.05533382,4.92425446e-02,2.91771285e-02
E#,0.0425531914893617,4.65636947e-02,0.04260602,0.04210221,0.03765432,3.85616712e-02,2.72819042e-02
B#,0.023936170212765957,2.99164448e-02,0.02247805,0.0253013,0.02433998,2.88631191e-02,1.65310436e-02
F##,0.025118203309692673,1.64949924e-02,0.01603007,0.01376941,0.01474673,2.06491761e-02,8.47387946e-03
C##,0.0062056737588652485,7.79231131e-03,0.0101654,0.00704491,0.00846793,1.41199854e-02,6.60590676e-03
G##,0.0017730496453900709,3.18157652e-03,0.004477,0.00345147,0.00469407,9.22864249e-03,4.51689004e-03
D##,0.0017730496453900709,1.14516095e-03,0.00240049,0.001632,0.00252097,5.76518767e-03,2.33021470e-03
A##,0.0,3.73980705e-04,0.00176832,0.00074973,0.00130693,3.44239838e-03,9.86445000e-04
E##,0.0,1.13306439e-04,0.00031156,0.00033657,0.0006562,1.96463041e-03,4.07276512e-04
B##,0.0,3.23484594e-05,0.00045394,0.00014827,0.00032134,1.07169857e-03,3.88032161e-04
