pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,5.45702223e-07,2.90204855e-06,1.91804016e-06,1.37049945e-05,6.36254146e-08,1.36764787e-06
Cbb,0.0,1.27795615e-06,7.22705490e-06,4.45800375e-06,2.70170662e-05,2.74842396e-07,3.00849208e-06
Gbb,0.0,4.02669477e-06,1.70430872e-05,1.02316723e-05,5.30803611e-05,1.09760899e-06,5.98627873e-06
Dbb,0.0,1.10922978e-05,3.99986364e-05,2.31596840e-05,1.03694889e-04,4.05249431e-06,6.54062392e-05
Abb,0.0,2.52254197e-05,8.16001854e-05,5.16262364e-05,1.94524908e-04,1.38327332e-05,2.55581054e-05
Ebb,0.0,7.29779839e-05,1.65059179e-04,1.13143538e-04,3.59187627e-04,4.36520268e-05,6.52051988e-05
Bbb,0.0,1.65250040e-04,3.46209443e-04,2.43307127e-04,6.72355502e-04,1.27353726e-04,2.39085173e-04
Fb,0.0,3.74571480e-04,7.18318986e-04,5.12195017e-04,1.20310163e-03,3.43502360e-04,3.58404545e-04
Cb,0.002729443875810304,9.07947864e-04,1.27181565e-03,1.05261138e-03,2.04875138e-03,8.56561643e-04,7.68084785e-04
Gb,0.0,1.77409885e-03,2.48394204e-03,2.10478125e-03,3.60482886e-03,1.97468737e-03,1.84985244e-03
Db,0.00511770726714432,3.87782622e-03,5.40207913e-03,4.07849044e-03,6.18994163e-03,4.20870904e-03,2.79387991e-03
Ab,0.009211873080859774,7.33955032e-03,7.95568510e-03,7.62089188e-03,9.57192336e-03,8.29297365e-03,4.88479578e-03
Eb,0.013988399863527807,1.32119405e-02,1.41568707e-02,1.36487888e-02,1.51761347e-02,1.51071484e-02,8.76678848e-03
Bb,0.02012964858410099,2.43236320e-02,2.63260999e-02,2.32541273e-02,2.50354619e-02,2.54428370e-02,1.71334817e-02
F,0.03036506311838963,3.61507873e-02,3.76769286e-02,3.73414744e-02,3.51435763e-02,3.96149764e-02,2.69861842e-02
C,0.06482429205049471,5.99955675e-02,4.82929074e-02,5.59042315e-02,4.66287205e-02,5.70248428e-02,4.04042277e-02
G,0.08597748208802457,7.39479206e-02,7.90072152e-02,7.71784164e-02,7.17479529e-02,7.58891379e-02,8.02260878e-02
D,0.10542476970317298,1.03575638e-01,1.00751042e-01,9.74384676e-02,9.33943860e-02,9.33697015e-02,1.29741699e-01
A,0.08870692596383487,1.05975702e-01,9.95709671e-02,1.12002338e-01,9.40859451e-02,1.06204556e-01,1.26833046e-01
E,0.10576595018764927,1.22268197e-01,1.13490772e-01,1.16967729e-01,1.18015896e-01,1.11684051e-01,1.04250822e-01
B,0.1272603207096554,1.05104076e-01,1.31516287e-01,1.11218157e-01,1.44688364e-01,1.08580039e-01,1.13153404e-01
F#,0.11293074036165131,1.00029853e-01,1.05672391e-01,9.66461776e-02,1.05753077e-01,9.75932219e-02,1.28677793e-01
C#,0.05970658478335039,7.45428134e-02,5.84608564e-02,7.73405821e-02,6.31632432e-02,8.10961333e-02,7.88960505e-02
G#,0.04981235073353804,5.91958577e-02,4.59371908e-02,5.75116246e-02,5.02449123e-02,6.23004907e-02,3.70436570e-02
D#,0.04981235073353804,4.01647819e-02,4.91330715e-02,4.01721595e-02,4.48162800e-02,4.42479969e-02,2.91730323e-02
A#,0.030706243602865915,2.69433213e-02,3.34062191e-02,2.66365260e-02,2.79570053e-02,2.90540441e-02,2.72780741e-02
E#,0.01501194131695667,1.73306009e-02,1.34526735e-02,1.69022099e-02,1.47477351e-02,1.76372307e-02,1.65287228e-02
B#,0.002388263391334016,1.00131059e-02,7.63617359e-03,1.03262642e-02,9.72668919e-03,9.89840062e-03,8.47268980e-03
F##,0.013647219379051518,6.07861382e-03,8.58959555e-03,6.10441877e-03,7.12976276e-03,5.13582820e-03,6.60497935e-03
C##,0.00511770726714432,3.20163121e-03,4.89220828e-03,3.50677801e-03,4.01685175e-03,2.46358060e-03,4.51625591e-03
G##,0.001364721937905152,1.74298218e-03,1.50703218e-03,1.96457414e-03,1.98560744e-03,1.09253131e-03,2.32988756e-03
D##,0.0,9.08385283e-04,7.27968146e-04,1.07639643e-03,1.17221847e-03,4.47931740e-04,9.86306512e-04
A##,0.0,4.24899459e-04,8.00263972e-04,5.78185670e-04,7.50653161e-04,1.69785505e-04,4.07219334e-04
E##,0.0,2.19548292e-04,4.15890316e-04,3.05107021e-04,3.92079475e-04,5.94977046e-05,3.87977684e-04
B##,0.0,9.57538564e-05,8.74962681e-05,1.58451255e-04,1.85335670e-04,1.92757214e-05,1.40979657e-04
