pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,3.11664856e-07,7.02281506e-07,1.55036778e-06,9.37257402e-07,7.76036535e-10,5.88654250e-07
Cbb,0.0,8.32853047e-07,2.23277086e-06,3.43843982e-06,2.26359552e-06,5.02190817e-09,1.36783990e-06
Gbb,0.0,2.26036475e-06,5.32053078e-06,7.54629395e-06,5.44092450e-06,2.94891759e-08,3.00891450e-06
Dbb,0.0,6.05087939e-06,1.26298820e-05,1.63751529e-05,1.16917124e-05,1.57131687e-07,5.98711926e-06
Abb,0.0,1.56356123e-05,2.68285197e-05,3.50524669e-05,2.42455702e-05,7.59752578e-07,6.54154230e-05
Ebb,0.0,3.78959677e-05,6.29042746e-05,7.39040015e-05,5.59424099e-05,3.33340330e-06,2.55616940e-05
Bbb,0.0,8.97775014e-05,1.24385571e-04,1.53510715e-04,1.28161965e-04,1.32712188e-05,6.52143543e-05
Fb,0.0,2.09493087e-04,3.02096746e-04,3.13819834e-04,2.53142768e-04,4.79447464e-05,2.39118743e-04
Cb,0.0,4.63451124e-04,6.42838296e-04,6.28835954e-04,4.74635599e-04,1.57173207e-04,3.58454869e-04
Gb,0.0,9.87840876e-04,1.17266484e-03,1.23125552e-03,1.03469673e-03,4.67544843e-04,7.68192633e-04
Db,0.00522466039707419,2.02536006e-03,2.08384334e-03,2.35618869e-03,2.23682122e-03,1.26204633e-03,1.85011218e-03
Ab,0.012016718913270637,3.99489220e-03,4.12407171e-03,4.39964684e-03,3.94724637e-03,3.09125332e-03,2.79427220e-03
Eb,0.002612330198537095,7.58273125e-03,7.58178923e-03,7.96287595e-03,6.35971818e-03,6.87070280e-03,4.88548166e-03
Bb,0.017763845350052248,1.35982433e-02,1.50449639e-02,1.38823697e-02,1.28172598e-02,1.38571845e-02,8.76801943e-03
F,0.019853709508881923,2.32154900e-02,2.58843546e-02,2.32634854e-02,2.57450450e-02,2.53604004e-02,1.71358875e-02
C,0.03082549634273772,3.75412382e-02,3.19660879e-02,3.73061159e-02,3.86444054e-02,4.21157445e-02,2.69899733e-02
G,0.03970741901776385,5.71975871e-02,3.96770013e-02,5.67449370e-02,4.72723948e-02,6.34658541e-02,4.04099008e-02
D,0.07732497387669801,8.14687329e-02,8.85959450e-02,8.08388670e-02,8.26968861e-02,8.67846757e-02,8.02373524e-02
A,0.1588296760710554,1.05932548e-01,1.58527328e-01,1.05783920e-01,1.49649556e-01,1.07684509e-01,1.29759916e-01
E,0.12800417972831765,1.25235128e-01,1.60085676e-01,1.25273662e-01,1.73342208e-01,1.21246912e-01,1.26850854e-01
B,0.09456635318704285,1.31568320e-01,9.27547996e-02,1.32124050e-01,9.55359552e-02,1.23878350e-01,1.04265460e-01
F#,0.09090909090909091,1.23576531e-01,7.35814697e-02,1.23317542e-01,7.52727368e-02,1.14849050e-01,1.13169292e-01
C#,0.12800417972831765,1.02030220e-01,9.63687050e-02,1.01268082e-01,8.90349837e-02,9.66199199e-02,1.28695860e-01
G#,0.10553814002089865,7.51662582e-02,8.46274728e-02,7.36589821e-02,7.28314539e-02,7.37586923e-02,7.89071283e-02
D#,0.04231974921630094,4.89497338e-02,3.86334469e-02,4.82013056e-02,3.67530428e-02,5.10936600e-02,3.70488584e-02
A#,0.008359456635318705,2.89345158e-02,2.13030229e-02,2.88695251e-02,2.57376997e-02,3.21164910e-02,2.91771285e-02
E#,0.012539184952978056,1.55864002e-02,2.36015189e-02,1.60690386e-02,2.35007465e-02,1.83187752e-02,2.72819042e-02
B#,0.019853709508881923,7.89332116e-03,1.82255271e-02,8.41644133e-03,1.56064387e-02,9.48139079e-03,1.65310436e-02
F##,0.0041797283176593526,3.78019923e-03,6.52229993e-03,4.18959550e-03,7.66673525e-03,4.45302293e-03,8.47387946e-03
C##,0.001567398119122257,1.70810918e-03,2.81921871e-03,1.99776374e-03,5.05557764e-03,1.89777659e-03,6.60590676e-03
G##,0.0,7.31806534e-04,2.85811752e-03,9.18277402e-04,3.84772155e-03,7.33909500e-04,4.51689004e-03
D##,0.0,2.94224377e-04,1.92699510e-03,4.08937774e-04,2.23343686e-03,2.57541490e-04,2.33021470e-03
A##,0.0,1.15415714e-04,5.02132569e-04,1.77165551e-04,1.08841389e-03,8.20085564e-05,9.86445000e-04
E##,0.0,4.38510781e-05,1.79481794e-04,7.49215541e-05,6.80532121e-04,2.36961833e-05,4.07276512e-04
B##,0.0,1.55924578e-05,1.72127232e-04,3.10139577e-05,4.51825362e-04,6.21305079e-06,3.88032161e-04
