pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,7.75487339e-09,1.15010909e-08,4.45572432e-08,3.50313721e-07,9.63290257e-07,1.63186787e-10,3.00836692e-06
Cbb,0.0,1.93820516e-08,3.75950282e-08,7.32862275e-07,9.60448077e-07,2.44102779e-06,1.46797247e-09,5.98602968e-06
Gbb,0.0,1.81761358e-07,1.32612872e-07,2.10237636e-07,2.59136486e-06,6.07055717e-06,1.16654524e-08,6.54035182e-05
Dbb,0.0,4.11623721e-07,5.18022541e-07,6.45309016e-06,6.86943092e-06,1.47859767e-05,8.18909696e-08,2.55570421e-05
Abb,0.0,3.21193818e-06,1.78838454e-06,6.06305872e-05,1.78668873e-05,3.53171208e-05,5.07833323e-07,6.52024861e-05
Ebb,0.0,6.89231083e-06,5.32502376e-06,2.40306769e-05,4.55088183e-05,8.25740024e-05,2.78200004e-06,2.39075227e-04
Bbb,0.0,4.26478144e-05,1.69046922e-05,3.29055948e-04,1.13177017e-04,1.88547112e-04,1.34630613e-05,3.58389635e-04
Fb,0.0,8.86126291e-05,6.02318944e-05,3.56156866e-04,2.73998836e-04,4.19539551e-04,5.75547627e-05,7.68052831e-04
Cb,0.0012040939193257074,4.20094297e-04,1.87684815e-04,1.18944297e-03,6.44387126e-04,9.07648003e-04,2.17354916e-04,1.84977549e-03
Gb,0.0,8.41726887e-04,4.79101390e-04,1.43901676e-03,1.46679617e-03,1.90497291e-03,7.25117556e-04,2.79376367e-03
Db,0.0,2.99681434e-03,1.26063694e-03,6.78003028e-03,3.20977787e-03,3.86806403e-03,2.13696854e-03,4.88459256e-03
Ab,0.002408187838651415,5.59584248e-03,3.73389345e-03,4.12011982e-03,6.71152644e-03,7.56560630e-03,5.56337827e-03,8.76642376e-03
Eb,0.030102347983142687,1.49237692e-02,9.51206170e-03,1.83102104e-02,1.33608484e-02,1.41719178e-02,1.27946911e-02,1.71327689e-02
Bb,0.030704394942805538,2.44156663e-02,1.82238046e-02,2.89437632e-02,2.50984836e-02,2.52788689e-02,2.59939199e-02,2.69850615e-02
F,0.027092113184828417,4.94618780e-02,3.32414944e-02,4.06578725e-02,4.37284299e-02,4.26869683e-02,4.66513807e-02,4.04025467e-02
C,0.060806742925948225,6.76782302e-02,6.66655618e-02,5.74631540e-02,6.95337061e-02,6.75696433e-02,7.39618866e-02,8.02227502e-02
G,0.1312462372065021,1.06152560e-01,1.13610222e-01,1.11629097e-01,9.96113620e-02,9.84149096e-02,1.03586275e-01,1.29736301e-01
D,0.11499096929560505,1.18142794e-01,1.31266544e-01,1.06442997e-01,1.26714163e-01,1.28409742e-01,1.28158437e-01,1.26827769e-01
A,0.13245033112582782,1.45448628e-01,1.26402950e-01,1.26761593e-01,1.42466099e-01,1.45939695e-01,1.40069295e-01,1.04246485e-01
E,0.11739915713425647,1.28670290e-01,1.30753706e-01,1.50781191e-01,1.39970812e-01,1.41620596e-01,1.35235104e-01,1.13148696e-01
B,0.14208308248043347,1.24904873e-01,1.30418360e-01,1.44674688e-01,1.19864866e-01,1.16953957e-01,1.15341791e-01,1.28672439e-01
F#,0.0897049969897652,8.50733705e-02,9.69528068e-02,8.23698499e-02,8.89699127e-02,8.36399235e-02,8.69029850e-02,7.88927682e-02
C#,0.056592414208308246,6.47787571e-02,5.49276320e-02,5.78544710e-02,5.71921036e-02,5.34595185e-02,5.78406883e-02,3.70421159e-02
G#,0.04334738109572547,3.20669502e-02,3.32448886e-02,3.12555413e-02,3.22275430e-02,3.15259969e-02,3.40081467e-02,2.91718186e-02
D#,0.009030704394942806,1.89048037e-02,2.22230411e-02,1.66126547e-02,1.62190967e-02,1.74947413e-02,1.76637632e-02,2.72769393e-02
A#,0.006622516556291391,6.03286300e-03,1.32418633e-02,5.76924466e-03,7.42843923e-03,9.20238315e-03,8.10464981e-03,1.65280351e-02
E#,0.004214328717639976,2.74111518e-03,6.40882134e-03,4.28703146e-03,3.14678767e-03,4.60693950e-03,3.28500496e-03,8.47233732e-03
B#,0.0,4.26477533e-04,3.27416354e-03,8.71582761e-04,1.24917691e-03,2.20960206e-03,1.17622000e-03,6.60470457e-03
F##,0.0,1.64937240e-04,1.89798302e-03,7.05578053e-04,4.69546750e-04,1.02236562e-03,3.72041892e-04,4.51606803e-03
C##,0.0,1.23936731e-05,1.05001417e-03,1.71584242e-04,1.68503010e-04,4.58107820e-04,1.03955120e-04,2.32979063e-03
G##,0.0,2.45823568e-06,4.86573022e-04,9.43187877e-05,5.81118721e-05,1.99152798e-04,2.56596469e-05,9.86265479e-04
D##,0.0,6.86770152e-07,2.31134296e-04,2.27411968e-05,1.93621277e-05,8.41971024e-05,5.59507900e-06,4.07202393e-04
A##,0.0,2.76423218e-08,1.24131219e-04,1.12992470e-05,6.25965911e-06,3.47227401e-05,1.07773633e-06,3.87961544e-04
E##,0.0,6.41705559e-09,6.59083224e-05,2.89452766e-06,1.97063825e-06,1.39981677e-05,1.83387436e-07,1.40973792e-04
B##,0.0,1.37244354e-09,3.00688917e-05,7.16566318e-07,6.05916674e-07,5.52282471e-06,2.75662309e-08,4.29698806e-05
