pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,4.27742215e-12,8.92445061e-09,8.65679888e-10,1.48984096e-06,1.63888526e-14,3.00836692e-06
Cbb,0.0,1.35794038e-10,1.58438350e-07,3.58651586e-09,3.41245656e-06,3.87200802e-13,5.98602968e-06
Gbb,0.0,2.65262448e-10,4.41169876e-08,1.46389066e-08,8.04747249e-06,7.66888413e-12,6.54035182e-05
Dbb,0.0,1.65665851e-09,1.51259729e-06,5.87659025e-08,1.85347055e-05,1.27331640e-10,2.55570421e-05
Abb,0.0,2.58173579e-08,1.28944873e-05,2.31551772e-07,3.96680811e-05,1.77234685e-09,6.52024861e-05
Ebb,0.0,5.28568670e-08,7.12021117e-06,8.93369489e-07,8.79459230e-05,2.06808952e-08,2.39075227e-04
Bbb,0.0,3.88421831e-07,1.03106846e-04,3.36519779e-06,1.96636824e-04,2.02301069e-07,3.58389635e-04
Fb,0.001049317943336831,3.14859567e-06,1.00104701e-04,1.23321640e-05,3.90756810e-04,1.65895747e-06,7.68052831e-04
Cb,0.0,7.03118429e-06,4.77630030e-04,4.37718975e-05,7.89506067e-04,1.14046130e-05,1.84977549e-03
Gb,0.0,5.19071125e-05,5.50420219e-04,1.49641585e-04,1.71144447e-03,6.57255282e-05,2.79376367e-03
Db,0.0,2.33666050e-04,3.05408448e-03,4.89202602e-04,3.16270780e-03,3.17538103e-04,4.88459256e-03
Ab,0.0,6.11489590e-04,1.95497058e-03,1.51497056e-03,5.55515472e-03,1.28607364e-03,8.76642376e-03
Eb,0.001049317943336831,3.33029486e-03,1.10151308e-02,4.38819938e-03,1.14840244e-02,4.36660647e-03,1.71327689e-02
Bb,0.001049317943336831,9.21310903e-03,1.79768120e-02,1.16833595e-02,1.99599614e-02,1.24288373e-02,2.69850615e-02
F,0.017838405036726127,2.90428461e-02,2.89332873e-02,2.79112674e-02,2.86300244e-02,2.96568608e-02,4.04025467e-02
C,0.08919202518363065,5.69865622e-02,5.11938323e-02,5.79286570e-02,5.33303633e-02,5.93236802e-02,8.02227502e-02
G,0.1521511017838405,1.06476210e-01,1.01047671e-01,1.00588388e-01,8.84289093e-02,9.94807889e-02,1.29736301e-01
D,0.09548793284365163,1.40997072e-01,1.08239405e-01,1.42442634e-01,9.67967094e-02,1.39848749e-01,1.26827769e-01
A,0.13746065057712487,1.73161585e-01,1.45146893e-01,1.67478393e-01,1.36763435e-01,1.64810994e-01,1.04246485e-01
E,0.15739769150052466,1.57355013e-01,1.89687628e-01,1.64428908e-01,2.10903690e-01,1.62825343e-01,1.13148696e-01
B,0.17418677859391396,1.34521028e-01,1.75150965e-01,1.34221111e-01,1.68281143e-01,1.34854689e-01,1.28672439e-01
F#,0.09338929695697797,8.52854182e-02,8.76482770e-02,9.18881052e-02,8.70512038e-02,9.36307137e-02,7.88927682e-02
C#,0.035676810073452254,5.41131944e-02,3.35127348e-02,5.27845630e-02,4.08734129e-02,5.44977841e-02,3.70421159e-02
G#,0.01049317943336831,2.54900926e-02,2.00331747e-02,2.52913329e-02,2.33416656e-02,2.65917907e-02,2.91718186e-02
D#,0.023084994753410283,1.35748370e-02,1.42895937e-02,1.05418943e-02,1.26326334e-02,1.08773863e-02,2.72769393e-02
A#,0.01049317943336831,5.51428345e-03,6.32848064e-03,4.02601550e-03,5.55692772e-03,3.73000788e-03,1.65280351e-02
E#,0.0,2.52365903e-03,1.60221453e-03,1.45006785e-03,2.25661918e-03,1.07226758e-03,8.47233732e-03
B#,0.0,9.62701887e-04,1.14090515e-03,4.96620391e-04,1.00896563e-03,2.58407331e-04,6.60470457e-03
F##,0.0,3.40876296e-04,5.17727262e-04,1.62537771e-04,4.49907606e-04,5.22053144e-05,4.51606803e-03
C##,0.0,1.40102083e-04,1.41030846e-04,5.12472540e-05,1.77641394e-04,8.84164003e-06,2.32979063e-03
G##,0.0,4.22770876e-05,9.37670090e-05,1.56793091e-05,6.61413951e-05,1.25533366e-06,9.86265479e-04
D##,0.0,1.44496754e-05,2.21843609e-05,4.67437151e-06,2.60047506e-05,1.49414844e-07,4.07202393e-04
A##,0.0,4.94180484e-06,9.69330772e-06,1.36141439e-06,1.02650469e-05,1.49085891e-08,3.87961544e-04
E##,0.0,1.30697689e-06,5.81784906e-06,3.88409795e-07,3.74083869e-06,1.24706065e-09,1.40973792e-04
B##,0.0,4.27695919e-07,7.18819424e-07,1.08832722e-07,1.30568528e-06,8.74473867e-11,4.29698806e-05
