pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,5.62207851e-08,2.11948446e-04,2.73914420e-06,6.86227389e-05,4.08924683e-06,7.68603034e-04
Cbb,0.0,5.83604953e-07,1.32278103e-04,1.23298110e-05,1.83772396e-04,2.36142921e-05,1.85110059e-03
Gbb,0.0,3.50836860e-06,1.02257530e-03,5.31378785e-05,4.76571855e-04,1.16325644e-04,2.79576502e-03
Dbb,0.0,4.54288716e-05,1.93174065e-03,2.17344620e-04,1.19402147e-03,4.88815452e-04,4.88809169e-03
Abb,0.0,4.09386395e-04,3.46961208e-03,8.33741404e-04,2.87340949e-03,1.75219854e-03,8.77270368e-03
Ebb,0.0,2.44967458e-03,8.88414436e-03,2.94966658e-03,6.58515758e-03,5.35785098e-03,1.71450422e-02
Bbb,0.0030211480362537764,9.63124781e-03,1.98842720e-02,9.39195254e-03,1.42834427e-02,1.39754845e-02,2.70043925e-02
Fb,0.02416918429003021,2.78955871e-02,2.62581638e-02,2.59723077e-02,2.92004388e-02,3.10965382e-02,4.04314895e-02
Cb,0.09063444108761329,6.12392707e-02,5.50924208e-02,5.94184744e-02,5.54966011e-02,5.90236608e-02,8.02802186e-02
Gb,0.1283987915407855,1.06361444e-01,9.32493467e-02,1.06589974e-01,9.47820818e-02,9.55672672e-02,1.29829239e-01
Db,0.11178247734138973,1.47847911e-01,1.10260387e-01,1.47204466e-01,1.38658289e-01,1.31996106e-01,1.26918624e-01
Ab,0.13293051359516617,1.67961035e-01,1.40987890e-01,1.67432545e-01,1.66391999e-01,1.55518479e-01,1.04321163e-01
Eb,0.15256797583081572,1.57009635e-01,1.88406231e-01,1.56064282e-01,1.60656501e-01,1.56304617e-01,1.13229751e-01
Bb,0.1646525679758308,1.23457360e-01,1.63674153e-01,1.23861556e-01,1.27144062e-01,1.34007943e-01,1.28764615e-01
F,0.10725075528700906,8.35095036e-02,8.65242414e-02,8.46013299e-02,8.62207434e-02,9.80072502e-02,7.89492839e-02
C,0.019637462235649546,5.10127914e-02,3.74469292e-02,5.24269402e-02,5.27792536e-02,6.11441334e-02,3.70686514e-02
G,0.01661631419939577,2.93448118e-02,2.73008824e-02,2.99557722e-02,3.02746578e-02,3.25402070e-02,2.91927162e-02
D,0.03474320241691843,1.62064514e-02,1.98380569e-02,1.64419047e-02,1.64716071e-02,1.47725257e-02,2.72964794e-02
A,0.006042296072507553,8.40045819e-03,8.76122853e-03,8.72242638e-03,8.49868321e-03,5.72081794e-03,1.65398752e-02
E,0.0030211480362537764,4.00030776e-03,3.17420651e-03,4.25604476e-03,4.17726470e-03,1.88986345e-03,8.47840657e-03
B,0.0015105740181268882,1.81617126e-03,1.77890379e-03,1.96739687e-03,1.97613154e-03,5.32563812e-04,6.60943592e-03
F#,0.0030211480362537764,8.14592352e-04,1.04215052e-03,9.12055360e-04,9.06124983e-04,1.28021174e-04,4.51930316e-03
C#,0.0,3.55317509e-04,4.11609862e-04,4.13570493e-04,4.03130111e-04,2.62519089e-05,2.33145960e-03
G#,0.0,1.42052265e-04,1.28233793e-04,1.75655058e-04,1.74109070e-04,4.59207420e-06,9.86972000e-04
D#,0.0,5.27844598e-05,7.96558868e-05,7.22622016e-05,7.32609499e-05,6.85213377e-07,4.07494097e-04
A#,0.0,2.07577912e-05,3.02510428e-05,3.00726367e-05,3.01475234e-05,8.72191191e-08,3.88239464e-04
E#,0.0,8.00807489e-06,9.90004408e-06,1.23005252e-05,1.21470969e-05,9.47035997e-09,1.41074780e-04
B#,0.0,2.59685856e-06,5.91719014e-06,4.79322898e-06,4.79297626e-06,8.77182998e-10,4.30006625e-05
F##,0.0,8.25881713e-07,1.49313878e-06,1.83022477e-06,1.85493203e-06,6.93079177e-11,2.91299710e-05
C##,0.0,3.04282779e-07,6.78074582e-07,7.06286100e-07,7.05675539e-07,4.67137168e-12,2.72193361e-06
G##,0.0,1.01243096e-07,3.73014617e-07,2.69265613e-07,2.64113831e-07,2.68580776e-13,1.39787842e-05
D##,0.0,2.51218227e-08,5.73482591e-08,9.90919089e-08,9.72693896e-08,1.31726864e-14,5.57124251e-07
A##,0.0,7.07255105e-09,5.15348148e-08,3.59252857e-08,3.52838128e-08,5.51115603e-16,2.50104384e-07
E##,0.0,2.85564742e-09,1.30764787e-08,1.31242887e-08,1.26239525e-08,1.96688963e-17,1.04292299e-07
B##,0.0,6.67872714e-10,3.77870953e-09,4.75743005e-09,4.45614485e-09,5.98806077e-19,6.62002905e-08
