pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.93235112e-05,7.33798862e-06,3.16601125e-05,0.00105277,5.08542054e-04,2.55577730e-05
Cbb,0.0,8.92779038e-05,2.09745011e-04,8.40317415e-05,0.00163962,9.50548701e-04,6.52043509e-05
Gbb,0.0,2.91942859e-04,9.93361208e-04,2.15753438e-04,0.00251442,1.70508457e-03,2.39082064e-04
Dbb,0.0,5.94303429e-04,3.30908638e-04,5.31219054e-04,0.00399487,2.93522588e-03,3.58399885e-04
Abb,0.0,1.24744657e-03,2.84028448e-03,1.24847765e-03,0.00605586,4.84910048e-03,7.68074798e-04
Ebb,0.0106951871657754,3.28123426e-03,8.45619714e-03,2.79787303e-03,0.00843438,7.68784980e-03,1.84982839e-03
Bbb,0.0042780748663101605,6.98972198e-03,3.59236920e-03,5.97170542e-03,0.01226164,1.16969504e-02,2.79384358e-03
Fb,0.008556149732620321,1.18285313e-02,1.75970457e-02,1.19339448e-02,0.0184391,1.70790794e-02,4.88473226e-03
Cb,0.025668449197860963,2.11326856e-02,3.81289788e-02,2.18472951e-02,0.02403107,2.39320731e-02,8.76667449e-03
Gb,0.0213903743315508,3.98781924e-02,1.73337502e-02,3.56498913e-02,0.02945877,3.21825337e-02,1.71332590e-02
Db,0.08449197860962566,6.02948133e-02,5.23644968e-02,5.15639049e-02,0.04223713,4.15321293e-02,2.69858333e-02
Ab,0.13689839572192514,6.74855275e-02,9.35368746e-02,6.68842606e-02,0.05542114,5.14365953e-02,4.04037023e-02
Eb,0.03208556149732621,6.34718711e-02,4.13023736e-02,7.91086676e-02,0.05553729,6.11342068e-02,8.02250447e-02
Bb,0.051336898395721926,6.80869101e-02,7.14556919e-02,8.66670786e-02,0.06511522,6.97301182e-02,1.29740012e-01
F,0.07272727272727272,8.54258047e-02,1.22042290e-01,8.91026813e-02,0.09043918,7.63274182e-02,1.26831397e-01
C,0.057754010695187166,9.29423089e-02,5.89202005e-02,8.68725878e-02,0.08143819,8.01797680e-02,1.04249467e-01
G,0.040641711229946524,7.91076928e-02,4.51081290e-02,8.09919362e-02,0.06279015,8.08300914e-02,1.13151932e-01
D,0.06417112299465241,6.23882034e-02,9.31902312e-02,7.26849684e-02,0.08873102,7.81997556e-02,1.28676119e-01
A,0.06951871657754011,6.02161137e-02,6.67399860e-02,6.31250386e-02,0.07785838,7.26042048e-02,7.88950246e-02
E,0.0427807486631016,6.26597734e-02,4.20737428e-02,5.32828415e-02,0.04312982,6.46907524e-02,3.70431754e-02
B,0.10160427807486631,5.34522473e-02,6.22253481e-02,4.38670645e-02,0.05822983,5.53154798e-02,2.91726530e-02
F#,0.03636363636363636,3.71257940e-02,3.65051044e-02,3.53287446e-02,0.05119153,4.53915712e-02,2.72777194e-02
C#,0.04171122994652406,2.75001192e-02,2.21101970e-02,2.79010761e-02,0.02307249,3.57460287e-02,1.65285078e-02
G#,0.044919786096256686,2.54391064e-02,2.90188732e-02,2.16528649e-02,0.02818076,2.70149666e-02,8.47257964e-03
D#,0.02459893048128342,2.20931618e-02,2.49809166e-02,1.65415479e-02,0.02498823,1.95931888e-02,6.60489347e-03
A#,0.012834224598930482,1.49826715e-02,1.07170988e-02,1.24583093e-02,0.01008524,1.36373461e-02,4.51619719e-03
E#,0.0,9.11200703e-03,1.39267946e-02,9.26255245e-03,0.01075846,9.10916674e-03,2.32985726e-03
B#,0.012834224598930482,6.91626865e-03,7.73665599e-03,6.80586427e-03,0.00959872,5.83917503e-03,9.86293687e-04
F##,0.0,5.92903765e-03,4.82092676e-03,4.94706470e-03,0.00369875,3.59209974e-03,4.07214039e-04
C##,0.0021390374331550803,4.13348813e-03,3.96259157e-03,3.56042923e-03,0.00339498,2.12065164e-03,3.87972640e-04
G##,0.0,2.26758452e-03,3.90848797e-03,2.53911516e-03,0.00302586,1.20147387e-03,1.40977824e-04
D##,0.0,1.34950961e-03,1.18767265e-03,1.79549866e-03,0.00115822,6.53255956e-04,4.29711096e-05
A##,0.0,1.06591144e-03,1.54504648e-03,1.25972466e-03,0.0009157,3.40860344e-04,2.91099509e-05
E##,0.0,7.74607942e-04,6.75751175e-04,8.77387451e-04,0.00080724,1.70684321e-04,2.72006291e-06
B##,0.0,4.16806271e-04,4.54539810e-04,6.06938870e-04,0.00031397,8.20228457e-05,1.39691771e-05
