pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,9.99793995e-51,7.61542111e-09,1.34024154e-06,1.55466123e-06,7.74168408e-06,1.43040500e-11,5.98587345e-06
Cbb,0.0,9.99793995e-51,2.80906877e-08,4.71717858e-07,3.45543778e-06,1.81381215e-05,1.71206488e-10,6.54018112e-05
Gbb,0.0,4.99013332e-06,1.30156399e-07,4.83131155e-05,7.63477406e-06,4.60620591e-05,1.77927278e-09,2.55563750e-05
Dbb,0.0,1.23769244e-05,4.95440666e-07,3.06307480e-05,1.67580425e-05,8.45207645e-05,1.60555787e-08,6.52007843e-05
Abb,0.0,1.15118360e-05,1.46352161e-06,3.34266594e-05,3.65123689e-05,1.18082621e-04,1.25797064e-07,2.39068987e-04
Ebb,0.0,3.57573208e-05,4.92391791e-06,2.68042488e-04,7.88925598e-05,2.63927057e-04,8.55807644e-07,3.58380281e-04
Bbb,0.0,3.03480105e-04,2.14767394e-05,2.58459624e-04,1.68856265e-04,6.55959615e-04,5.05525342e-06,7.68032785e-04
Fb,0.0,5.90288529e-04,7.63985026e-05,1.09060582e-03,3.57503879e-04,1.13941178e-03,2.59281073e-05,1.84972721e-03
Cb,0.0,5.45771936e-04,1.97284963e-04,9.49248762e-04,7.47449031e-04,1.38459852e-03,1.15467513e-04,2.79369076e-03
Gb,0.0,1.40358250e-03,5.62375453e-04,1.13411597e-03,1.53986698e-03,2.89187216e-03,4.46488138e-04,4.88446507e-03
Db,0.006968641114982578,6.48565322e-03,2.12921424e-03,7.34932621e-03,3.11735722e-03,7.00718823e-03,1.49906737e-03,8.76619496e-03
Ab,0.0011614401858304297,1.03792673e-02,6.50416312e-03,1.27263263e-02,6.17905291e-03,1.14324215e-02,4.37012129e-03,1.71323218e-02
Eb,0.005807200929152149,8.99689290e-03,1.27985505e-02,6.70678799e-03,1.19338137e-02,1.14437346e-02,1.10618291e-02,2.69843572e-02
Bb,0.012775842044134728,1.83025354e-02,2.52050029e-02,1.91162163e-02,2.23065980e-02,2.13535931e-02,2.43120462e-02,4.04014922e-02
F,0.06968641114982578,5.88521073e-02,6.46250619e-02,5.82970280e-02,3.99643810e-02,5.00399506e-02,4.63956426e-02,8.02206564e-02
C,0.11614401858304298,7.92133402e-02,1.31575378e-01,8.59142082e-02,6.76229358e-02,7.59065035e-02,7.68765684e-02,1.29732915e-01
G,0.04413472706155633,5.91108893e-02,1.43754672e-01,5.12016991e-02,1.05459052e-01,5.64727279e-02,1.10604271e-01,1.26824459e-01
D,0.11265969802555169,8.22552734e-02,1.26790495e-01,8.13135069e-02,1.45072785e-01,8.23154266e-02,1.38169098e-01,1.04243764e-01
A,0.16492450638792103,1.96954742e-01,1.37724307e-01,1.95079840e-01,1.63641452e-01,1.81555023e-01,1.49868741e-01,1.13145743e-01
E,0.20092915214866433,2.22673275e-01,1.46391189e-01,2.34479121e-01,1.48472084e-01,2.52184980e-01,1.41147214e-01,1.28669081e-01
B,0.13704994192799072,1.20267225e-01,9.78352880e-02,1.13161456e-01,1.15736882e-01,1.08676183e-01,1.15423616e-01,7.88907091e-02
F#,0.022067363530778164,4.09145810e-02,4.36225988e-02,3.39301882e-02,7.50541774e-02,3.89685501e-02,8.19555093e-02,3.70411491e-02
C#,0.026713124274099883,3.82865598e-02,2.47375192e-02,3.10367196e-02,4.30082464e-02,3.45348891e-02,5.05269108e-02,2.91710573e-02
G#,0.05574912891986063,3.41570687e-02,1.72351854e-02,4.02295051e-02,2.37162495e-02,3.54316973e-02,2.70475824e-02,2.72762273e-02
D#,0.023228803716608595,1.29789266e-02,9.90771390e-03,1.61492902e-02,1.28013630e-02,1.43438687e-02,1.25717366e-02,1.65276037e-02
A#,0.0,2.31294898e-03,4.01243831e-03,3.43847845e-03,6.61212144e-03,4.57819383e-03,5.07368158e-03,8.47211619e-03
E#,0.0,2.57264266e-03,1.94978825e-03,2.01220850e-03,3.28983614e-03,3.02020131e-03,1.77792017e-03,6.60453219e-03
B#,0.0,1.86509296e-03,1.18477106e-03,2.69976468e-03,1.60505191e-03,2.51064792e-03,5.40956594e-04,4.51595016e-03
F##,0.0,3.74286364e-04,6.50955339e-04,9.84307398e-04,7.72724585e-04,9.68910539e-04,1.42913645e-04,2.32972982e-03
C##,0.0,1.16267488e-05,2.60494559e-04,1.36160023e-04,3.66110553e-04,2.96160598e-04,3.27828031e-05,9.86239737e-04
G##,0.0,8.98682083e-05,1.18058164e-04,7.38441555e-05,1.70796582e-04,1.66744616e-04,6.52949493e-06,4.07191765e-04
D##,0.0,3.61244245e-05,6.64546133e-05,1.18686776e-04,7.87716330e-05,1.18441371e-04,1.12920868e-06,3.87951418e-04
A##,0.0,8.10335747e-12,3.55600548e-05,1.59370449e-05,3.60099627e-05,4.38799776e-05,1.69562550e-07,1.40970112e-04
E##,0.0,5.31559247e-09,1.43114958e-05,1.18261846e-05,1.63232757e-05,1.31113352e-05,2.21078640e-08,4.29687591e-05
B##,0.0,1.30758408e-06,6.24530883e-06,2.91184725e-06,7.33957307e-06,6.65654417e-06,2.50279192e-09,2.91083586e-05
