pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,3.80898950e-09,2.58603027e-07,2.32453271e-10,1.11397836e-06,2.94657747e-09,2.39103573e-04
Cbb,0.0,2.49487163e-07,8.40252529e-07,1.99982135e-09,3.60912601e-06,4.36784779e-08,3.58432128e-04
Gbb,0.0,2.70775837e-07,4.11178139e-06,1.68468296e-08,1.33791272e-05,5.20068307e-07,7.68143897e-04
Dbb,0.0,1.56291904e-06,6.12955305e-06,1.38492940e-07,4.74215693e-05,4.97389421e-06,1.84999481e-03
Abb,0.0,3.10582824e-05,6.50992148e-05,1.10560754e-06,1.37521843e-04,3.82099052e-05,2.79409492e-03
Ebb,0.0,3.85532969e-05,2.33710372e-04,8.50964964e-06,3.82231522e-04,2.35775480e-04,4.88517171e-03
Bbb,0.0,2.89235969e-04,5.59341187e-04,6.25839896e-05,1.32671826e-03,1.16859649e-03,8.76746317e-03
Fb,0.0039164490861618795,2.25669008e-03,1.33419881e-03,4.35676887e-04,4.30999918e-03,4.65236497e-03,1.71348003e-02
Cb,0.0,3.41756428e-03,2.41676433e-03,2.82726054e-03,1.01654884e-02,1.48773726e-02,2.69882610e-02
Gb,0.01174934725848564,2.10423685e-02,1.23424386e-02,1.63830237e-02,2.07219855e-02,3.82139528e-02,4.04073371e-02
Db,0.09660574412532637,8.95221144e-02,7.01037969e-02,7.61529121e-02,6.51915559e-02,7.88426017e-02,8.02322620e-02
Ab,0.1671018276762402,2.03278329e-01,2.11747334e-01,2.27859124e-01,1.87591519e-01,1.30660162e-01,1.29751684e-01
Eb,0.2793733681462141,2.29696429e-01,2.70397292e-01,2.47696368e-01,2.96024029e-01,1.73927678e-01,1.26842807e-01
Bb,0.10835509138381201,1.26612152e-01,1.05574904e-01,9.17671463e-02,1.00923235e-01,1.85967678e-01,1.04258845e-01
F,0.0835509138381201,7.90514475e-02,8.97081859e-02,9.53178733e-02,8.29190532e-02,1.59716395e-01,1.13162112e-01
C,0.1566579634464752,1.19438518e-01,1.31400754e-01,1.15417519e-01,1.18244011e-01,1.10180513e-01,1.28687696e-01
G,0.04699738903394256,6.83431976e-02,4.63290137e-02,6.84661757e-02,4.54585731e-02,6.10524847e-02,7.89021223e-02
D,0.010443864229765013,1.07052495e-02,1.76307766e-02,2.42453784e-02,2.12019283e-02,2.71734736e-02,3.70465079e-02
A,0.016971279373368148,2.30515434e-02,2.41205832e-02,1.44395235e-02,2.42100913e-02,9.71471878e-03,2.91752775e-02
E,0.015665796344647518,1.79667900e-02,9.78291168e-03,1.38179542e-02,1.07227255e-02,2.78970686e-03,2.72801734e-02
B,0.0,5.68478395e-04,2.06813744e-03,2.69000879e-03,4.01733127e-03,6.43472763e-04,1.65299948e-02
F#,0.0026109660574412533,2.03240201e-03,2.53433128e-03,1.03562719e-03,3.41681240e-03,1.19218877e-04,8.47334186e-03
C#,0.0,2.25823067e-03,9.48867069e-04,1.07111872e-03,1.66842830e-03,1.77420235e-05,6.60548767e-03
G#,0.0,1.54777305e-04,3.56256399e-04,1.82234118e-04,5.93693273e-04,2.12082352e-06,4.51660348e-03
D#,0.0,7.06649119e-05,1.72114716e-04,5.46193862e-05,3.79252331e-04,2.03633477e-07,2.33006687e-03
A#,0.0,1.49458548e-04,9.72822167e-05,5.39064053e-05,1.93052579e-04,1.57049689e-08,9.86382417e-04
E#,0.0,8.62785851e-07,3.24741698e-05,9.13759520e-06,6.98810740e-05,9.72900100e-10,4.07250674e-04
B#,0.0,1.67160361e-05,2.00204486e-05,2.36618712e-06,3.55786095e-05,4.84108464e-11,3.88007543e-04
F##,0.0,4.19970336e-06,9.32241997e-06,2.13256530e-06,1.78933470e-05,1.93490820e-12,1.40990507e-04
C##,0.0,5.88945395e-08,2.10335849e-06,3.75812966e-07,6.71174301e-06,6.21185510e-14,4.29749754e-05
G##,0.0,2.64795783e-10,4.90771604e-07,8.93164053e-08,2.92749225e-06,1.60186358e-15,2.91125698e-05
D##,0.0,8.16812452e-07,1.31465972e-07,7.24510598e-08,1.39788408e-06,3.31797418e-17,2.72030762e-06
A##,0.0,5.91919227e-09,2.06165413e-08,1.34521666e-08,5.40230471e-07,5.52031344e-19,1.39704338e-05
E##,0.0,1.78727557e-11,3.33363237e-09,3.04355999e-09,2.14662392e-07,7.37730491e-21,5.56791445e-07
B##,0.0,2.87818927e-14,6.66974597e-10,2.21764937e-09,9.54187091e-08,7.91908476e-23,2.49954980e-07
