pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,8.13638766e-13,1.38751491e-09,7.37238792e-09,1.52990918e-08,2.69816516e-06,1.23980670e-11,5.88654250e-07
Cbb,0.0,7.23325535e-12,5.46637849e-09,3.50106877e-08,4.76541141e-08,5.74825795e-06,1.10311062e-10,1.36783990e-06
Gbb,0.0,6.64846865e-11,1.95579706e-08,3.31500423e-07,1.45954029e-07,1.13296475e-05,8.80403526e-10,3.00891450e-06
Dbb,0.0,4.77783818e-10,6.36742920e-08,1.75237816e-06,4.38931053e-07,2.25758792e-05,6.30292441e-09,5.98711926e-06
Abb,0.0,3.57784071e-09,2.19721252e-07,4.59741263e-06,1.29402437e-06,4.76333216e-05,4.04762289e-08,6.54154230e-05
Ebb,0.0,2.75759738e-08,8.15893235e-07,1.04387460e-05,3.73300522e-06,9.18081224e-05,2.33160838e-07,2.55616940e-05
Bbb,0.0,1.78339449e-07,2.72712897e-06,4.10540686e-05,1.05155691e-05,1.64941207e-04,1.20478289e-06,6.52143543e-05
Fb,0.0,1.08208959e-06,8.05396696e-06,1.23573016e-04,2.88545218e-05,3.33217647e-04,5.58418238e-06,2.39118743e-04
Cb,0.0,6.45156756e-06,2.48876135e-05,2.24921529e-04,7.69099814e-05,6.53470171e-04,2.32171023e-05,3.58454869e-04
Gb,0.0,3.48311222e-05,8.34560927e-05,4.56335241e-04,1.98479604e-04,1.06136669e-03,8.65872721e-05,7.68192633e-04
Db,0.0,1.58908743e-04,2.49018135e-04,1.37197338e-03,4.94015565e-04,1.89106325e-03,2.89666131e-04,1.85011218e-03
Ab,0.0,6.02005675e-04,6.26574864e-04,2.85173914e-03,1.18053362e-03,3.85182879e-03,8.69238590e-04,2.79427220e-03
Eb,0.002225519287833828,1.90804801e-03,1.59576722e-03,3.98202439e-03,2.69386159e-03,6.01038316e-03,2.33979548e-03,4.88548166e-03
Bb,0.0,5.13110024e-03,4.40193446e-03,7.79988465e-03,5.83202835e-03,8.49706057e-03,5.64955729e-03,8.76801943e-03
F,0.021513353115727003,1.18698546e-02,1.06173723e-02,1.84591545e-02,1.18863768e-02,1.71835042e-02,1.22362560e-02,1.71358875e-02
C,0.02225519287833828,2.38988891e-02,2.00357748e-02,2.67310434e-02,2.25978021e-02,2.83178571e-02,2.37727987e-02,2.69899733e-02
G,0.026706231454005934,4.22775157e-02,3.56032647e-02,3.00802893e-02,3.96452981e-02,3.05710572e-02,4.14294998e-02,4.04099008e-02
D,0.07789317507418397,6.62018715e-02,6.69018789e-02,5.75409756e-02,6.34092046e-02,5.14412082e-02,6.47644507e-02,8.02373524e-02
A,0.12314540059347182,9.22900346e-02,1.08658797e-01,1.01015544e-01,9.12927450e-02,9.57589398e-02,9.08157768e-02,1.29759916e-01
E,0.10534124629080119,1.15039318e-01,1.26993907e-01,9.60298230e-02,1.16980455e-01,8.82820410e-02,1.14230884e-01,1.26850854e-01
B,0.0830860534124629,1.28622148e-01,1.25185054e-01,8.78849442e-02,1.32476840e-01,8.91487459e-02,1.28885302e-01,1.04265460e-01
F#,0.1298219584569733,1.29271306e-01,1.28180305e-01,1.53334808e-01,1.32577745e-01,1.74177801e-01,1.30443026e-01,1.13169292e-01
C#,0.17210682492581603,1.16944130e-01,1.25875602e-01,1.77026243e-01,1.17894259e-01,1.59144768e-01,1.18422973e-01,1.28695860e-01
G#,0.06973293768545995,9.52826076e-02,9.62360844e-02,8.49044432e-02,9.37936860e-02,9.00793109e-02,9.64381058e-02,7.89071283e-02
D#,0.06008902077151335,6.99262128e-02,5.81095940e-02,4.27445444e-02,6.73289596e-02,5.25808982e-02,7.04464323e-02,3.70488584e-02
A#,0.039317507418397624,4.62105929e-02,3.61491191e-02,4.69393558e-02,4.40064773e-02,4.24117636e-02,4.61601227e-02,2.91771285e-02
E#,0.04376854599406528,2.74905295e-02,2.41175212e-02,3.34362125e-02,2.64221762e-02,2.79413844e-02,2.71314200e-02,2.72819042e-02
B#,0.014094955489614243,1.47234420e-02,1.45761611e-02,1.21497014e-02,1.47098432e-02,1.40623676e-02,1.43045999e-02,1.65310436e-02
F##,0.00370919881305638,7.10788762e-03,7.39931627e-03,6.16576596e-03,7.65785883e-03,7.25698797e-03,6.76513589e-03,8.47387946e-03
C##,0.00370919881305638,3.10293582e-03,3.86352798e-03,4.84910494e-03,3.75677209e-03,4.44466930e-03,2.86995411e-03,6.60590676e-03
G##,0.0,1.23253086e-03,2.22713719e-03,2.38283552e-03,1.74843692e-03,2.44522740e-03,1.09212161e-03,4.51689004e-03
D##,0.001483679525222552,4.49755959e-04,1.23782401e-03,7.64366183e-04,7.76002493e-04,1.13814855e-03,3.72790356e-04,2.33021470e-03
A##,0.0,1.52549880e-04,5.95605483e-04,3.91630517e-04,3.29961569e-04,5.42638150e-04,1.14144754e-04,9.86445000e-04
E##,0.0,4.86090645e-05,2.88589368e-04,2.19419505e-04,1.34954088e-04,2.85749116e-04,3.13505281e-05,4.07276512e-04
B##,0.0,1.46407771e-05,1.54019571e-04,8.11275891e-05,5.32732756e-05,1.39808341e-04,7.72380653e-06,3.88032161e-04
