pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.12096799e-16,2.77001056e-08,1.58168300e-10,1.52368749e-08,5.21390781e-13,1.36764787e-06
Cbb,0.0,6.92780235e-16,3.84594888e-08,7.13928149e-10,5.04441934e-08,7.42149285e-12,3.00849208e-06
Gbb,0.0,1.63645746e-13,6.20702318e-07,3.17135248e-09,1.64565766e-07,9.17604177e-11,5.98627873e-06
Dbb,0.0,7.78548889e-13,3.50690671e-06,1.38403455e-08,5.17652530e-07,9.85497831e-10,6.54062392e-05
Abb,0.0,2.68903371e-12,4.44106922e-06,5.92229815e-08,1.57278207e-06,9.19373850e-09,2.55581054e-05
Ebb,0.0,4.45827623e-10,3.75728238e-05,2.47880194e-07,4.74721922e-06,7.45014634e-08,6.52051988e-05
Bbb,0.0,1.72960090e-09,3.35376966e-05,1.01196290e-06,1.39594648e-05,5.24413234e-07,2.39085173e-04
Fb,0.0,6.89827070e-09,1.91443622e-04,4.01567353e-06,3.96975225e-05,3.20640713e-06,3.58404545e-04
Cb,0.0,6.97635194e-07,2.12346950e-04,1.54233355e-05,1.09211892e-04,1.70294205e-05,7.68084785e-04
Gb,0.0,2.09797764e-06,9.82477010e-04,5.70320990e-05,2.90349805e-04,7.85628551e-05,1.84985244e-03
Db,0.0,1.08080570e-05,8.06060128e-04,2.01674125e-04,7.43533841e-04,3.14826172e-04,2.79387991e-03
Ab,0.0,4.86572606e-04,4.22043861e-03,6.76024883e-04,1.82558639e-03,1.09587389e-03,4.88479578e-03
Eb,0.0006711409395973154,1.05240076e-03,5.83365361e-03,2.12314321e-03,4.27388217e-03,3.31349651e-03,8.76678848e-03
Bb,0.006711409395973154,7.92943482e-03,1.16032508e-02,6.14815730e-03,9.47546598e-03,8.70259226e-03,1.71334817e-02
F,0.00738255033557047,1.56238748e-02,2.49127680e-02,1.60548476e-02,1.97060422e-02,1.98539506e-02,2.69861842e-02
C,0.03959731543624161,4.57824264e-02,4.10557148e-02,3.66860344e-02,3.79065443e-02,3.93442637e-02,4.04042277e-02
G,0.08322147651006712,6.62707271e-02,5.50330188e-02,7.07180946e-02,6.61539785e-02,6.77254796e-02,8.02260878e-02
D,0.15503355704697985,1.18234320e-01,9.93068933e-02,1.11366165e-01,1.02333044e-01,1.01264900e-01,1.29741699e-01
A,0.11677852348993288,1.26356939e-01,1.25903832e-01,1.43307203e-01,1.36951758e-01,1.31523080e-01,1.26833046e-01
E,0.11073825503355705,1.60157853e-01,1.30548451e-01,1.56079087e-01,1.55272780e-01,1.48381988e-01,1.04250822e-01
B,0.11610738255033556,1.28573858e-01,1.55755975e-01,1.43302554e-01,1.47413284e-01,1.45410774e-01,1.13153404e-01
F#,0.17181208053691274,1.25756147e-01,1.53256638e-01,1.15091670e-01,1.17932928e-01,1.23779341e-01,1.28677793e-01
C#,0.08456375838926175,7.67663065e-02,9.19753939e-02,8.09150326e-02,8.19471759e-02,9.15241974e-02,7.88960505e-02
G#,0.04899328859060403,6.19880577e-02,3.76816251e-02,5.18509040e-02,5.16616032e-02,5.87841003e-02,3.70436570e-02
D#,0.009395973154362415,2.90586248e-02,2.31896964e-02,3.06131680e-02,3.05910106e-02,3.27959341e-02,2.91730323e-02
A#,0.028859060402684565,2.07203822e-02,2.00078754e-02,1.70664761e-02,1.72103885e-02,1.58933818e-02,2.72780741e-02
E#,0.0174496644295302,7.52428145e-03,1.05855177e-02,9.09366158e-03,9.19053179e-03,6.69034958e-03,1.65287228e-02
B#,0.0026845637583892616,5.00304995e-03,3.41999561e-03,4.58282305e-03,4.67823218e-03,2.44634379e-03,8.47268980e-03
F##,0.0,1.42296538e-03,1.48041051e-03,2.20184994e-03,2.29398953e-03,7.77002379e-04,6.60497935e-03
C##,0.0,9.04817187e-04,1.17398866e-03,1.02980791e-03,1.09100960e-03,2.14369696e-04,4.51625591e-03
G##,0.0,2.08450118e-04,5.17940222e-04,4.68630511e-04,5.03419944e-04,5.13736730e-05,2.32988756e-03
D##,0.0,1.24765700e-04,1.56025166e-04,2.05562317e-04,2.25479395e-04,1.06943409e-05,9.86306512e-04
A##,0.0,2.45649242e-05,5.63304552e-05,8.76772964e-05,9.84301016e-05,1.93376465e-06,4.07219334e-04
E##,0.0,1.32189208e-05,3.77410774e-05,3.67982222e-05,4.20382317e-05,3.03731189e-07,3.87977684e-04
B##,0.0,2.34896552e-06,1.47526175e-05,1.51456807e-05,1.75772836e-05,4.14391985e-08,1.40979657e-04
