pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.07551346e-10,1.42885346e-06,2.72220521e-07,3.79419620e-06,4.62175331e-09,6.54020248e-05
Cbb,0.0,6.05891742e-10,4.04775730e-06,9.31046899e-07,9.03266684e-06,3.91003552e-08,2.55564585e-05
Gbb,0.0,2.14244717e-08,1.09525136e-05,3.11689709e-06,2.37195905e-05,2.87384772e-07,6.52009973e-05
Dbb,0.0,7.79640840e-08,3.42777526e-05,1.01854029e-05,6.16939618e-05,1.83508384e-06,2.39069767e-04
Abb,0.0,5.74845664e-07,9.54693493e-05,3.23814431e-05,1.35919646e-04,1.01802203e-05,3.58381451e-04
Ebb,0.0,1.10443681e-05,2.12157449e-04,9.97502879e-05,2.93402023e-04,4.90645197e-05,7.68035293e-04
Bbb,0.0,2.62814932e-05,5.40721540e-04,2.96244409e-04,7.50921187e-04,2.05440960e-04,1.84973325e-03
Fb,0.0,2.86717553e-04,1.55177092e-03,8.42873394e-04,1.78618426e-03,7.47335525e-04,2.79369988e-03
Cb,0.0,1.18062593e-03,3.20994742e-03,2.27902714e-03,3.24427793e-03,2.36185552e-03,4.88448103e-03
Gb,0.0,4.88409223e-03,5.64646857e-03,5.79517728e-03,6.20652961e-03,6.48485301e-03,8.76622359e-03
Db,0.029069767441860465,1.35333740e-02,1.46641373e-02,1.36688259e-02,1.56934739e-02,1.54687797e-02,1.71323777e-02
Ab,0.031007751937984496,3.22512402e-02,3.34186865e-02,2.93653243e-02,3.18322993e-02,3.20568673e-02,2.69844453e-02
Eb,0.050387596899224806,6.00466559e-02,4.31668450e-02,5.61250195e-02,4.01016953e-02,5.77158655e-02,4.04016242e-02
Bb,0.07751937984496124,9.64606712e-02,6.42137403e-02,9.28093928e-02,6.58333698e-02,9.02772779e-02,8.02209184e-02
F,0.12790697674418605,1.28091100e-01,1.64791266e-01,1.29480765e-01,1.65984208e-01,1.22679164e-01,1.29733339e-01
C,0.23837209302325582,1.48775249e-01,2.22846787e-01,1.51566244e-01,2.40148783e-01,1.44834580e-01,1.26824873e-01
G,0.06782945736434108,1.46592562e-01,8.61738545e-02,1.51616511e-01,7.78478727e-02,1.48553481e-01,1.04244105e-01
D,0.08914728682170543,1.28046615e-01,9.67641952e-02,1.29582294e-01,8.99975579e-02,1.32373944e-01,1.13146113e-01
A,0.15891472868217055,9.63053026e-02,1.37425257e-01,9.66664848e-02,1.27324803e-01,1.02478154e-01,1.28669501e-01
E,0.0562015503875969,6.53350110e-02,3.93961113e-02,6.32530345e-02,4.09263641e-02,6.89237957e-02,7.88909668e-02
B,0.03875968992248062,3.86590143e-02,2.53889113e-02,3.73138150e-02,2.69045902e-02,4.02732046e-02,3.70412701e-02
F#,0.02131782945736434,2.12084798e-02,3.88269500e-02,2.01261223e-02,3.49365994e-02,2.04443025e-02,2.91711525e-02
C#,0.0,1.02785410e-02,9.13767717e-03,1.01866915e-02,1.24417281e-02,9.01649022e-03,2.72763164e-02
G#,0.007751937984496124,4.78772581e-03,3.72699432e-03,4.91880700e-03,5.80010629e-03,3.45471195e-03,1.65276577e-02
D#,0.005813953488372093,1.97643643e-03,6.34854423e-03,2.26048154e-03,6.49657527e-03,1.14999321e-03,8.47214386e-03
A#,0.0,8.10635817e-04,1.24230561e-03,9.91783917e-04,2.57042884e-03,3.32573638e-04,6.60455376e-03
E#,0.0,2.92515734e-04,3.31032630e-04,4.20961714e-04,9.94939332e-04,8.35582764e-05,4.51596491e-03
B#,0.0,1.07831667e-04,6.53790976e-04,1.73907774e-04,9.22027327e-04,1.82389668e-05,2.32973743e-03
F##,0.0,3.49811370e-05,1.05412915e-04,6.97878774e-05,3.97349983e-04,3.45875741e-06,9.86242958e-04
C##,0.0,1.16624013e-05,1.79154117e-05,2.72652170e-05,1.41307836e-04,5.69834946e-07,4.07193095e-04
G##,0.0,3.50088292e-06,4.39613341e-05,1.04359803e-05,1.06982975e-04,8.15618682e-08,3.87952685e-04
D##,0.0,1.05311366e-06,5.55508430e-06,3.92321934e-06,4.88999593e-05,1.01422511e-08,1.40970573e-04
A##,0.0,3.00235668e-07,7.20701871e-07,1.44767921e-06,1.69489506e-05,1.09569748e-09,4.29688994e-05
E##,0.0,8.19171797e-08,1.89130365e-06,5.25130449e-07,1.06121031e-05,1.02838580e-10,2.91084537e-05
B##,0.0,2.21666021e-08,2.15063046e-07,1.87825090e-07,5.00146893e-06,8.38553144e-12,2.71992301e-06
