pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.95415386e-06,5.83345257e-07,2.15751635e-06,1.15228987e-05,1.14989639e-05,3.60815563e-08,5.88654250e-07
Cbb,0.0,4.26683474e-06,1.67746390e-06,7.67154494e-06,2.24704907e-05,2.34462693e-05,1.65807311e-07,1.36783990e-06
Gbb,0.0,1.29671020e-05,4.75902056e-06,1.42195045e-05,4.34177783e-05,5.42449721e-05,7.02010146e-07,3.00891450e-06
Dbb,0.0,2.69494658e-05,1.32864000e-05,5.02118601e-05,8.30544290e-05,1.01982636e-04,2.73844739e-06,5.98711926e-06
Abb,0.0,7.42302330e-05,3.54634407e-05,6.93222986e-05,1.57138398e-04,1.54857233e-04,9.84207605e-06,6.54154230e-05
Ebb,0.0,1.47217523e-04,9.00175100e-05,1.73497631e-04,2.93730053e-04,3.01090092e-04,3.25904480e-05,2.55616940e-05
Bbb,0.0,3.64712384e-04,2.22525694e-04,4.55324016e-04,5.41761915e-04,6.78058850e-04,9.94294975e-05,6.52143543e-05
Fb,0.00033025099075297226,6.86828028e-04,5.36683391e-04,9.89452249e-04,9.84507808e-04,1.19408363e-03,2.79486901e-04,2.39118743e-04
Cb,0.001321003963011889,1.52613897e-03,1.22192762e-03,1.05492145e-03,1.75964661e-03,1.60447047e-03,7.23817323e-04,3.58454869e-04
Gb,0.001321003963011889,2.70408619e-03,2.58991790e-03,2.50481065e-03,3.08698210e-03,2.92877267e-03,1.72710121e-03,7.68192633e-04
Db,0.01023778071334214,5.38240062e-03,5.23469202e-03,6.64308702e-03,5.30247817e-03,6.37955025e-03,3.79688901e-03,1.85011218e-03
Ab,0.007926023778071334,8.87175007e-03,1.01751076e-02,1.05197654e-02,8.89148689e-03,1.03707398e-02,7.69058393e-03,2.79427220e-03
Eb,0.010898282694848084,1.57843020e-02,1.83688968e-02,9.37741814e-03,1.45028889e-02,1.17501550e-02,1.43519870e-02,4.88548166e-03
Bb,0.022457067371202115,2.38914311e-02,3.00247705e-02,2.00869321e-02,2.29082645e-02,1.95063924e-02,2.46766412e-02,8.76801943e-03
F,0.05746367239101717,3.78130741e-02,4.54160199e-02,4.69821262e-02,3.48494441e-02,4.05626268e-02,3.90914123e-02,1.71358875e-02
C,0.05085865257595773,5.17794415e-02,6.48998598e-02,6.07509705e-02,5.07068505e-02,5.95194690e-02,5.70555604e-02,2.69899733e-02
G,0.04920739762219287,7.22694219e-02,8.54267891e-02,4.60658584e-02,6.99509273e-02,5.18902962e-02,7.67248222e-02,4.04099008e-02
D,0.06968295904887714,8.79151586e-02,1.00432580e-01,7.29843578e-02,9.04825760e-02,7.19118260e-02,9.50594080e-02,8.02373524e-02
A,0.1261558784676354,1.06711374e-01,1.07332049e-01,1.42513893e-01,1.08341649e-01,1.37152106e-01,1.08511463e-01,1.29759916e-01
E,0.15521796565389695,1.12676515e-01,1.08271744e-01,1.59435273e-01,1.18659794e-01,1.73743040e-01,1.14124118e-01,1.26850854e-01
B,0.09114927344782034,1.16532338e-01,1.02885819e-01,9.65689686e-02,1.17970410e-01,9.44095718e-02,1.10586102e-01,1.04265460e-01
F#,0.06340819022457067,1.03633747e-01,8.92010578e-02,7.01103325e-02,1.05916734e-01,7.05578135e-02,9.87290520e-02,1.13169292e-01
C#,0.11261558784676354,8.89484352e-02,7.03801077e-02,8.45910847e-02,8.57613295e-02,8.31389034e-02,8.12102191e-02,1.28695860e-01
G#,0.08421400264200793,6.43657197e-02,5.25206621e-02,7.11308950e-02,6.27286445e-02,6.18726005e-02,6.15456975e-02,7.89071283e-02
D#,0.040620871862615586,4.48122691e-02,3.78383943e-02,3.41794548e-02,4.16744193e-02,3.14092612e-02,4.29740232e-02,3.70488584e-02
A#,0.01915455746367239,2.57812538e-02,2.58211403e-02,2.01801526e-02,2.53508510e-02,2.32101030e-02,2.76462117e-02,2.91771285e-02
E#,0.00891677675033025,1.46465135e-02,1.64974806e-02,1.91825347e-02,1.42951056e-02,1.91816438e-02,1.63865129e-02,2.72819042e-02
B#,0.01023778071334214,6.88285859e-03,1.01615453e-02,1.24767105e-02,7.57117664e-03,1.11686828e-02,8.94867553e-03,1.65310436e-02
F##,0.004623513870541612,3.37023015e-03,6.19459925e-03,4.77802385e-03,3.80836504e-03,5.81991597e-03,4.50248503e-03,8.47387946e-03
C##,0.0006605019815059445,1.41626663e-03,3.69283022e-03,2.54667820e-03,1.83499010e-03,3.99186541e-03,2.08721455e-03,6.60590676e-03
G##,0.001321003963011889,5.99554524e-04,2.11288018e-03,2.01160133e-03,8.52579919e-04,2.61670041e-03,8.91462769e-04,4.51689004e-03
D##,0.0,2.39279813e-04,1.17859627e-03,1.00972245e-03,3.84008680e-04,1.36022469e-03,3.50800841e-04,2.33021470e-03
A##,0.0,8.30046843e-05,6.56715359e-04,3.03591023e-04,1.68386301e-04,7.22851357e-04,1.27186010e-04,9.86445000e-04
E##,0.0,3.34628453e-05,3.63265014e-04,1.51432711e-04,7.21339529e-05,4.48375449e-04,4.24853655e-05,4.07276512e-04
B##,0.0,1.08461298e-05,1.95556564e-04,9.75462183e-05,3.02744558e-05,2.52779267e-04,1.30755714e-05,3.88032161e-04
