pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.72367247e-08,1.05807877e-07,3.68795860e-06,1.43040025e-06,1.15029769e-05,1.71266367e-08,3.00836692e-06
Cbb,0.0,1.08953834e-07,3.30215078e-07,8.60466195e-06,3.39710030e-06,2.37182955e-05,8.86759458e-08,5.98602968e-06
Gbb,0.0,4.05209827e-07,1.04450009e-06,1.82367285e-05,7.98021006e-06,4.78774154e-05,4.19383439e-07,6.54035182e-05
Dbb,0.0,1.56394797e-06,3.34794788e-06,3.86188630e-05,1.85205419e-05,9.21480818e-05,1.81170894e-06,2.55570421e-05
Abb,0.0,5.19751573e-06,1.00574161e-05,8.75881414e-05,4.24047775e-05,1.78826871e-04,7.14886805e-06,6.52024861e-05
Ebb,0.0,1.76374501e-05,2.80651092e-05,1.90380104e-04,9.56256692e-05,3.51455033e-04,2.57666429e-05,2.39075227e-04
Bbb,0.0,5.77195953e-05,7.82623977e-05,3.49674824e-04,2.11967871e-04,6.44396924e-04,8.48301232e-05,3.58389635e-04
Fb,0.0,1.56212342e-04,2.20438111e-04,7.24437649e-04,4.60746184e-04,1.13993491e-03,2.55102116e-04,7.68052831e-04
Cb,0.0005249343832020997,5.10264482e-04,5.74239220e-04,1.69415461e-03,9.79225901e-04,2.13680208e-03,7.00728412e-04,1.84977549e-03
Gb,0.0010498687664041995,1.13119314e-03,1.34501915e-03,3.01628174e-03,2.02755097e-03,3.82305993e-03,1.75815474e-03,2.79376367e-03
Db,0.003674540682414698,3.30904582e-03,3.06084810e-03,4.84187516e-03,4.07173021e-03,6.05544288e-03,4.02936090e-03,4.88459256e-03
Ab,0.007874015748031496,6.45512873e-03,6.95580473e-03,1.00131497e-02,7.88569795e-03,1.01636372e-02,8.43503605e-03,8.76642376e-03
Eb,0.014698162729658792,1.53273524e-02,1.43593670e-02,1.88442188e-02,1.46217857e-02,1.80238417e-02,1.61290735e-02,1.71327689e-02
Bb,0.01889763779527559,2.56833112e-02,2.54308468e-02,2.55195689e-02,2.57145941e-02,2.62472057e-02,2.81710869e-02,2.69850615e-02
F,0.049343832020997375,4.74471196e-02,4.16444818e-02,3.66294951e-02,4.23763806e-02,3.55689163e-02,4.49437687e-02,4.04025467e-02
C,0.08031496062992126,6.59014166e-02,6.65647297e-02,6.66965296e-02,6.44801490e-02,5.97603254e-02,6.54948383e-02,8.02227502e-02
G,0.10236220472440945,9.51559231e-02,9.56493726e-02,8.96087374e-02,8.92366705e-02,8.55769634e-02,8.71798997e-02,1.29736301e-01
D,0.08661417322834646,1.08374582e-01,1.13489134e-01,8.95294697e-02,1.11220441e-01,8.68297697e-02,1.05997924e-01,1.26827769e-01
A,0.10026246719160105,1.24663985e-01,1.18090960e-01,1.10486953e-01,1.24325695e-01,1.12080716e-01,1.17719946e-01,1.04246485e-01
E,0.14068241469816273,1.17196377e-01,1.19007248e-01,1.51427655e-01,1.24217960e-01,1.61981798e-01,1.19419282e-01,1.13148696e-01
B,0.14015748031496064,1.09792239e-01,1.13460900e-01,1.35418071e-01,1.11492652e-01,1.32471407e-01,1.10654877e-01,1.28672439e-01
F#,0.07244094488188976,8.69217242e-02,9.31622856e-02,7.58852024e-02,9.04147338e-02,7.80438822e-02,9.36565949e-02,7.88927682e-02
C#,0.048293963254593175,6.80096673e-02,6.59047243e-02,4.74601242e-02,6.70005651e-02,5.42514332e-02,7.24065530e-02,3.70421159e-02
G#,0.05249343832020997,4.69239724e-02,4.49598293e-02,5.08414063e-02,4.60937581e-02,4.85461059e-02,5.11315649e-02,2.91718186e-02
D#,0.031496062992125984,3.15266574e-02,3.06904391e-02,3.94781264e-02,2.98734830e-02,3.27468782e-02,3.29816212e-02,2.72769393e-02
A#,0.027821522309711286,1.97266418e-02,1.95797714e-02,1.71957631e-02,1.84472349e-02,1.72632672e-02,1.94324079e-02,1.65280351e-02
E#,0.004199475065616798,1.16509825e-02,1.12751590e-02,7.75635836e-03,1.09462631e-02,1.00818315e-02,1.04581036e-02,8.47233732e-03
B#,0.010498687664041995,6.75850450e-03,6.36760501e-03,7.66492287e-03,6.28225897e-03,7.12780933e-03,5.14103977e-03,6.60470457e-03
F##,0.005774278215223097,3.59030007e-03,3.70832513e-03,4.92670281e-03,3.50506986e-03,4.23274234e-03,2.30845116e-03,4.51606803e-03
C##,0.0,1.92039619e-03,2.11374259e-03,1.83684365e-03,1.90883311e-03,2.08750396e-03,9.46808442e-04,2.32979063e-03
G##,0.0005249343832020997,9.56386305e-04,1.11908895e-03,6.55218191e-04,1.01798913e-03,1.10830997e-03,3.54711489e-04,9.86265479e-04
D##,0.0,4.62168308e-04,5.80675157e-04,6.53036048e-04,5.33055339e-04,6.77164757e-04,1.21383622e-04,4.07202393e-04
A##,0.0,2.23524202e-04,3.11719559e-04,3.52698442e-04,2.74664811e-04,3.66165794e-04,3.79416865e-05,3.87961544e-04
E##,0.0,9.75604478e-05,1.67210995e-04,8.79367258e-05,1.39516237e-04,1.71780507e-04,1.08329035e-05,1.40973792e-04
B##,0.0,4.47040360e-05,8.48214232e-05,5.82716559e-05,6.99683508e-05,8.53796171e-05,2.82517152e-06,4.29698806e-05
