pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.17403652e-09,3.24154414e-08,1.41204760e-10,1.20892408e-07,3.88288933e-10,6.54020248e-05
Cbb,0.0,2.71342292e-10,7.97189362e-08,8.11939598e-10,4.14450828e-07,4.37040534e-09,2.55564585e-05
Gbb,0.0,1.08927201e-07,2.64170928e-07,4.60609211e-09,1.34787347e-06,4.20198999e-08,6.52009973e-05
Dbb,0.0,2.94956927e-07,1.95168130e-06,2.57314940e-08,4.11354368e-06,3.45107899e-07,2.39069767e-04
Abb,0.0,3.39685195e-07,2.76284745e-06,1.41230662e-07,1.27753528e-05,2.42114821e-06,3.58381451e-04
Ebb,0.0,7.58311463e-06,1.90999386e-05,7.59457941e-07,4.09763916e-05,1.45095666e-05,7.68035293e-04
Bbb,0.0,2.95656618e-05,5.25448241e-05,3.98695579e-06,1.21807432e-04,7.42769557e-05,1.84973325e-03
Fb,0.0,6.28833527e-05,1.12781185e-04,2.03361637e-05,3.26797105e-04,3.24803231e-04,2.79369988e-03
Cb,0.0,3.08623423e-04,7.15783781e-04,1.00123871e-04,8.97834477e-04,1.21325804e-03,4.88448103e-03
Gb,0.0,1.34785597e-03,1.33331084e-03,4.71727017e-04,2.64008147e-03,3.87126234e-03,8.76622359e-03
Db,0.006987577639751553,4.18017565e-03,4.32714019e-03,2.10308078e-03,6.91999294e-03,1.05516073e-02,1.71323777e-02
Ab,0.010093167701863354,9.48879847e-03,1.07363051e-02,8.71311422e-03,1.49261065e-02,2.45669490e-02,2.69844453e-02
Eb,0.016304347826086956,2.65181491e-02,2.00088816e-02,3.22518552e-02,3.22628057e-02,4.88596576e-02,4.04016242e-02
Bb,0.1110248447204969,9.53270367e-02,9.87236457e-02,9.75877026e-02,8.30980118e-02,8.30072842e-02,8.02209184e-02
F,0.18633540372670807,1.95377856e-01,1.95519314e-01,2.01303681e-01,1.78719177e-01,1.20461587e-01,1.29733339e-01
C,0.19642857142857142,2.10542180e-01,2.14308039e-01,1.90604130e-01,2.28992551e-01,1.49330166e-01,1.26824873e-01
G,0.1327639751552795,1.18227896e-01,1.11912409e-01,1.16415028e-01,1.18865347e-01,1.58129574e-01,1.04244105e-01
D,0.08307453416149069,7.95562826e-02,8.94232349e-02,1.00541756e-01,8.76878372e-02,1.43035964e-01,1.13146113e-01
A,0.12111801242236025,1.05699435e-01,1.00900870e-01,9.80080681e-02,9.71760259e-02,1.10520791e-01,1.28669501e-01
E,0.06987577639751552,7.50830522e-02,7.10429422e-02,6.69687746e-02,6.10727166e-02,7.29473148e-02,7.88909668e-02
B,0.015527950310559006,2.58752752e-02,2.96562255e-02,3.64587072e-02,3.01160711e-02,4.11283442e-02,3.70412701e-02
F#,0.015527950310559006,1.95464925e-02,1.92246650e-02,2.01316116e-02,2.27600937e-02,1.98079592e-02,2.91711525e-02
C#,0.013975155279503106,1.85571377e-02,1.67541905e-02,1.41192221e-02,1.57296578e-02,8.14900957e-03,2.72763164e-02
G#,0.011645962732919254,7.81418224e-03,7.86180066e-03,7.69916226e-03,7.81767790e-03,2.86375931e-03,1.65276577e-02
D#,0.005434782608695652,2.54444719e-03,3.27337125e-03,3.21009407e-03,4.22181068e-03,8.59675975e-04,8.47214386e-03
A#,0.0,2.08077613e-03,2.06992028e-03,1.66533554e-03,2.70346035e-03,2.20444697e-04,6.60455376e-03
E#,0.003105590062111801,1.19073706e-03,1.16063338e-03,9.20258416e-04,1.44571471e-03,4.82870987e-05,4.51596491e-03
B#,0.0007763975155279503,3.58101490e-04,4.99994609e-04,3.94366000e-04,6.87965430e-04,9.03502083e-06,2.32973743e-03
F##,0.0,1.41909617e-04,1.92544262e-04,1.64636246e-04,3.71260214e-04,1.44408845e-06,9.86242958e-04
C##,0.0,8.70220391e-05,1.07277899e-04,8.09559067e-05,2.00731408e-04,1.97162820e-07,4.07193095e-04
G##,0.0,3.24296884e-05,4.56102684e-05,3.65573470e-05,9.51018985e-05,2.29944400e-08,3.87952685e-04
D##,0.0,8.12013613e-06,9.85161761e-06,1.46045818e-05,4.50142946e-05,2.29080036e-09,1.40970573e-04
A##,0.0,3.28727528e-06,2.02913327e-06,6.26392272e-06,2.27809691e-05,1.94947755e-10,4.29688994e-05
E##,0.0,1.54093737e-06,4.60669892e-07,2.79039742e-06,1.09154270e-05,1.41715001e-11,2.91084537e-05
B##,0.0,4.22597676e-07,3.23693578e-08,1.13723476e-06,4.90318555e-06,8.79994588e-13,2.71992301e-06
