pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,9.99702963e-51,8.59266151e-10,6.57440770e-08,1.03643209e-07,1.18805658e-17,3.07540520e-07
Cbb,0.0,9.99702963e-51,4.16784398e-11,1.62933438e-07,1.63653522e-07,4.28523542e-16,5.88882574e-07
Gbb,0.0,9.99702963e-51,4.27040434e-08,4.00278779e-07,4.56851201e-07,1.28890603e-14,1.36837045e-06
Dbb,0.0,9.99702963e-51,7.74129063e-09,9.73776600e-07,1.64523601e-06,3.23278512e-13,3.01008158e-06
Abb,0.0,8.76185218e-07,8.28691620e-07,2.35720945e-06,3.98599654e-06,6.76147474e-12,5.98944152e-06
Ebb,0.0,7.03591403e-09,5.39146560e-07,5.68466350e-06,5.53831618e-06,1.17927484e-10,6.54407960e-05
Bbb,0.0,2.11873380e-11,2.94170766e-06,1.35362491e-05,1.48461988e-05,1.71513238e-09,2.55716087e-05
Fb,0.0,1.39199992e-05,1.32633878e-05,3.16248683e-05,5.28573055e-05,2.08012421e-08,6.52396493e-05
Cb,0.0,7.83507976e-05,7.50963883e-05,7.32002517e-05,1.22059263e-04,2.10372952e-07,2.39211491e-04
Gb,0.0,8.81499601e-06,3.30126154e-05,1.69403079e-04,1.43632802e-04,1.77418762e-06,3.58593905e-04
Db,0.0,8.29815970e-05,1.50041257e-04,3.85412212e-04,3.63616445e-04,1.24772305e-05,7.68490596e-04
Ab,0.0036036036036036037,9.40899968e-04,9.01937010e-04,8.43739935e-04,1.27584267e-03,7.31721578e-05,1.85082980e-03
Eb,0.0,2.82521556e-03,2.75027074e-03,1.80400051e-03,2.78865366e-03,3.57834770e-04,2.79535603e-03
Bb,0.0024024024024024023,7.89891524e-04,1.06971928e-03,3.88780009e-03,2.60880894e-03,1.45924503e-03,4.88737661e-03
F,0.0018018018018018018,3.83169533e-03,4.28170287e-03,8.19337196e-03,6.01383644e-03,4.96229887e-03,8.77142033e-03
C,0.03063063063063063,2.25630715e-02,2.20540910e-02,1.59373580e-02,2.06414454e-02,1.40717018e-02,1.71425340e-02
G,0.04984984984984985,4.68573535e-02,4.61692658e-02,2.90297921e-02,4.22467204e-02,3.32750977e-02,2.70004420e-02
D,0.0024024024024024023,1.85740231e-02,1.84306175e-02,5.38847999e-02,2.78230610e-02,6.56146875e-02,4.04255748e-02
A,0.07207207207207207,4.91206016e-02,4.83948430e-02,9.57785860e-02,5.22962344e-02,1.07892635e-01,8.02684745e-02
E,0.17717717717717718,1.89103484e-01,1.88741034e-01,1.41741295e-01,1.70913401e-01,1.47942021e-01,1.29810247e-01
B,0.2594594594594595,2.99694760e-01,3.03030423e-01,1.77378464e-01,3.19226214e-01,1.69161024e-01,1.26900057e-01
F#,0.14174174174174173,1.14442093e-01,1.14676674e-01,1.75160968e-01,1.07672225e-01,1.61293948e-01,1.04305902e-01
C#,0.02942942942942943,6.77243227e-02,6.70386322e-02,1.40864442e-01,6.39737825e-02,1.28246302e-01,1.13213187e-01
G#,0.16636636636636637,1.11238774e-01,1.11132258e-01,8.47709720e-02,9.84417547e-02,8.50316564e-02,1.28745778e-01
D#,0.04684684684684685,3.86452387e-02,3.78809715e-02,4.15223552e-02,3.98325854e-02,4.70138089e-02,7.89377345e-02
A#,0.008408408408408409,1.02830461e-02,1.00665342e-02,1.77618134e-02,1.47114524e-02,2.16760052e-02,3.70632287e-02
E#,0.004804804804804805,1.57622627e-02,1.58252336e-02,6.92667479e-03,1.57606365e-02,8.33378066e-03,2.91884456e-02
B#,0.003003003003003003,5.17693211e-03,5.01603088e-03,2.52648979e-03,7.37727214e-03,2.67186121e-03,2.72924862e-02
F##,0.0,8.47385161e-04,8.18495220e-04,8.75971671e-04,2.44344503e-03,7.14323167e-04,1.65374555e-02
C##,0.0,1.00666198e-03,1.05555879e-03,2.91861134e-04,1.77477053e-03,1.59251887e-04,8.47716627e-03
G##,0.0,3.14642824e-04,3.11786937e-04,9.41737299e-05,8.95849864e-04,2.96062530e-05,6.60846903e-03
D##,0.0,3.87778760e-05,3.70324989e-05,2.95946770e-05,3.02357534e-04,4.58977417e-06,4.51864203e-03
A##,0.0,2.58358543e-05,3.20286374e-05,9.09681038e-06,1.60618265e-04,5.93346246e-07,2.33111853e-03
E##,0.0,7.25710447e-06,8.25734635e-06,2.74408354e-06,8.12572206e-05,6.39637755e-08,9.86827617e-04
B##,0.0,8.23025876e-07,8.27732462e-07,8.14472970e-07,2.88689497e-05,5.75001519e-09,4.07434485e-04
