pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.73373267e-05,2.12877707e-05,2.22766495e-05,4.48073911e-05,5.21279068e-06,6.54020248e-05
Cbb,0.0,4.30756274e-05,5.13526883e-05,5.09206568e-05,9.17565702e-05,1.77978679e-05,2.55564585e-05
Gbb,0.0,1.07775281e-04,1.16942861e-04,1.14358961e-04,1.92910499e-04,5.60648018e-05,6.52009973e-05
Dbb,0.0,2.22484362e-04,2.29329543e-04,2.51798941e-04,4.00933451e-04,1.62943568e-04,2.39069767e-04
Abb,0.0,5.46738919e-04,5.63237617e-04,5.42185265e-04,7.67354647e-04,4.36926889e-04,3.58381451e-04
Ebb,0.0,1.04947146e-03,1.14702412e-03,1.13825043e-03,1.43378051e-03,1.08094835e-03,7.68035293e-04
Bbb,0.0009093664746892998,2.04746502e-03,2.12949875e-03,2.32133076e-03,2.84102424e-03,2.46732143e-03,1.84973325e-03
Fb,0.006062443164595332,5.08443128e-03,4.71965055e-03,4.57836240e-03,5.37434084e-03,5.19602390e-03,2.79369988e-03
Cb,0.010912397696271597,8.34352988e-03,8.91705962e-03,8.68515168e-03,8.83686676e-03,1.00958100e-02,4.88448103e-03
Gb,0.018187329493785997,1.36431261e-02,1.42538931e-02,1.57395282e-02,1.46794302e-02,1.80982180e-02,8.76622359e-03
Db,0.02576538344953016,2.92908311e-02,2.64325634e-02,2.70205447e-02,2.71854790e-02,2.99333332e-02,1.71323777e-02
Ab,0.04698393452561382,4.65000169e-02,4.73330508e-02,4.34884785e-02,4.38385591e-02,4.56771466e-02,2.69844453e-02
Eb,0.05789633222188542,5.91550193e-02,5.94083768e-02,6.48085028e-02,5.50907415e-02,6.43083654e-02,4.04016242e-02
Bb,0.08153986056380721,8.40758892e-02,8.18081786e-02,8.82053568e-02,7.78262047e-02,8.35334840e-02,8.02209184e-02
F,0.12549257350712337,1.30933482e-01,1.31276913e-01,1.08286681e-01,1.30822758e-01,1.00110202e-01,1.29733339e-01
C,0.1361018490451652,1.34706801e-01,1.39162353e-01,1.19209660e-01,1.50936229e-01,1.10693139e-01,1.26824873e-01
G,0.08638981509548348,9.14752037e-02,9.07144936e-02,1.18106392e-01,9.32439150e-02,1.12924372e-01,1.04244105e-01
D,0.07699302819036072,7.87575083e-02,8.10517114e-02,1.05992216e-01,8.93129282e-02,1.06286788e-01,1.13146113e-01
A,0.12822067293119127,9.69212079e-02,9.83460460e-02,8.72837500e-02,9.79690649e-02,9.22986832e-02,1.28669501e-01
E,0.06789936344346771,7.84581571e-02,7.58245738e-02,6.68148736e-02,6.16604811e-02,7.39496879e-02,7.88909668e-02
B,0.04940891179145195,3.99054690e-02,3.87218828e-02,4.82284026e-02,3.92528079e-02,5.46640499e-02,3.70412701e-02
F#,0.025462261291300393,2.85749370e-02,3.03759313e-02,3.31441305e-02,3.57035531e-02,3.72813717e-02,2.91711525e-02
C#,0.021218551076083662,2.92687037e-02,2.88162611e-02,2.18413914e-02,2.42218509e-02,2.34588426e-02,2.72763164e-02
G#,0.015459230069718097,1.90136455e-02,1.71269943e-02,1.38666959e-02,1.34421323e-02,1.36190213e-02,1.65276577e-02
D#,0.007274931797514398,8.04957660e-03,7.66019157e-03,8.51373495e-03,9.53797965e-03,7.29474028e-03,8.47214386e-03
A#,0.0033343437405274324,5.11255157e-03,5.58366429e-03,5.08048672e-03,6.54439590e-03,3.60494290e-03,6.60455376e-03
E#,0.0018187329493785996,4.32093430e-03,4.11064149e-03,2.95917037e-03,3.60919770e-03,1.64365841e-03,4.51596491e-03
B#,0.005153076689906032,2.32869830e-03,2.01241176e-03,1.68561620e-03,2.12172596e-03,6.91431815e-04,2.32973743e-03
F##,0.001515610791148833,9.13614047e-04,8.80267822e-04,9.40497779e-04,1.36381237e-03,2.68356286e-04,9.86242958e-04
C##,0.0,5.13422100e-04,5.72068414e-04,5.15356458e-04,7.66648913e-04,9.60945607e-05,4.07193095e-04
G##,0.0,3.36939333e-04,3.38550752e-04,2.77981673e-04,4.09759440e-04,3.17475677e-05,3.87952685e-04
D##,0.0,1.58378820e-04,1.53168360e-04,1.47764232e-04,2.37992622e-04,9.67713343e-06,1.40970573e-04
A##,0.0,6.83586139e-05,7.61243249e-05,7.74751081e-05,1.33211082e-04,2.72149550e-06,4.29688994e-05
E##,0.0,3.73478066e-05,4.28508876e-05,4.01237913e-05,6.88254954e-05,7.06143767e-07,2.91084537e-05
B##,0.0,1.78709958e-05,2.14541431e-05,2.05519539e-05,3.65402931e-05,1.69045362e-07,2.71992301e-06
