pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,9.88613057e-51,5.31654516e-13,8.44508816e-07,8.53629148e-07,6.52009572e-20,5.88654250e-07
Cbb,0.0,5.62197662e-09,2.70761383e-13,1.56267313e-06,2.05189344e-06,3.60679433e-18,1.36783990e-06
Gbb,0.0,1.14515632e-07,3.46199841e-10,3.02076014e-06,5.31529008e-06,1.63481247e-16,3.00891450e-06
Dbb,0.0,9.33040513e-07,3.53753582e-10,5.84362393e-06,9.59094678e-06,6.07146735e-15,5.98711926e-06
Abb,0.0,3.86159083e-06,1.00290558e-07,1.05576042e-05,1.55989248e-05,1.84755997e-13,6.54154230e-05
Ebb,0.0,8.83188147e-06,1.54549786e-07,2.05890075e-05,3.80395085e-05,4.60662203e-12,2.55616940e-05
Bbb,0.0,1.43026551e-05,1.09614857e-05,4.06483385e-05,9.61457634e-05,9.41121674e-11,6.52143543e-05
Fb,0.0,3.15689804e-05,2.28074655e-05,7.03515826e-05,1.52853044e-04,1.57539016e-09,2.39118743e-04
Cb,0.0,7.71585088e-05,2.13999571e-05,1.38890878e-04,2.25481205e-04,2.16077546e-08,3.58454869e-04
Gb,0.0,1.47575847e-04,1.02322754e-04,2.85893482e-04,5.65479675e-04,2.42834454e-07,7.68192633e-04
Db,0.0,3.64304032e-04,6.98067179e-04,4.58361268e-04,1.37906997e-03,2.23609439e-06,1.85011218e-03
Ab,0.0,1.01698325e-03,9.67890388e-04,9.18251275e-04,1.84282090e-03,1.68713220e-05,2.79427220e-03
Eb,0.0,1.63576335e-03,8.45383786e-04,2.05132122e-03,2.41259135e-03,1.04300708e-04,4.88548166e-03
Bb,0.0,2.39932340e-03,3.95408539e-03,2.87510029e-03,6.33497533e-03,5.28329128e-04,8.76801943e-03
F,0.013008130081300813,9.97201295e-03,1.45202109e-02,5.82127124e-03,1.46593229e-02,2.19281004e-03,1.71358875e-02
C,0.0,1.92881249e-02,1.37349863e-02,1.51637402e-02,1.51547789e-02,7.45721433e-03,2.69899733e-02
G,0.004878048780487805,1.37987803e-02,1.20495243e-02,1.68580321e-02,1.69728497e-02,2.07793232e-02,4.04099008e-02
D,0.04227642276422764,4.07622929e-02,4.97400057e-02,3.35284711e-02,4.77197789e-02,4.74422553e-02,8.02373524e-02
A,0.17073170731707318,1.15873123e-01,1.19570599e-01,1.14927113e-01,1.02196380e-01,8.87520542e-02,1.29759916e-01
E,0.08130081300813008,8.28031182e-02,7.08075763e-02,8.65979136e-02,6.81024952e-02,1.36041264e-01,1.26850854e-01
B,0.08943089430894309,7.01722259e-02,5.76320170e-02,1.47517458e-01,5.95287172e-02,1.70860653e-01,1.04265460e-01
F#,0.17398373983739837,2.44530239e-01,1.99743073e-01,8.84985791e-02,1.82908797e-01,1.75829856e-01,1.13169292e-01
C#,0.2910569105691057,2.38400978e-01,3.29372411e-01,3.20012933e-01,3.49007159e-01,1.48259435e-01,1.28695860e-01
G#,0.08617886178861789,9.43893166e-02,7.44129589e-02,1.08988109e-01,7.21289213e-02,1.02430953e-01,7.89071283e-02
D#,0.0016260162601626016,2.07266887e-02,8.59241698e-03,3.59937851e-02,1.33499135e-02,5.79854789e-02,3.70488584e-02
A#,0.0032520325203252032,2.15538828e-02,1.22053271e-02,1.25772289e-02,1.69790219e-02,2.68959222e-02,2.91771285e-02
E#,0.04227642276422764,1.58624260e-02,2.49534810e-02,4.36496897e-03,2.16259997e-02,1.02219273e-02,2.72819042e-02
B#,0.0,4.30865374e-03,4.39751315e-03,1.49796788e-03,4.28864213e-03,3.18315872e-03,1.65310436e-02
F##,0.0,4.98552961e-04,5.06526921e-04,5.09746531e-04,7.42603586e-04,8.12199950e-04,8.47387946e-03
C##,0.0,8.90845348e-04,2.89013931e-04,1.73116081e-04,6.95902668e-04,1.69803556e-04,6.60590676e-03
G##,0.0,3.63088385e-04,7.30324207e-04,5.87037068e-05,6.73272195e-04,2.90877253e-05,4.51689004e-03
D##,0.0,4.87929970e-05,8.97228027e-05,1.98750156e-05,1.30174017e-04,4.08274163e-06,2.33021470e-03
A##,0.0,4.27915454e-05,1.60431020e-05,6.71824592e-06,2.26723824e-05,4.69540644e-07,9.86445000e-04
E##,0.0,1.07360142e-05,3.35139967e-06,2.26805155e-06,1.77507877e-05,4.42459622e-08,4.07276512e-04
B##,0.0,2.60241193e-06,9.74337450e-06,7.64900732e-07,1.39796529e-05,3.41627839e-09,3.88032161e-04
