pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,5.55363734e-06,1.81370603e-05,6.88461168e-06,4.12461540e-05,1.88273357e-04,3.58517814e-04
Cbb,0.0,2.22501221e-05,5.85233764e-05,2.35831968e-05,1.13812307e-04,4.95072702e-04,7.68327527e-04
Gbb,0.0,8.52126455e-05,1.57119885e-04,8.07008750e-05,3.03863274e-04,1.20263673e-03,1.85043706e-03
Dbb,0.0,2.96148183e-04,5.00669803e-04,2.73458818e-04,7.87873828e-04,2.69889082e-03,2.79476287e-03
Abb,0.0008194482381862879,9.78274464e-04,1.38312039e-03,8.60019442e-04,1.97538912e-03,5.59527632e-03,4.88633954e-03
Ebb,0.0013657470636438131,3.00779249e-03,3.33826390e-03,2.53815021e-03,4.70774673e-03,1.07162573e-02,8.76955909e-03
Bbb,0.011199125921879268,8.30460428e-03,8.89260051e-03,7.57551392e-03,1.05411698e-02,1.89605134e-02,1.71388965e-02
Fb,0.02594919420923245,2.06209053e-02,2.10584995e-02,2.12729152e-02,2.23625660e-02,3.09914875e-02,2.69947127e-02
Cb,0.03468997541655285,4.66770708e-02,4.07705164e-02,4.50656463e-02,4.50722857e-02,4.67972273e-02,4.04169968e-02
Gb,0.09068560502594919,8.93083883e-02,8.31317567e-02,9.07620792e-02,8.22049034e-02,6.52804578e-02,8.02514420e-02
Db,0.1286533733952472,1.28475681e-01,1.43260572e-01,1.24531853e-01,1.23023099e-01,8.41262693e-02,1.29782702e-01
Ab,0.1543294181917509,1.29870266e-01,1.43138389e-01,1.31964080e-01,1.36357198e-01,1.00153340e-01,1.26873129e-01
Eb,0.08522261677137394,1.01147502e-01,8.81626614e-02,1.22728708e-01,1.09404335e-01,1.10150029e-01,1.04283769e-01
Bb,0.09860693799508331,9.05154355e-02,9.08889330e-02,1.05924019e-01,8.86969797e-02,1.11915222e-01,1.13189164e-01
F,0.10434307566238732,1.00135980e-01,1.04705825e-01,8.68593011e-02,1.01471227e-01,1.05045893e-01,1.28718459e-01
C,0.07702813438951106,8.83497467e-02,7.29465326e-02,6.85642730e-02,8.21235195e-02,9.10865734e-02,7.89209844e-02
G,0.045342802512974595,5.57202871e-02,5.06232071e-02,5.25634138e-02,4.98465985e-02,7.29650727e-02,3.70553641e-02
D,0.04042611308385687,3.64568456e-02,4.86632491e-02,3.93798177e-02,4.03438324e-02,5.39959323e-02,2.91822520e-02
A,0.02676864244741874,3.39436335e-02,3.26450009e-02,2.89589253e-02,3.58477612e-02,3.69141131e-02,2.72866949e-02
E,0.02185195301830101,2.70968132e-02,1.98468458e-02,2.09706907e-02,2.26019280e-02,2.33135925e-02,1.65339464e-02
B,0.02185195301830101,1.48723543e-02,1.68857472e-02,1.49909835e-02,1.34157246e-02,1.36022682e-02,8.47536747e-03
F#,0.010652827096421742,7.88884355e-03,1.14747776e-02,1.05989948e-02,1.04448826e-02,7.33160124e-03,6.60706675e-03
C#,0.0062824364927615405,6.46911244e-03,6.10864568e-03,7.42292415e-03,7.39154983e-03,3.65066269e-03,4.51768321e-03
G#,0.0071018847309478285,4.73872515e-03,4.57392250e-03,5.15575479e-03,4.13531009e-03,1.67930642e-03,2.33062388e-03
D#,0.0027314941272876263,2.30320967e-03,2.96011159e-03,3.55509272e-03,2.52988493e-03,7.13630756e-04,9.86618219e-04
A#,0.002458344714558864,1.02254944e-03,1.50478187e-03,2.43562944e-03,1.77631934e-03,2.80157684e-04,4.07348030e-04
E#,0.0005462988254575252,7.58477534e-04,9.94920360e-04,1.65910909e-03,1.07011613e-03,1.01605423e-04,3.88100299e-04
B#,0.0008194482381862879,5.13360088e-04,6.35563824e-04,1.12433980e-03,5.77753099e-04,3.40421206e-05,1.41024211e-04
F##,0.0002731494127287626,2.21346149e-04,2.92057201e-04,7.58398184e-04,3.53216993e-04,1.05366291e-05,4.29852489e-05
C##,0.0,8.22715751e-05,1.78457789e-04,5.09403342e-04,2.21018026e-04,3.01281283e-06,2.91195293e-05
G##,0.0,5.61334211e-05,1.06402827e-04,3.40842592e-04,1.20800243e-04,7.95844058e-07,2.72095793e-06
D##,0.0,3.52185564e-05,4.72206644e-05,2.27256078e-04,6.48867877e-05,1.94208921e-07,1.39737735e-05
A##,0.0,1.33713210e-05,2.58433079e-05,1.51032841e-04,3.82477346e-05,4.37820144e-08,5.56924549e-07
E##,0.0,4.06263997e-06,1.51887886e-05,1.00076365e-04,2.16994635e-05,9.11816979e-09,2.50014734e-07
B##,0.0,2.57385845e-06,5.93526809e-06,6.61292316e-05,1.12549330e-05,1.75430451e-09,1.04254915e-07
