pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,6.65132334e-08,2.58914613e-06,3.45698900e-06,3.06857602e-05,1.63055216e-07,5.98587345e-06
Cbb,0.0,2.85513635e-07,6.88418858e-06,8.38392185e-06,5.92868415e-05,7.47846680e-07,6.54018112e-05
Gbb,0.0,1.13509667e-06,2.69370340e-05,2.00660940e-05,1.20650531e-04,3.13145988e-06,2.55563750e-05
Dbb,0.0,4.76125146e-06,7.12240936e-05,4.73195013e-05,2.37268034e-04,1.19711960e-05,6.52007843e-05
Abb,0.0,1.65819046e-05,1.30462677e-04,1.09733337e-04,4.22929944e-04,4.17815584e-05,2.39068987e-04
Ebb,0.0,6.17602521e-05,3.29174679e-04,2.49657946e-04,7.77057587e-04,1.33133741e-04,3.58380281e-04
Bbb,0.0,1.93906716e-04,9.43149075e-04,5.55682903e-04,1.52849478e-03,3.87300489e-04,7.68032785e-04
Fb,0.0,6.13169653e-04,1.74099988e-03,1.20576645e-03,2.67581132e-03,1.02864226e-03,1.84972721e-03
Cb,0.002305032654629274,1.67073146e-03,2.73152285e-03,2.53954958e-03,4.20267652e-03,2.49423336e-03,2.79369076e-03
Gb,0.00768344218209758,4.28175084e-03,6.38493101e-03,5.16309006e-03,7.54874010e-03,5.52161615e-03,4.88446507e-03
Db,0.00768344218209758,9.53008529e-03,1.34539305e-02,1.00612724e-02,1.37940439e-02,1.11596802e-02,8.76619496e-03
Ab,0.013830195927775643,1.93138691e-02,1.83388151e-02,1.86215873e-02,1.97343285e-02,2.05917705e-02,1.71323218e-02
Eb,0.033038801383019595,3.43325382e-02,2.59087137e-02,3.23508381e-02,2.72617819e-02,3.46890207e-02,2.69843572e-02
Bb,0.06876680752977334,5.51565939e-02,5.21992208e-02,5.19983393e-02,4.90887049e-02,5.33515198e-02,4.04014922e-02
F,0.08797541298501729,7.85383568e-02,7.98527818e-02,7.61722591e-02,7.37561342e-02,7.49131326e-02,8.02206564e-02
C,0.08413369189396849,1.01260480e-01,7.94254336e-02,1.00627291e-01,7.59127062e-02,9.60341127e-02,1.29732915e-01
G,0.0895121014214368,1.16783533e-01,9.51695077e-02,1.19286364e-01,9.65710560e-02,1.12395650e-01,1.26824459e-01
D,0.1317710334229735,1.22597591e-01,1.51829422e-01,1.26306604e-01,1.58780171e-01,1.20096372e-01,1.04243764e-01
A,0.15981559738762965,1.16141299e-01,1.59037685e-01,1.19895427e-01,1.49690202e-01,1.17156578e-01,1.13145743e-01
E,0.09104878985785632,1.00951856e-01,9.24217229e-02,1.02435479e-01,9.64448239e-02,1.04342172e-01,1.28669081e-01
B,0.05570495582020745,8.00254668e-02,5.90623913e-02,7.95352993e-02,6.49513260e-02,8.48417226e-02,7.88907091e-02
F#,0.06377257011140991,5.88875649e-02,5.98150182e-02,5.69372656e-02,5.65364397e-02,6.29818608e-02,3.70411491e-02
C#,0.0457164809834806,4.00686515e-02,4.40135608e-02,3.81214877e-02,4.11180183e-02,4.26852574e-02,2.91710573e-02
G#,0.023818670764502496,2.56690001e-02,2.19559387e-02,2.41611663e-02,2.34900030e-02,2.64117227e-02,2.72762273e-02
D#,0.014214368036880523,1.54343260e-02,1.41038476e-02,1.46357010e-02,1.36175071e-02,1.49201077e-02,1.65276037e-02
A#,0.009220130618517095,8.83468075e-03,9.91525473e-03,8.53752426e-03,9.26369097e-03,7.69491092e-03,8.47211619e-03
E#,0.003073376872839032,4.80350109e-03,5.25619257e-03,4.82446565e-03,5.75222036e-03,3.62319444e-03,6.60453219e-03
B#,0.00384172109104879,2.49819842e-03,2.68974883e-03,2.65343761e-03,3.03373424e-03,1.55752882e-03,4.51595016e-03
F##,0.003073376872839032,1.24693199e-03,1.64303818e-03,1.42577072e-03,1.61375400e-03,6.11275443e-04,2.32972982e-03
C##,0.0,5.96805325e-04,8.10692697e-04,7.50759458e-04,9.53161064e-04,2.19025265e-04,9.86239737e-04
G##,0.0,2.76598170e-04,3.77758919e-04,3.88375924e-04,5.30826191e-04,7.16486291e-05,4.07191765e-04
D##,0.0,1.23248303e-04,1.98880880e-04,1.97791471e-04,2.63323030e-04,2.13982355e-05,3.87951418e-04
A##,0.0,5.32924871e-05,9.54312312e-05,9.93396554e-05,1.31582466e-04,5.83451080e-06,1.40970112e-04
E##,0.0,2.23338118e-05,3.85020156e-05,4.92760660e-05,7.05978933e-05,1.45240368e-06,4.29687591e-05
B##,0.0,9.05005574e-06,1.86347646e-05,2.41708178e-05,3.62625349e-05,3.30085645e-07,2.91083586e-05
