pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.19411732e-06,1.37036399e-06,5.39730133e-07,4.91369964e-06,2.39735845e-11,5.98587345e-06
Cbb,0.0,4.21181093e-06,4.69098123e-06,1.33218495e-06,1.14051064e-05,2.86501525e-10,6.54018112e-05
Gbb,0.0,9.93016986e-06,1.10300400e-05,3.26661496e-06,2.44652590e-05,2.96350875e-09,2.55563750e-05
Dbb,0.0,2.33026816e-05,2.45452270e-05,7.95115854e-06,4.93315506e-05,2.65320499e-08,6.52007843e-05
Abb,0.0,5.82049046e-05,5.97779028e-05,1.91932428e-05,1.09725076e-04,2.05598864e-07,2.39068987e-04
Ebb,0.0,1.20901041e-04,1.26128603e-04,4.58936654e-05,2.35773866e-04,1.37897353e-06,3.58380281e-04
Bbb,0.0,2.43107518e-04,2.48587090e-04,1.08551005e-04,4.29454130e-04,8.00527879e-06,7.68032785e-04
Fb,0.00101010101010101,6.06245925e-04,5.91342895e-04,2.53533891e-04,8.57652863e-04,4.02237269e-05,1.84972721e-03
Cb,0.00101010101010101,1.39708422e-03,1.40589881e-03,5.83454927e-04,1.88820319e-03,1.74933694e-04,2.79369076e-03
Gb,0.00101010101010101,2.21370259e-03,2.24810675e-03,1.31924483e-03,3.22317713e-03,6.58491150e-04,4.88446507e-03
Db,0.00101010101010101,4.35947393e-03,4.23456682e-03,2.92001598e-03,5.22997931e-03,2.14541707e-03,8.76619496e-03
Ab,0.00404040404040404,1.20465850e-02,1.20679998e-02,6.29538295e-03,1.15609192e-02,6.05004818e-03,1.71323218e-02
Eb,0.005050505050505051,1.85774665e-02,1.88621483e-02,1.31286911e-02,1.99753587e-02,1.47669651e-02,2.69843572e-02
Bb,0.014646464646464647,2.31727042e-02,2.26182043e-02,2.62188643e-02,2.42723091e-02,3.11967232e-02,4.04014922e-02
F,0.07323232323232323,5.18542492e-02,5.26846178e-02,4.93774483e-02,4.76061012e-02,5.70442696e-02,8.02206564e-02
C,0.1414141414141414,9.64455883e-02,9.92703617e-02,8.55176687e-02,8.98265143e-02,9.02818358e-02,1.29732915e-01
G,0.08383838383838384,8.92485008e-02,8.76495288e-02,1.30363476e-01,8.43683019e-02,1.23672760e-01,1.26824459e-01
D,0.11161616161616161,1.08166229e-01,1.09101856e-01,1.62612799e-01,1.06567838e-01,1.46633445e-01,1.04243764e-01
A,0.17727272727272728,1.90013552e-01,2.00265337e-01,1.61715570e-01,2.16286339e-01,1.50479500e-01,1.13145743e-01
E,0.1893939393939394,1.97258664e-01,1.96779430e-01,1.37463986e-01,1.81953063e-01,1.33661691e-01,1.28669081e-01
B,0.09747474747474748,1.00008016e-01,9.31859045e-02,9.52372695e-02,9.22802972e-02,1.02759476e-01,7.88907091e-02
F#,0.03333333333333333,3.56722463e-02,3.16656794e-02,5.69877861e-02,4.38574762e-02,6.83789019e-02,3.70411491e-02
C#,0.012121212121212121,2.96310064e-02,2.23059177e-02,3.23052779e-02,3.20837164e-02,3.93828986e-02,2.91710573e-02
G#,0.023232323232323233,2.41079468e-02,1.81880840e-02,1.79720337e-02,2.01958984e-02,1.96326329e-02,2.72762273e-02
D#,0.020202020202020204,9.33814569e-03,1.32020713e-02,9.64041243e-03,9.20458969e-03,8.47100094e-03,1.65276037e-02
A#,0.00202020202020202,1.71673220e-03,7.26343235e-03,4.97858350e-03,3.86766137e-03,3.16356111e-03,8.47211619e-03
E#,0.0030303030303030303,2.07571452e-03,3.32120749e-03,2.50941294e-03,2.10917704e-03,1.02259353e-03,6.60453219e-03
B#,0.0030303030303030303,1.17698828e-03,9.54157611e-04,1.24679025e-03,1.11425115e-03,2.86098225e-04,4.51595016e-03
F##,0.00101010101010101,2.06450978e-04,7.66586660e-04,6.10904007e-04,4.70263584e-04,6.92807536e-05,2.32972982e-03
C##,0.0,1.55974095e-04,4.89723707e-04,2.95026436e-04,1.84572922e-04,1.45209609e-05,9.86239737e-04
G##,0.0,5.50742052e-05,1.94337610e-04,1.40744527e-04,8.63008810e-05,2.63428903e-06,4.07191765e-04
D##,0.0,1.58665478e-05,1.40080885e-04,6.65126842e-05,4.04073485e-05,4.13634547e-07,3.87951418e-04
A##,0.0,1.79836144e-05,3.68054064e-05,3.11786542e-05,1.60388835e-05,5.62154250e-08,1.40970112e-04
E##,0.0,4.77293395e-07,1.67918886e-05,1.45040084e-05,5.98830053e-06,6.61271046e-09,4.29687591e-05
B##,0.0,4.79061007e-07,1.36899589e-05,6.70011144e-06,2.53457462e-06,6.73269328e-10,2.91083586e-05
