pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,9.33610929e-06,1.65509157e-05,1.43981322e-05,3.65013311e-05,6.07877161e-08,5.98587345e-06
Cbb,0.0,2.11466744e-05,3.34476631e-05,2.90098820e-05,7.65094654e-05,3.17608499e-07,6.54018112e-05
Gbb,0.0,4.28597348e-05,6.75474405e-05,5.80478266e-05,1.35090404e-04,1.50194120e-06,2.55563750e-05
Dbb,0.0,1.18010092e-04,1.50427676e-04,1.15256140e-04,2.46463408e-04,6.42833158e-06,6.52007843e-05
Abb,0.0,2.90842854e-04,2.94152408e-04,2.26855184e-04,5.25215977e-04,2.49016507e-05,2.39068987e-04
Ebb,0.0,4.90338258e-04,5.04451941e-04,4.42099380e-04,9.20841145e-04,8.73056862e-05,3.58380281e-04
Bbb,0.0,9.44669065e-04,1.13184069e-03,8.51811628e-04,1.41313958e-03,2.77039343e-04,7.68032785e-04
Fb,0.002066115702479339,2.43698900e-03,2.43741549e-03,1.61970436e-03,2.89637096e-03,7.95655180e-04,1.84972721e-03
Cb,0.006887052341597796,4.31466539e-03,3.81294187e-03,3.03257673e-03,5.36893023e-03,2.06820158e-03,2.79369076e-03
Gb,0.003443526170798898,5.73911879e-03,6.09105030e-03,5.57456854e-03,6.98878713e-03,4.86570039e-03,4.88446507e-03
Db,0.009641873278236915,1.21966766e-02,1.33135625e-02,1.00227134e-02,1.20970874e-02,1.03605399e-02,8.76619496e-03
Ab,0.023415977961432508,2.45054175e-02,2.32371888e-02,1.75359432e-02,2.44658378e-02,1.99665917e-02,1.71323218e-02
Eb,0.026170798898071626,2.91177762e-02,2.78879705e-02,2.96500309e-02,2.95594618e-02,3.48265147e-02,2.69843572e-02
Bb,0.046831955922865015,3.85985676e-02,4.14027220e-02,4.79684153e-02,3.66598440e-02,5.49794785e-02,4.04014922e-02
F,0.08953168044077135,7.73570338e-02,7.89027624e-02,7.31144583e-02,7.63493998e-02,7.85553457e-02,8.02206564e-02
C,0.10192837465564739,1.00974012e-01,1.00673613e-01,1.02357460e-01,9.47643196e-02,1.01586360e-01,1.29732915e-01
G,0.08402203856749312,9.07165776e-02,9.08177647e-02,1.27014774e-01,8.16588403e-02,1.18899377e-01,1.26824459e-01
D,0.11707988980716254,1.17575717e-01,1.14879675e-01,1.37641548e-01,1.32970889e-01,1.25952934e-01,1.04243764e-01
A,0.1618457300275482,1.62254841e-01,1.69125315e-01,1.30316498e-01,1.65662688e-01,1.20759559e-01,1.13145743e-01
E,0.1446280991735537,1.42665773e-01,1.47084670e-01,1.07474014e-01,1.31843769e-01,1.04789865e-01,1.28669081e-01
B,0.081267217630854,7.88555112e-02,7.44825463e-02,7.81627387e-02,7.88199155e-02,8.23003278e-02,7.88907091e-02
F#,0.030303030303030304,4.12755447e-02,3.21373093e-02,5.18694613e-02,4.76047741e-02,5.85016852e-02,3.70411491e-02
C#,0.02203856749311295,3.14458964e-02,2.54883139e-02,3.22238308e-02,3.11022216e-02,3.76374086e-02,2.91710573e-02
G#,0.02134986225895317,2.10904939e-02,2.01008872e-02,1.90615631e-02,1.85505186e-02,2.19157117e-02,2.72762273e-02
D#,0.01859504132231405,9.10565967e-03,1.25032242e-02,1.08589777e-02,9.58191231e-03,1.15498400e-02,1.65276037e-02
A#,0.0027548209366391185,3.59771239e-03,6.82338200e-03,6.00485102e-03,4.81095830e-03,5.50910291e-03,8.47211619e-03
E#,0.002066115702479339,2.28670502e-03,3.18497347e-03,3.24169799e-03,2.52023507e-03,2.37832021e-03,6.60453219e-03
B#,0.0,1.27525019e-03,1.46436480e-03,1.71567618e-03,1.27969517e-03,9.29275090e-04,4.51595016e-03
F##,0.004132231404958678,4.20445734e-04,9.40528282e-04,8.93072298e-04,5.97262123e-04,3.28626658e-04,2.32972982e-03
C##,0.0,1.37163175e-04,5.27931467e-04,4.58365041e-04,2.70538563e-04,1.05183063e-04,9.86239737e-04
G##,0.0,8.63280999e-05,2.77653609e-04,2.32417663e-04,1.25263193e-04,3.04700635e-05,4.07191765e-04
D##,0.0,3.93258713e-05,1.10540851e-04,1.16614097e-04,5.71743555e-05,7.98887144e-06,3.87951418e-04
A##,0.0,8.88958682e-06,5.71330478e-05,5.79724647e-05,2.47096875e-05,1.89575422e-06,1.40970112e-04
E##,0.0,2.79570327e-06,2.40886944e-05,2.85856391e-05,1.04050882e-05,4.07158173e-07,4.29687591e-05
B##,0.0,1.90950450e-06,1.20524116e-05,1.39932802e-05,4.43034827e-06,7.91459705e-08,2.91083586e-05
