pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.98666344e-07,2.16221681e-06,2.63652215e-05,5.29342062e-06,7.17804875e-05,1.12551731e-06,6.54020248e-05
Cbb,0.0,1.71913815e-07,6.48625465e-06,5.42339474e-05,1.29764127e-05,1.27287054e-04,4.21633202e-06,2.55564585e-05
Gbb,0.0,5.70795145e-06,1.84469483e-05,1.31353895e-04,3.12936948e-05,2.37886167e-04,1.45747029e-05,6.52009973e-05
Dbb,0.0,1.60177305e-05,4.94008630e-05,2.60224183e-04,7.40951602e-05,4.70019297e-04,4.64886463e-05,2.39069767e-04
Abb,0.0,1.68073343e-05,1.30284216e-04,4.15784230e-04,1.71847078e-04,8.09533079e-04,1.36828439e-04,3.58381451e-04
Ebb,0.0,1.23803915e-04,3.40147928e-04,9.31624252e-04,3.89317709e-04,1.30484591e-03,3.71610632e-04,7.68035293e-04
Bbb,0.0,4.36910785e-04,8.30878270e-04,2.21981141e-03,8.58649969e-04,2.48088970e-03,9.31284061e-04,1.84973325e-03
Fb,0.0,6.69196220e-04,1.86063412e-03,3.52781011e-03,1.83611651e-03,4.47597678e-03,2.15356752e-03,2.79369988e-03
Cb,0.006374501992031873,1.75599818e-03,4.00266979e-03,4.92075500e-03,3.78766241e-03,6.32044570e-03,4.59533417e-03,4.88448103e-03
Gb,0.00796812749003984,6.14610765e-03,8.41002305e-03,1.08282743e-02,7.49070458e-03,9.94571381e-03,9.04811241e-03,8.76622359e-03
Db,0.01195219123505976,1.22138406e-02,1.62477006e-02,2.10573490e-02,1.40924608e-02,1.92102314e-02,1.64392182e-02,1.71323777e-02
Ab,0.01752988047808765,1.83285085e-02,2.77381780e-02,2.51866027e-02,2.49796555e-02,2.71362530e-02,2.75604697e-02,2.69844453e-02
Eb,0.03346613545816733,4.03735358e-02,4.37235075e-02,3.13758402e-02,4.12327544e-02,3.03993162e-02,4.26357937e-02,4.04016242e-02
Bb,0.08525896414342629,8.86137184e-02,6.59254085e-02,6.30250971e-02,6.25356117e-02,5.45784488e-02,6.08617412e-02,8.02209184e-02
F,0.12430278884462151,1.18346921e-01,9.05231667e-02,9.10326600e-02,8.59950127e-02,8.87316754e-02,8.01671930e-02,1.29733339e-01
C,0.0796812749003984,9.95870429e-02,1.07186870e-01,7.96755954e-02,1.06272677e-01,7.80379650e-02,9.74386514e-02,1.26824873e-01
G,0.07808764940239044,8.52430418e-02,1.13309179e-01,8.57025917e-02,1.17949309e-01,8.45037993e-02,1.09281874e-01,1.04244105e-01
D,0.1306772908366534,1.11578103e-01,1.14074783e-01,1.41252744e-01,1.17887823e-01,1.59347872e-01,1.13096011e-01,1.13146113e-01
A,0.13864541832669322,1.17027869e-01,1.08281251e-01,1.44690257e-01,1.06978064e-01,1.41473598e-01,1.08001236e-01,1.28669501e-01
E,0.07250996015936255,7.71596304e-02,9.13837108e-02,8.22429752e-02,8.91333075e-02,7.92940521e-02,9.51683290e-02,7.88909668e-02
B,0.04780876494023904,5.08382243e-02,6.84369114e-02,4.59482625e-02,6.91667895e-02,5.08848273e-02,7.73817320e-02,3.70412701e-02
F#,0.04780876494023904,5.48703280e-02,4.87705586e-02,5.81590194e-02,5.06385053e-02,5.74996181e-02,5.80586231e-02,2.91711525e-02
C#,0.05179282868525897,4.65837825e-02,3.40585834e-02,5.07130082e-02,3.53861960e-02,4.30971037e-02,4.01954875e-02,2.72763164e-02
G#,0.028685258964143426,2.41479573e-02,2.24033639e-02,2.26884198e-02,2.37725409e-02,2.20137815e-02,2.56785296e-02,1.65276577e-02
D#,0.012749003984063745,1.41359580e-02,1.35809972e-02,9.32289989e-03,1.54135620e-02,1.21635081e-02,1.51371909e-02,8.47214386e-03
A#,0.006374501992031873,1.35922871e-02,7.98814487e-03,1.08637899e-02,9.68941857e-03,1.05018171e-02,8.23384533e-03,6.60455376e-03
E#,0.01752988047808765,9.05640029e-03,4.73612384e-03,7.70445571e-03,5.93493727e-03,7.01017138e-03,4.13278113e-03,4.51596491e-03
B#,0.0007968127490039841,3.72244316e-03,2.75057467e-03,2.89066936e-03,3.55395152e-03,3.39435124e-03,1.91409897e-03,2.32973743e-03
F##,0.0,2.14067483e-03,1.51268405e-03,9.71909500e-04,2.08475669e-03,1.73398643e-03,8.18028918e-04,9.86242958e-04
C##,0.0,1.75676542e-03,8.12169793e-04,1.16335558e-03,1.20047857e-03,1.26315549e-03,3.22593199e-04,4.07193095e-04
G##,0.0,8.86067441e-04,4.42311170e-04,6.37730767e-04,6.80112717e-04,7.71087759e-04,1.17388091e-04,3.87952685e-04
D##,0.0,3.03611924e-04,2.40110635e-04,1.71500331e-04,3.79739320e-04,3.58801898e-04,3.94162366e-05,1.40970573e-04
A##,0.0,1.70357784e-04,1.25393917e-04,1.13378523e-04,2.09216910e-04,1.73930367e-04,1.22126119e-05,4.29688994e-05
E##,0.0,1.09591007e-04,6.40379600e-05,7.15172921e-05,1.13869587e-04,1.12433729e-04,3.49159802e-06,2.91084537e-05
B##,0.0,4.23188011e-05,3.31457216e-05,2.21339976e-05,6.12937897e-05,6.38369752e-05,9.21132707e-07,2.71992301e-06
