pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,5.73154964e-12,1.20661780e-08,7.82884943e-08,5.65754217e-08,8.34426420e-12,6.54020248e-05
Cbb,0.0,3.45892231e-12,2.43893994e-08,2.56016957e-07,2.00403024e-07,1.39966193e-10,2.55564585e-05
Gbb,0.0,2.05730181e-09,1.32155029e-07,8.27944436e-07,7.03861638e-07,1.96434487e-09,6.52009973e-05
Dbb,0.0,4.28091602e-09,5.20975341e-07,2.64377935e-06,2.21037588e-06,2.30659742e-08,2.39069767e-04
Abb,0.0,5.77654562e-09,8.19065489e-07,8.31996879e-06,6.67336043e-06,2.26613274e-07,3.58381451e-04
Ebb,0.0,5.85589790e-07,6.57482041e-06,2.57439522e-05,2.22740573e-05,1.86276629e-06,7.68035293e-04
Bbb,0.0,1.50701150e-06,1.38746172e-05,7.80919412e-05,7.30697041e-05,1.28112313e-05,1.84973325e-03
Fb,0.0,3.51634253e-06,6.82119661e-05,2.31351154e-04,2.02146745e-04,7.37195808e-05,2.79369988e-03
Cb,0.0,8.60767380e-05,2.83899653e-04,6.66062335e-04,5.25695014e-04,3.54923144e-04,4.88448103e-03
Gb,0.0,2.56509267e-04,5.19861216e-04,1.85110245e-03,1.62652494e-03,1.42970114e-03,8.76622359e-03
Db,0.0015772870662460567,8.78195889e-04,1.70441423e-03,4.92018669e-03,4.87672623e-03,4.81854240e-03,1.71323777e-02
Ab,0.003943217665615142,6.06038870e-03,4.85532168e-03,1.23408941e-02,1.10212435e-02,1.35876887e-02,2.69844453e-02
Eb,0.021293375394321766,1.78574713e-02,1.70490437e-02,2.86256120e-02,2.13981542e-02,3.20578926e-02,4.04016242e-02
Bb,0.062302839116719244,7.80733687e-02,6.43779067e-02,5.94873198e-02,5.89354935e-02,6.32825295e-02,8.02209184e-02
F,0.1640378548895899,1.69139306e-01,1.74276038e-01,1.05397809e-01,1.55100754e-01,1.04518260e-01,1.29733339e-01
C,0.19479495268138802,1.94204581e-01,2.11159279e-01,1.49778559e-01,2.34051104e-01,1.44430858e-01,1.26824873e-01
G,0.08990536277602523,1.14428448e-01,1.00739600e-01,1.75324136e-01,1.07048794e-01,1.66988780e-01,1.04244105e-01
D,0.11593059936908517,9.89406950e-02,1.00515051e-01,1.66599097e-01,9.76401086e-02,1.61537766e-01,1.13146113e-01
A,0.18138801261829654,1.31446752e-01,1.45330527e-01,1.30488702e-01,1.30963854e-01,1.30743568e-01,1.28669501e-01
E,0.08990536277602523,8.54867496e-02,7.03283094e-02,8.21204872e-02,6.09088203e-02,8.85372589e-02,7.88909668e-02
B,0.02917981072555205,2.45286821e-02,3.02683670e-02,4.42004430e-02,3.43994818e-02,5.01638998e-02,3.70412701e-02
F#,0.01892744479495268,3.47656705e-02,3.69858698e-02,2.14027035e-02,3.79082451e-02,2.37802267e-02,2.91711525e-02
C#,0.015772870662460567,2.71868293e-02,2.27767721e-02,9.62221326e-03,1.90103084e-02,9.43192131e-03,2.72763164e-02
G#,0.006309148264984227,6.21755277e-03,7.09367192e-03,4.09500097e-03,8.67183194e-03,3.12999632e-03,1.65276577e-02
D#,0.003943217665615142,4.01618064e-03,5.29317515e-03,1.67064567e-03,7.54898670e-03,8.69054404e-04,8.47214386e-03
A#,0.0,4.68724466e-03,3.45884865e-03,6.59100769e-04,4.00726215e-03,2.01887571e-04,6.60455376e-03
E#,0.0007886435331230284,6.97922388e-04,1.44136751e-03,2.53037951e-04,1.68793232e-03,3.92402422e-05,4.51596491e-03
B#,0.0,5.07225549e-04,6.75886996e-04,9.49764376e-05,1.17054729e-03,6.38136016e-06,2.32973743e-03
F##,0.0,4.00498920e-04,4.01939973e-04,3.49777500e-05,6.35693258e-04,8.68269034e-07,9.86242958e-04
C##,0.0,7.95452567e-05,1.95481660e-04,1.26742646e-05,2.63296697e-04,9.88450326e-08,4.07193095e-04
G##,0.0,6.83204389e-06,9.33483376e-05,4.52866536e-06,1.51189452e-04,9.41488165e-09,3.87952685e-04
D##,0.0,3.46148787e-05,5.45489968e-05,1.59849627e-06,8.11374078e-05,7.50298988e-10,1.40970573e-04
A##,0.0,6.52451134e-06,2.38597530e-05,5.58192874e-07,3.38613492e-05,5.00280224e-11,4.29688994e-05
E##,0.0,4.95234740e-07,6.29727148e-06,1.93071072e-07,1.68982993e-05,2.79094829e-12,2.91084537e-05
B##,0.0,1.88091719e-08,1.14399472e-06,6.62146799e-08,8.72002388e-06,1.30271593e-13,2.71992301e-06
