pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,6.05338081e-10,1.67499350e-04,1.98721641e-06,1.97748504e-04,1.69070408e-07,3.58517814e-04
Cbb,0.0,2.84402078e-09,3.33596523e-04,7.61275849e-06,4.02369713e-04,1.33627578e-06,7.68327527e-04
Gbb,0.0,1.31828677e-07,7.45963912e-04,2.81991314e-05,6.68460805e-04,8.92905771e-06,1.85043706e-03
Dbb,0.0,1.28477601e-06,1.60429518e-03,1.00413405e-04,1.56685796e-03,5.04424533e-05,2.79476287e-03
Abb,0.0,6.33605731e-06,2.33519749e-03,3.41164658e-04,3.22881867e-03,2.40917200e-04,4.88633954e-03
Ebb,0.0,1.28695567e-04,4.28209318e-03,1.09526055e-03,4.50669923e-03,9.72793036e-04,8.76955909e-03
Bbb,0.0015105740181268882,1.21085521e-03,1.17251793e-02,3.27960590e-03,9.44966290e-03,3.32088729e-03,1.71388965e-02
Fb,0.0015105740181268882,6.17959547e-03,1.86587505e-02,9.00096046e-03,2.01470519e-02,9.58448662e-03,2.69947127e-02
Cb,0.004531722054380665,2.06842306e-02,2.15522841e-02,2.21172281e-02,2.38129670e-02,2.33864667e-02,4.04169968e-02
Gb,0.0649546827794562,5.00920522e-02,4.44714500e-02,4.72205518e-02,3.95864082e-02,4.82437888e-02,8.02514420e-02
Db,0.14652567975830816,9.28040776e-02,9.07009848e-02,8.48268687e-02,8.66993590e-02,8.41393669e-02,1.29782702e-01
Ab,0.12235649546827794,1.36337573e-01,9.87281360e-02,1.26006972e-01,9.04550949e-02,1.24061809e-01,1.26873129e-01
Eb,0.09818731117824774,1.62921621e-01,8.77784012e-02,1.57305196e-01,9.90527852e-02,1.54652882e-01,1.04283769e-01
Bb,0.1404833836858006,1.61700143e-01,1.64112232e-01,1.64695639e-01,1.97065359e-01,1.62989250e-01,1.13189164e-01
F,0.18882175226586104,1.35892343e-01,2.22639018e-01,1.45332951e-01,1.90955545e-01,1.45224852e-01,1.28718459e-01
C,0.12235649546827794,9.86330240e-02,1.27857817e-01,1.07903536e-01,1.11819647e-01,1.09396635e-01,7.89209844e-02
G,0.04380664652567976,6.30607052e-02,3.79124257e-02,6.78410751e-02,5.36036301e-02,6.96703543e-02,3.70553641e-02
D,0.012084592145015106,3.61438800e-02,2.01346884e-02,3.58229350e-02,3.14185280e-02,3.75122499e-02,2.91822520e-02
A,0.03323262839879154,1.88050592e-02,2.61555886e-02,1.63479481e-02,1.88873922e-02,1.70757287e-02,2.72866949e-02
E,0.019637462235649546,8.95391711e-03,1.23167587e-02,6.72991852e-03,9.22779889e-03,6.57152878e-03,1.65339464e-02
B,0.0,3.92713237e-03,2.90073822e-03,2.57923225e-03,3.92414482e-03,2.13813253e-03,8.47536747e-03
F#,0.0,1.59751615e-03,9.76246484e-04,9.34729177e-04,1.81221905e-03,5.88144262e-04,6.60706675e-03
C#,0.0,6.05029571e-04,1.24320230e-03,3.23007961e-04,8.77882585e-04,1.36777338e-04,4.51768321e-03
G#,0.0,2.13675932e-04,4.99685078e-04,1.07216952e-04,3.80453577e-04,2.68921462e-05,2.33062388e-03
D#,0.0,7.05738434e-05,8.03066673e-05,3.44157207e-05,1.49490778e-04,4.47010599e-06,9.86618219e-04
A#,0.0,2.18949886e-05,3.92122091e-05,1.07370571e-05,6.11586771e-05,6.28190282e-07,4.07348030e-04
E#,0.0,6.34860585e-06,3.58747545e-05,3.26742755e-06,2.60093566e-05,7.46355341e-08,3.88100299e-04
B#,0.0,1.72390617e-06,6.04786225e-06,9.72704857e-07,1.03247034e-05,7.49688956e-09,1.41024211e-04
F##,0.0,4.41747292e-07,4.88478170e-06,2.84001184e-07,3.81537002e-06,6.36645420e-10,4.29852489e-05
C##,0.0,1.05474724e-07,6.44371228e-07,8.15007472e-08,1.44058062e-06,4.57083098e-11,2.91195293e-05
G##,0.0,2.28723085e-08,4.00551104e-07,2.30288458e-08,5.59733533e-07,2.77442982e-12,2.72095793e-06
D##,0.0,5.13498207e-09,3.51675277e-07,6.41646012e-09,2.07535559e-07,1.42374877e-13,1.39737735e-05
A##,0.0,8.30669167e-10,1.44792880e-08,1.76519474e-09,7.29110438e-08,6.17694902e-15,5.56924549e-07
E##,0.0,1.91267175e-10,1.82950034e-08,4.80014809e-10,2.59223870e-08,2.26566507e-16,2.50014734e-07
B##,0.0,2.12775542e-11,1.24008210e-08,1.29153875e-10,9.40912733e-09,7.02584299e-18,1.04254915e-07
