pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.56577558e-09,4.49574641e-08,1.64281926e-08,3.41433248e-08,1.14966291e-16,3.07540520e-07
Cbb,0.0,2.36749513e-09,1.07177651e-07,4.48092167e-08,8.78992726e-08,3.41909999e-15,5.88882574e-07
Gbb,0.0,8.73815035e-10,4.11119110e-07,1.21472832e-07,2.50177813e-07,8.54972859e-14,1.36837045e-06
Dbb,0.0,1.09556747e-07,1.04486993e-06,3.27080397e-07,7.03760500e-07,1.79759604e-12,3.01008158e-06
Abb,0.0,5.26522287e-07,3.58262638e-06,8.74134704e-07,1.73214916e-06,3.17783339e-11,5.98944152e-06
Ebb,0.0,3.92705601e-07,4.59693092e-06,2.31677336e-06,4.12655232e-06,4.72355954e-10,6.54407960e-05
Bbb,0.0,1.99001922e-06,1.82985427e-05,6.08332425e-06,1.12718438e-05,5.90346388e-09,2.55716087e-05
Fb,0.0,1.62825012e-05,4.50773538e-05,1.58065821e-05,3.02602268e-05,6.20359839e-08,6.52396493e-05
Cb,0.0,4.28752816e-05,1.17206849e-04,4.05828067e-05,6.80932393e-05,5.48125095e-07,2.39211491e-04
Gb,0.0,4.21833203e-05,2.78690085e-04,1.02771925e-04,1.45771125e-04,4.07206728e-06,3.58593905e-04
Db,0.0,2.08260627e-04,5.86132428e-04,2.56162466e-04,3.78914032e-04,2.54360371e-05,7.68490596e-04
Ab,0.0,9.35495918e-04,8.03480823e-04,6.26857630e-04,9.61819090e-04,1.33592847e-04,1.85082980e-03
Eb,0.0,1.75106002e-03,2.36144679e-03,1.50077965e-03,1.91719518e-03,5.89951358e-04,2.79535603e-03
Bb,0.007081038552321007,1.98442283e-03,5.73878387e-03,3.49676364e-03,3.47775354e-03,2.19052621e-03,4.88737661e-03
F,0.015735641227380016,7.76174195e-03,1.12059843e-02,7.87529940e-03,8.46472708e-03,6.83880072e-03,8.77142033e-03
C,0.016522423288749016,2.36321427e-02,1.98605516e-02,1.70334887e-02,2.00390252e-02,1.79519112e-02,1.71425340e-02
G,0.03697875688434304,3.44138868e-02,2.86643081e-02,3.50796155e-02,3.34521911e-02,3.96223913e-02,2.70004420e-02
D,0.02675059008654603,3.48484258e-02,2.95529932e-02,6.70939564e-02,4.40213565e-02,7.35309065e-02,4.04255748e-02
A,0.1038552321007081,9.80197738e-02,9.22040093e-02,1.12453666e-01,9.55937490e-02,1.14735657e-01,8.02684745e-02
E,0.2014162077104642,2.21351719e-01,2.24505906e-01,1.53469227e-01,2.05859725e-01,1.50531066e-01,1.29810247e-01
B,0.22974036191974823,2.40179755e-01,2.47791380e-01,1.73461403e-01,2.55513930e-01,1.66055444e-01,1.26900057e-01
F#,0.0983477576711251,9.79432398e-02,9.75643006e-02,1.59878428e-01,9.55986003e-02,1.54020789e-01,1.04305902e-01
C#,0.07238394964594808,6.56022745e-02,6.42719468e-02,1.21538272e-01,6.53371814e-02,1.20117095e-01,1.13213187e-01
G#,0.1054287962234461,8.16671956e-02,8.53761069e-02,7.43884307e-02,7.74059255e-02,7.87643225e-02,1.28745778e-01
D#,0.07002360346184107,4.88709916e-02,5.00620922e-02,3.91170430e-02,4.49510153e-02,4.34263683e-02,7.89377345e-02
A#,0.00944138473642801,1.57390548e-02,1.48000672e-02,1.85930597e-02,1.72393875e-02,2.01315275e-02,3.70632287e-02
E#,0.003147128245476003,1.07845004e-02,1.06630540e-02,8.23548891e-03,1.26330318e-02,7.84691941e-03,2.91884456e-02
B#,0.0007867820613690008,8.55786018e-03,8.49397383e-03,3.46179513e-03,8.99059949e-03,2.57170355e-03,2.72924862e-02
F##,0.0023603461841070024,3.43764063e-03,3.15303857e-03,1.39745024e-03,3.97494921e-03,7.08666434e-04,1.65374555e-02
C##,0.0,1.02807301e-03,8.81750741e-04,5.46233187e-04,1.76752230e-03,1.64195810e-04,8.47716627e-03
G##,0.0,6.61138538e-04,5.85685385e-04,2.07980887e-04,1.13270150e-03,3.19875902e-05,6.60846903e-03
D##,0.0,3.63366963e-04,2.96210748e-04,7.74834178e-05,5.99850715e-04,5.23962523e-06,4.51864203e-03
A##,0.0,1.07039078e-04,7.72030409e-05,2.83409888e-05,2.45787300e-04,7.21635971e-07,2.33111853e-03
E##,0.0,3.00260025e-05,2.03924707e-05,1.02046999e-05,1.17096810e-04,8.35671072e-08,9.86827617e-04
B##,0.0,1.65490254e-05,1.01407347e-05,3.62482850e-06,6.36335053e-05,8.13676573e-09,4.07434485e-04
