pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,3.14696783e-06,9.74792074e-09,3.02769915e-06,1.78552076e-05,2.40375141e-06,8.83219146e-10,3.07540520e-07
Cbb,0.0,7.60422574e-06,3.37859767e-08,4.43071890e-06,3.02161738e-05,4.04344072e-06,5.28903926e-09,5.88882574e-07
Gbb,0.0,1.10336897e-05,1.10864212e-07,1.03655230e-05,5.09630500e-05,1.00191993e-05,2.89497210e-08,1.36837045e-06
Dbb,0.0,1.64318199e-05,3.45392785e-07,2.71613355e-05,8.56325975e-05,2.46688551e-05,1.44834242e-07,3.01008158e-06
Abb,0.0,4.85305472e-05,1.08955475e-06,2.65549122e-05,1.43292142e-04,4.42095014e-05,6.62304027e-07,5.98944152e-06
Ebb,0.0,1.22625497e-04,3.47897664e-06,1.39392731e-04,2.38726958e-04,6.71407376e-05,2.76823411e-06,6.54407960e-05
Bbb,0.0,2.16359840e-04,1.04190681e-05,8.87491079e-05,3.95844053e-04,1.60938493e-04,1.05756608e-05,2.55716087e-05
Fb,0.0,4.12963687e-04,2.90122006e-05,4.41140382e-04,6.52683834e-04,3.85295108e-04,3.69293348e-05,6.52396493e-05
Cb,0.000835421888053467,8.60484446e-04,8.06529326e-05,4.52353905e-04,1.06894573e-03,6.44680122e-04,1.17867679e-04,2.39211491e-04
Gb,0.002506265664160401,1.34092942e-03,2.26160393e-04,1.54999704e-03,1.73848967e-03,8.54481036e-04,3.43856515e-04,3.58593905e-04
Db,0.00835421888053467,2.41593299e-03,5.86972957e-04,1.88108415e-03,2.80831749e-03,1.95827739e-03,9.16893846e-04,7.68490596e-04
Ab,0.015037593984962405,6.05124180e-03,1.37152497e-03,5.33091261e-03,4.49758397e-03,4.53171955e-03,2.23470466e-03,1.85082980e-03
Eb,0.007518796992481203,9.62444791e-03,3.11119929e-03,5.05055539e-03,7.11039348e-03,6.98125703e-03,4.97829338e-03,2.79535603e-03
Bb,0.006683375104427736,9.31734954e-03,7.03697255e-03,8.68499580e-03,1.10803913e-02,7.62238314e-03,1.01367822e-02,4.88737661e-03
F,0.00835421888053467,1.83650892e-02,1.44699784e-02,1.75170425e-02,1.70898413e-02,1.62913056e-02,1.88659648e-02,8.77142033e-03
C,0.03341687552213868,4.32826282e-02,2.55752519e-02,4.90362396e-02,2.60464684e-02,3.60063669e-02,3.20935087e-02,1.71425340e-02
G,0.030910609857978277,4.78192670e-02,4.17888388e-02,3.63817686e-02,3.85664804e-02,4.99553299e-02,4.99016213e-02,2.70004420e-02
D,0.020050125313283207,3.77007156e-02,6.65534423e-02,2.25054927e-02,5.46973012e-02,4.00968925e-02,7.09204347e-02,4.04255748e-02
A,0.06516290726817042,7.81255045e-02,9.53652182e-02,6.75501991e-02,7.58890331e-02,7.44387085e-02,9.21270993e-02,8.02684745e-02
E,0.18128654970760233,1.32454919e-01,1.13154304e-01,1.86859879e-01,1.03575472e-01,1.51407367e-01,1.09386237e-01,1.29810247e-01
B,0.12447786131996658,1.06001056e-01,1.17868680e-01,1.55276166e-01,1.30986465e-01,1.80161196e-01,1.18712716e-01,1.26900057e-01
F#,0.08771929824561403,7.73992095e-02,1.18765427e-01,7.17382369e-02,1.39674941e-01,7.95291764e-02,1.17758178e-01,1.04305902e-01
C#,0.1060985797827903,1.21223293e-01,1.13184077e-01,8.28719387e-02,1.32848799e-01,8.37798501e-02,1.06768758e-01,1.13213187e-01
G#,0.16624895572263992,1.46494339e-01,9.30899511e-02,1.16824216e-01,1.01854865e-01,1.03774921e-01,8.84823358e-02,1.28745778e-01
D#,0.07017543859649122,8.85306696e-02,6.60875874e-02,6.77759476e-02,6.62517125e-02,5.38039378e-02,6.70236760e-02,7.89377345e-02
A#,0.02756892230576441,3.28901222e-02,4.51989261e-02,2.66260309e-02,3.89360197e-02,3.02956340e-02,4.64044024e-02,3.70632287e-02
E#,0.001670843776106934,1.72462196e-02,3.08886181e-02,2.63370182e-02,2.14128993e-02,3.16031025e-02,2.93663114e-02,2.91884456e-02
B#,0.028404344193817876,1.40718362e-02,1.97392200e-02,2.59586001e-02,1.12375250e-02,1.97611428e-02,1.69863040e-02,2.72924862e-02
F##,0.007518796992481203,5.06740411e-03,1.14018288e-02,1.04207462e-02,5.69581241e-03,9.30059047e-03,8.98064773e-03,1.65374555e-02
C##,0.0,1.20680593e-03,6.45389583e-03,4.04212981e-03,2.81046412e-03,6.92372398e-03,4.33985986e-03,8.47716627e-03
G##,0.0,1.14659388e-03,3.76165256e-03,4.06677409e-03,1.35748106e-03,4.71630638e-03,1.91691575e-03,6.60846903e-03
D##,0.0,3.54846565e-04,2.14617188e-03,2.55867544e-03,6.44395684e-04,2.29272715e-03,7.73908510e-04,4.51864203e-03
A##,0.0,8.12326110e-05,1.13883729e-03,1.06501010e-03,3.01524755e-04,1.29002584e-03,2.85585067e-04,2.33111853e-03
E##,0.0,7.80225479e-05,5.92070568e-04,5.69597103e-04,1.39389419e-04,8.41151327e-04,9.63253606e-05,9.86827617e-04
B##,0.0,1.11427339e-05,3.18041205e-04,3.27571115e-04,6.37738744e-05,4.39027336e-04,2.96964864e-05,4.07434485e-04
