pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,6.11033793e-09,5.77761871e-06,8.01206902e-06,1.60111679e-05,2.70498047e-05,1.36542302e-06,6.52059812e-05
Cbb,0.0,2.23182104e-08,1.82496644e-05,2.39668332e-05,4.31545816e-05,6.52109044e-05,7.11887527e-06,2.39088042e-04
Gbb,0.0,1.12413620e-06,6.42418134e-05,7.98049664e-05,1.13955848e-04,1.52632608e-04,3.26802109e-05,3.58408846e-04
Dbb,0.0,4.94250207e-06,1.98485507e-04,2.10016082e-04,2.93834273e-04,3.76959607e-04,1.32095377e-04,7.68094001e-04
Abb,0.0,1.88452671e-05,5.05432671e-04,5.30305375e-04,7.36712503e-04,9.07847801e-04,4.70131871e-04,1.84987464e-03
Ebb,0.0,6.16351458e-04,1.32168721e-03,1.55554483e-03,1.78641898e-03,1.92427803e-03,1.47326567e-03,2.79391343e-03
Bbb,0.0,1.33847670e-03,3.85905560e-03,3.59201976e-03,4.16010317e-03,3.92189605e-03,4.06510484e-03,4.88485439e-03
Fb,0.014303482587064677,8.91021261e-03,9.72420539e-03,7.21328991e-03,9.21711744e-03,8.90287240e-03,9.87624225e-03,8.76689367e-03
Cb,0.018034825870646767,1.57910817e-02,1.85792115e-02,1.81448877e-02,1.91842670e-02,1.92167475e-02,2.11271551e-02,1.71336873e-02
Gb,0.043532338308457715,4.65335693e-02,3.37169409e-02,3.73932390e-02,3.68658922e-02,3.27744199e-02,3.97941847e-02,2.69865080e-02
Db,0.05037313432835821,6.21869347e-02,6.67233935e-02,5.41558180e-02,6.39243104e-02,5.12204572e-02,6.59975030e-02,4.04047124e-02
Ab,0.09825870646766169,1.15578615e-01,1.12598949e-01,9.99241428e-02,9.74431450e-02,1.03292365e-01,9.63750689e-02,8.02270504e-02
Eb,0.16169154228855723,1.17314000e-01,1.30426488e-01,1.88920795e-01,1.28461468e-01,1.87793730e-01,1.23917089e-01,1.29743256e-01
Bb,0.18345771144278608,1.57664802e-01,1.26200619e-01,1.79234619e-01,1.47085425e-01,1.93681137e-01,1.40290094e-01,1.26834568e-01
F,0.06343283582089553,1.23006301e-01,1.30255061e-01,7.44358188e-02,1.44210938e-01,7.04140275e-02,1.39846665e-01,1.04252073e-01
C,0.11753731343283583,1.28720895e-01,1.29495262e-01,8.31582619e-02,1.22933986e-01,8.18692985e-02,1.22745767e-01,1.13154761e-01
G,0.11007462686567164,7.81815518e-02,9.68202788e-02,1.07745250e-01,9.08492807e-02,9.80903386e-02,9.48615544e-02,1.28679336e-01
D,0.07773631840796019,6.72687562e-02,5.55731366e-02,6.15019566e-02,5.92495387e-02,5.58793205e-02,6.45510415e-02,7.88969971e-02
A,0.021766169154228857,3.26254983e-02,3.38118594e-02,2.22846902e-02,3.50375168e-02,2.40624708e-02,3.86763582e-02,3.70441015e-02
E,0.01181592039800995,2.40441908e-02,2.25841609e-02,2.34879146e-02,1.92265369e-02,2.45683303e-02,2.04040885e-02,2.91733823e-02
B,0.014303482587064677,9.79083735e-03,1.34930137e-02,1.99505252e-02,9.95510206e-03,1.90803275e-02,9.47803101e-03,2.72784014e-02
F#,0.009950248756218905,6.21647758e-03,6.59408864e-03,8.12508842e-03,4.92163650e-03,8.75110508e-03,3.87657648e-03,1.65289211e-02
C#,0.0018656716417910447,2.27881785e-03,3.38269245e-03,3.07015309e-03,2.34332797e-03,4.63961038e-03,1.39607224e-03,8.47279146e-03
G#,0.0018656716417910447,1.20363511e-03,1.95803477e-03,2.70787447e-03,1.08148285e-03,3.80972530e-03,4.42686958e-04,6.60505860e-03
D#,0.0,4.25702593e-04,1.08409765e-03,1.61139956e-03,4.86204577e-04,2.24595715e-03,1.23598975e-04,4.51631010e-03
A#,0.0,1.81917730e-04,5.06263989e-04,5.19305016e-04,2.13752753e-04,9.90098003e-04,3.03852149e-05,2.32991551e-03
E#,0.0,6.34193472e-05,2.41394646e-04,1.97161936e-04,9.21794389e-05,5.74236798e-04,6.57716989e-06,9.86318346e-04
B#,0.0,2.23306228e-05,1.29438619e-04,1.34950177e-04,3.90899951e-05,3.84899211e-04,1.25355996e-06,4.07224220e-04
F##,0.0,7.46269339e-06,6.87155108e-05,5.91386858e-05,1.63339253e-05,1.93099523e-04,2.10368381e-07,3.87982340e-04
C##,0.0,2.27428172e-06,3.15503415e-05,1.55225986e-05,6.73661843e-06,8.74501428e-05,3.10845885e-08,1.40981348e-04
G##,0.0,6.90640847e-07,1.44828625e-05,5.03387863e-06,2.74621229e-06,5.04416880e-05,4.04426014e-09,4.29721839e-05
D##,0.0,1.91309713e-07,7.39782228e-06,2.50839749e-06,1.10786517e-06,2.87960995e-05,4.63300051e-10,2.91106787e-05
A##,0.0,5.06150721e-08,3.81487165e-06,8.04302450e-07,4.42735273e-07,1.32734117e-05,4.67320589e-11,2.72013092e-06
E##,0.0,1.28100016e-08,1.73779576e-06,1.56226134e-07,1.75423415e-07,6.19765191e-06,4.15046529e-12,1.39695263e-05
B##,0.0,2.97141380e-09,7.80358981e-07,2.49333638e-08,6.89680686e-08,3.39210036e-06,3.24569690e-13,5.56755278e-07
