pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.45336581e-09,3.94086890e-07,4.86745490e-08,2.37587650e-07,2.14010195e-11,6.54020248e-05
Cbb,0.0,8.89323905e-09,1.24739738e-06,1.77335287e-07,7.44007781e-07,3.30730156e-10,2.55564585e-05
Gbb,0.0,6.75250915e-08,2.90354804e-06,6.35814515e-07,2.26737123e-06,4.28948895e-09,6.52009973e-05
Dbb,0.0,3.49284773e-07,1.03715376e-05,2.23849070e-06,6.69263692e-06,4.66906303e-08,2.39069767e-04
Abb,0.0,1.37612703e-06,2.66194421e-05,7.71804943e-06,1.95041224e-05,4.26526821e-07,3.58381451e-04
Ebb,0.0,6.79720787e-06,6.51538641e-05,2.59746261e-05,5.63618707e-05,3.27005742e-06,7.68035293e-04
Bbb,0.0,3.08652497e-05,1.64282091e-04,8.49714561e-05,1.56845416e-04,2.10405379e-05,1.84973325e-03
Fb,0.0,1.23136897e-04,4.31875443e-04,2.68760401e-04,4.14272685e-04,1.13618937e-04,2.79369988e-03
Cb,0.00041322314049586776,4.44684000e-04,1.16285450e-03,8.16211172e-04,1.07231671e-03,5.14916766e-04,4.88448103e-03
Gb,0.005371900826446281,1.56113096e-03,2.92355615e-03,2.35796845e-03,2.76902943e-03,1.95846479e-03,8.76622359e-03
Db,0.004132231404958678,5.42367149e-03,6.61416215e-03,6.39743776e-03,6.77227758e-03,6.25153875e-03,1.71323777e-02
Ab,0.01859504132231405,1.53770055e-02,1.14476425e-02,1.60081971e-02,1.49439505e-02,1.67475203e-02,2.69844453e-02
Eb,0.005785123966942148,3.69697128e-02,2.15492578e-02,3.59984689e-02,3.12123430e-02,3.76536017e-02,4.04016242e-02
Bb,0.08264462809917356,7.08460977e-02,6.35978154e-02,7.01945469e-02,6.63820418e-02,7.10485076e-02,8.02209184e-02
F,0.14793388429752066,1.14168252e-01,1.45970862e-01,1.14005307e-01,1.31425402e-01,1.12511217e-01,1.29733339e-01
C,0.17603305785123968,1.50366975e-01,1.98745690e-01,1.52065094e-01,1.95575444e-01,1.49530267e-01,1.26824873e-01
G,0.1396694214876033,1.68312325e-01,1.58103339e-01,1.71345116e-01,1.81592163e-01,1.66784167e-01,1.04244105e-01
D,0.11611570247933885,1.55836698e-01,1.14778196e-01,1.57377955e-01,9.96873924e-02,1.56125182e-01,1.13146113e-01
A,0.10991735537190082,1.23202652e-01,1.04669732e-01,1.22127870e-01,9.13413829e-02,1.22654509e-01,1.28669501e-01
E,0.1322314049586777,8.03292567e-02,7.55918554e-02,7.78612507e-02,7.88580117e-02,8.08698257e-02,7.88909668e-02
B,0.03636363636363636,4.48124563e-02,3.85977642e-02,4.13734564e-02,3.72647930e-02,4.47488542e-02,3.70412701e-02
F#,0.009917355371900827,2.03732421e-02,2.51507363e-02,1.90821883e-02,2.34700107e-02,2.07811587e-02,2.91711525e-02
C#,0.00743801652892562,8.09660139e-03,1.58894215e-02,7.91817353e-03,1.83230400e-02,8.09934730e-03,2.72763164e-02
G#,0.0070247933884297524,2.62720694e-03,7.50772629e-03,3.03347696e-03,8.65396219e-03,2.64924858e-03,1.65276577e-02
D#,0.00041322314049586776,8.13093411e-04,3.43205554e-03,1.09235548e-03,4.32636313e-03,7.27256857e-04,8.47214386e-03
A#,0.0,2.08219728e-04,2.01554898e-03,3.74441852e-04,2.94082447e-03,1.67550359e-04,6.60455376e-03
E#,0.0,5.39876639e-05,8.73671154e-04,1.23306716e-04,1.41827065e-03,3.23962938e-05,4.51596491e-03
B#,0.0,1.10520525e-05,3.62640755e-04,3.92777861e-05,6.27636395e-04,5.25699687e-06,2.32973743e-03
F##,0.0,2.54464832e-06,1.76915725e-04,1.21658531e-05,3.66749371e-04,7.15933251e-07,9.86242958e-04
C##,0.0,4.29739574e-07,7.90674345e-05,3.67919725e-06,1.78132158e-04,8.18275925e-08,4.07193095e-04
G##,0.0,8.59623269e-08,3.33030890e-05,1.08992031e-06,7.45806810e-05,7.84909236e-09,3.87952685e-04
D##,0.0,1.29687438e-08,1.40214954e-05,3.17112013e-07,3.79720320e-05,6.31875520e-10,1.40970573e-04
A##,0.0,2.12608578e-09,6.09413502e-06,9.08125394e-08,1.81541914e-05,4.26909723e-11,4.29688994e-05
E##,0.0,3.00535118e-10,2.38267071e-06,2.56432721e-08,7.43672802e-06,2.42065551e-12,2.91084537e-05
B##,0.0,4.02104137e-11,8.40787297e-07,7.15071550e-09,3.39313137e-06,1.15192010e-13,2.71992301e-06
