pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.11539770e-06,6.97305610e-08,5.61264333e-06,4.75339472e-06,4.92962871e-06,1.41930730e-08,6.54020248e-05
Cbb,0.0,5.68014275e-06,2.91458089e-07,1.55699315e-05,1.12873446e-05,1.22443615e-05,9.79338124e-08,2.55564585e-05
Gbb,0.0,1.59481516e-05,1.04770398e-06,3.70935979e-05,2.65309453e-05,2.97972217e-05,5.97340890e-07,6.52009973e-05
Dbb,0.0,4.09244032e-05,3.12840250e-06,9.46508316e-05,6.16463137e-05,7.09675002e-05,3.22066228e-06,2.39069767e-04
Abb,0.0,1.09318637e-04,1.02227317e-05,2.15925949e-04,1.41368992e-04,1.65181838e-04,1.53497564e-05,3.58381451e-04
Ebb,0.0,2.67561618e-04,3.94853619e-05,4.01120122e-04,3.19327131e-04,3.74741199e-04,6.46682556e-05,7.68035293e-04
Bbb,0.0012217470983506415,6.19347090e-04,1.29979351e-04,7.05033024e-04,7.08738996e-04,8.26280383e-04,2.40831984e-04,1.84973325e-03
Fb,0.004886988393402566,1.45395789e-03,3.35491587e-04,1.71923778e-03,1.54084850e-03,1.76757256e-03,7.92812592e-04,2.79369988e-03
Cb,0.0012217470983506415,3.19305075e-03,9.16433574e-04,3.90904158e-03,3.26832328e-03,3.66060246e-03,2.30706735e-03,4.88448103e-03
Gb,0.00916310323762981,6.69878091e-03,2.99035004e-03,7.91716736e-03,6.72830269e-03,7.30143089e-03,5.93448950e-03,8.76622359e-03
Db,0.0177153329260843,1.31331453e-02,8.19268397e-03,1.37611668e-02,1.33486042e-02,1.39240948e-02,1.34939724e-02,1.71323777e-02
Ab,0.014050091631032376,2.44613230e-02,1.59311853e-02,1.89020713e-02,2.52727142e-02,2.52510648e-02,2.71224943e-02,2.69844453e-02
Eb,0.021991447770311544,4.36488408e-02,3.00242930e-02,2.69387558e-02,4.50149678e-02,4.33813075e-02,4.81895415e-02,4.04016242e-02
Bb,0.07391569945021381,7.09684869e-02,6.60879379e-02,6.75201338e-02,7.38247334e-02,6.98680501e-02,7.56849137e-02,8.02209184e-02
F,0.1417226634086744,1.04506991e-01,1.20544720e-01,1.40179675e-01,1.08081709e-01,1.02918555e-01,1.05074953e-01,1.29733339e-01
C,0.14844227244960292,1.32574207e-01,1.36591977e-01,1.69093005e-01,1.36688216e-01,1.33978895e-01,1.28950327e-01,1.26824873e-01
G,0.11728772144166158,1.47437094e-01,1.27176628e-01,1.28702886e-01,1.49542347e-01,1.49525029e-01,1.39887545e-01,1.04244105e-01
D,0.10079413561392792,1.39356972e-01,1.33809732e-01,1.12750092e-01,1.39562512e-01,1.41073509e-01,1.34143307e-01,1.13146113e-01
A,0.14660965180207697,1.16019439e-01,1.36670497e-01,1.16371445e-01,1.12584362e-01,1.13422118e-01,1.13708342e-01,1.28669501e-01
E,0.09529627367135003,8.27733661e-02,9.76086365e-02,7.53951267e-02,7.83122587e-02,7.96549718e-02,8.52018457e-02,7.88909668e-02
B,0.05497861942577886,5.35122111e-02,5.04883146e-02,4.12596141e-02,4.84930854e-02,5.04233751e-02,5.64337666e-02,3.70412701e-02
F#,0.01832620647525962,3.00995502e-02,2.96161154e-02,3.43805219e-02,2.75550037e-02,2.95593031e-02,3.30417036e-02,2.91711525e-02
C#,0.019547953573610263,1.60378084e-02,2.00023211e-02,2.08325251e-02,1.46833991e-02,1.63088517e-02,1.71009085e-02,2.72763164e-02
G#,0.005497861942577886,7.43756450e-03,1.17292862e-02,8.49799131e-03,7.44779607e-03,8.53260626e-03,7.82364782e-03,1.65276577e-02
D#,0.004886988393402566,3.43465804e-03,5.30687714e-03,5.43989974e-03,3.63353924e-03,4.25583272e-03,3.16397294e-03,8.47214386e-03
A#,0.002443494196701283,1.34195317e-03,2.64619453e-03,3.06996917e-03,1.71788870e-03,2.03636100e-03,1.13107027e-03,6.60455376e-03
E#,0.0,5.59181187e-04,1.55536707e-03,1.04516946e-03,7.91481977e-04,9.40170187e-04,3.57420759e-04,4.51596491e-03
B#,0.0,1.86700428e-04,8.57068660e-04,4.83996492e-04,3.56865041e-04,4.20376166e-04,9.98397113e-05,2.32973743e-03
F##,0.0,7.23656046e-05,3.76109083e-04,2.45468751e-04,1.57982301e-04,1.82456761e-04,2.46524575e-05,9.86242958e-04
C##,0.0,2.09214976e-05,1.74689851e-04,7.34516999e-05,6.88462435e-05,7.70588346e-05,5.38084496e-06,4.07193095e-04
G##,0.0,7.66766974e-06,9.51635417e-05,2.37226388e-05,2.95953884e-05,3.17498751e-05,1.03818344e-06,3.87952685e-04
D##,0.0,1.97942826e-06,5.06377508e-05,9.65848551e-06,1.25712100e-05,1.27871975e-05,1.77064328e-07,1.40970573e-04
A##,0.0,6.74903511e-07,2.20698897e-05,2.53195998e-06,5.28381866e-06,5.04095733e-06,2.66944766e-08,4.29688994e-05
E##,0.0,1.64210684e-07,9.87511477e-06,5.35868573e-07,2.20011040e-06,1.94796249e-06,3.55750160e-09,2.91084537e-05
B##,0.0,5.01169084e-08,5.11991540e-06,1.33441362e-07,9.08437564e-07,7.38974596e-07,4.19085038e-10,2.71992301e-06
