pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.64724377e-05,2.12006805e-05,6.76345806e-06,4.09376759e-05,2.02478741e-04,2.39103573e-04
Cbb,0.0,5.21241080e-05,6.86790226e-05,2.39963374e-05,1.08958664e-04,5.01031941e-04,3.58432128e-04
Gbb,0.0,1.60199823e-04,1.69396897e-04,8.32455613e-05,2.81153267e-04,1.15509484e-03,7.68143897e-04
Dbb,0.0,4.48028892e-04,5.07844107e-04,2.67916923e-04,7.02824249e-04,2.48105344e-03,1.84999481e-03
Abb,0.0017467248908296944,1.19598368e-03,1.34580701e-03,8.20938801e-04,1.69697815e-03,4.96501817e-03,2.79409492e-03
Ebb,0.0,3.10711948e-03,3.38958321e-03,2.43738317e-03,3.92231385e-03,9.25703303e-03,4.88517171e-03
Bbb,0.008733624454148471,7.59164612e-03,6.50174578e-03,6.72473905e-03,8.59288604e-03,1.60801106e-02,8.76746317e-03
Fb,0.021834061135371178,1.63878797e-02,1.96970259e-02,1.74221240e-02,1.77865204e-02,2.60239069e-02,1.71348003e-02
Cb,0.03406113537117904,3.28668037e-02,3.03714780e-02,3.77886699e-02,3.47067154e-02,3.92393865e-02,2.69882610e-02
Gb,0.05240174672489083,6.34877646e-02,6.04478849e-02,6.98799727e-02,6.24090690e-02,5.51236756e-02,4.04073371e-02
Db,0.11441048034934498,1.05361930e-01,1.08977811e-01,9.93980011e-02,9.78777252e-02,7.21473485e-02,8.02322620e-02
Ab,0.14497816593886462,1.28798243e-01,1.44053099e-01,1.15740257e-01,1.24501717e-01,8.79769353e-02,1.29751684e-01
Eb,0.10742358078602621,1.10387585e-01,1.08475690e-01,1.18083924e-01,1.21580205e-01,9.99501684e-02,1.26842807e-01
Bb,0.0794759825327511,8.59143513e-02,6.94011507e-02,1.10180600e-01,9.69093327e-02,1.05794838e-01,1.04258845e-01
F,0.09170305676855896,9.49047028e-02,9.19840912e-02,9.63580454e-02,8.68272280e-02,1.04330592e-01,1.13162112e-01
C,0.09694323144104804,1.01834430e-01,1.01142719e-01,8.01858349e-02,9.15464039e-02,9.58572832e-02,1.28687696e-01
G,0.0777292576419214,7.24947968e-02,7.63826011e-02,6.41503109e-02,7.19736277e-02,8.20549539e-02,7.89021223e-02
D,0.03056768558951965,4.23922282e-02,4.27458984e-02,4.97066904e-02,4.62922052e-02,6.54411229e-02,3.70465079e-02
A,0.03755458515283843,3.78184019e-02,3.79380562e-02,3.75092170e-02,3.63708971e-02,4.86253709e-02,2.91752775e-02
E,0.03406113537117904,3.62328277e-02,3.51187302e-02,2.76812011e-02,3.25994544e-02,3.36621118e-02,2.72801734e-02
B,0.013100436681222707,2.25210960e-02,1.90967230e-02,2.00432915e-02,2.18928914e-02,2.17113104e-02,1.65299948e-02
F#,0.020087336244541485,1.11090501e-02,1.69112574e-02,1.42762290e-02,1.28782774e-02,1.30465884e-02,8.47334186e-03
C#,0.01572052401746725,8.58855029e-03,8.86390647e-03,1.00236556e-02,9.52326102e-03,7.30422487e-03,6.60548767e-03
G#,0.0034934497816593887,7.39526470e-03,6.61481610e-03,6.94946169e-03,7.40618016e-03,3.80993490e-03,4.51660348e-03
D#,0.0069868995633187774,4.08855644e-03,4.05145550e-03,4.76437995e-03,4.44258372e-03,1.85151495e-03,2.33006687e-03
A#,0.0017467248908296944,1.77286961e-03,2.38273031e-03,3.23377946e-03,2.52042451e-03,8.38307085e-04,9.86382417e-04
E#,0.0017467248908296944,1.22054831e-03,1.66945950e-03,2.17521818e-03,1.76899388e-03,3.53626904e-04,4.07250674e-04
B#,0.0034934497816593887,9.49397371e-04,7.62534762e-04,1.45130816e-03,1.21971900e-03,1.38980448e-04,3.88007543e-04
F##,0.0,4.71880044e-04,4.32440301e-04,9.61180423e-04,6.76877346e-04,5.08895210e-05,1.40990507e-04
C##,0.0,1.82428811e-04,3.06392264e-04,6.32295355e-04,3.78330526e-04,1.73607813e-05,4.29749754e-05
G##,0.0,1.12456236e-04,5.72190588e-05,4.13381154e-04,2.51292372e-04,5.51793292e-06,2.91125698e-05
D##,0.0,7.94421567e-05,9.34389247e-05,2.68728052e-04,1.56872094e-04,1.63399158e-06,2.72030762e-06
A##,0.0,3.58139986e-05,2.96214935e-06,1.73779237e-04,8.26730355e-05,4.50805762e-07,1.39704338e-05
E##,0.0,1.23808374e-05,1.41711886e-05,1.11834255e-04,4.57642955e-05,1.15876495e-07,5.56791445e-07
B##,0.0,6.74706718e-06,9.21212847e-51,7.16465219e-05,2.87057140e-05,2.77502876e-08,2.49954980e-07
